platform,slug,is_real,detail,source_table,name,state
legistar,kingcounty,True,HTTP 200 len=35010,us_counties,King County,WA
granicus,tehamacounty,True,HTTP 200,us_counties,Tehama County,CA
granicus,clevelandcounty,True,HTTP 200,us_counties,Cleveland County,AR
granicus,polkcountyfl,True,HTTP 200,us_counties,Polk County,FL
granicus,mercercounty,True,HTTP 404,us_counties,Mercer County,ND
granicus,monroecounty,True,HTTP 404,us_counties,Monroe County,IA
granicus,brazoriacountytx,True,HTTP 200,us_counties,Brazoria County,TX
granicus,glenncounty,True,HTTP 404,us_counties,Glenn County,CA
granicus,kitcarsoncounty,True,HTTP 200,us_counties,Kit Carson County,CO
granicus,albanycounty,True,HTTP 200,us_counties,Albany County,WY
granicus,johnsoncounty,True,HTTP 200,us_counties,Johnson County,WY
legistar,brunswickcounty,True,HTTP 200 len=159694,us_counties,Brunswick County,VA
granicus,haywoodcountync,True,HTTP 200,us_counties,Haywood County,NC
granicus,cumberlandcounty,True,HTTP 200,us_counties,Cumberland County,KY
granicus,parkcounty,True,HTTP 200,us_counties,Park County,WY
granicus,tompkinscountyny,True,HTTP 200,us_counties,Tompkins County,NY
granicus,stokescountync,True,HTTP 200,us_counties,Stokes County,NC
granicus,douglascounty,True,HTTP 200,us_counties,Douglas County,GA
legistar,princegeorgescountymd,True,HTTP 200 len=72490,us_counties,Prince George's County,MD
legistar,passaiccountynj,True,HTTP 200 len=187065,us_counties,Passaic County,NJ
granicus,howardcounty,True,HTTP 404,us_counties,Howard County,NE
granicus,mauicounty,True,HTTP 200,us_counties,Maui County,HI
granicus,pitkincounty,True,HTTP 404,us_counties,Pitkin County,CO
legistar,baldwincountyal,True,HTTP 200 len=227110,us_counties,Baldwin County,AL
legistar,durhamcounty,True,HTTP 200 len=184107,us_counties,Durham County,NC
granicus,eauclairecountywi,True,HTTP 200,us_counties,Eau Claire County,WI
granicus,hawaiicounty,True,HTTP 200,us_counties,Hawaii County,HI
granicus,lubbockcounty,True,HTTP 200,us_counties,Lubbock County,TX
granicus,taoscounty,True,HTTP 404,us_counties,Taos County,NM
granicus,cowetacountyga,True,HTTP 404,us_counties,Coweta County,GA
granicus,bigstonecounty,True,HTTP 404,us_counties,Big Stone County,MN
granicus,roanokecountyva,True,HTTP 404,us_counties,Roanoke County,VA
legistar,milwaukeecounty,True,HTTP 200 len=483790,us_counties,Milwaukee County,WI
legistar,hernandocountyfl,True,HTTP 200 len=284420,us_counties,Hernando County,FL
granicus,westchestercountyny,True,HTTP 200,us_counties,Westchester County,NY
granicus,stanlycountync,True,HTTP 404,us_counties,Stanly County,NC
legistar,rutherfordcountync,True,HTTP 200 len=182697,us_counties,Rutherford County,NC
granicus,transylvaniacounty,True,HTTP 200,us_counties,Transylvania County,NC
granicus,camdencounty,True,HTTP 200,us_counties,Camden County,GA
granicus,calcasieuparishla,True,HTTP 200,us_counties,Calcasieu Parish,LA
granicus,harriscountytx,True,HTTP 200,us_counties,Harris County,TX
granicus,alpinecountyca,True,HTTP 404,us_counties,Alpine County,CA
legistar,ramseycountymn,True,HTTP 200 len=256050,us_counties,Ramsey County,MN
granicus,ashecounty,True,HTTP 404,us_counties,Ashe County,NC
granicus,bryancountyga,True,HTTP 200,us_counties,Bryan County,GA
granicus,modoccountyca,True,HTTP 404,us_counties,Modoc County,CA
granicus,sullivancountyny,True,HTTP 200,us_counties,Sullivan County,NY
legistar,eaglecounty,True,HTTP 200 len=80210,us_counties,Eagle County,CO
granicus,yorkcounty,True,HTTP 404,us_counties,York County,ME
granicus,sanmiguelcountyco,True,HTTP 200,us_counties,San Miguel County,CO
granicus,buttecounty,True,HTTP 404,us_counties,Butte County,ID
granicus,penningtoncounty,True,HTTP 200,us_counties,Pennington County,SD
legistar,olmstedcounty,True,HTTP 200 len=163196,us_counties,Olmsted County,MN
granicus,lakecounty,True,HTTP 200,us_counties,Lake County,TN
granicus,greensvillecountyva,True,HTTP 200,us_counties,Greensville County,VA
legistar,montgomerycountymd,True,HTTP 200 len=163822,us_counties,Montgomery County,MD
legistar,calaverascounty,True,HTTP 200 len=172136,us_counties,Calaveras County,CA
granicus,franklincountync,True,HTTP 200,us_counties,Franklin County,NC
granicus,monocounty,True,HTTP 200,us_counties,Mono County,CA
granicus,baltimorecountymd,True,HTTP 200,us_counties,Baltimore County,MD
granicus,nassaucountyny,True,HTTP 404,us_counties,Nassau County,NY
granicus,floydcountyga,True,HTTP 200,us_counties,Floyd County,GA
granicus,alamedacounty,True,HTTP 404,us_counties,Alameda County,CA
granicus,sarasotacounty,True,HTTP 404,us_counties,Sarasota County,FL
granicus,landercountynv,True,HTTP 200,us_counties,Lander County,NV
granicus,brunswickcounty,True,HTTP 200,us_counties,Brunswick County,VA
legistar,unioncountync,True,HTTP 200 len=186587,us_counties,Union County,NC
granicus,douglascountynv,True,HTTP 200,us_counties,Douglas County,NV
granicus,effinghamcounty,True,HTTP 200,us_counties,Effingham County,IL
granicus,princegeorgescountymd,True,HTTP 404,us_counties,Prince George's County,MD
granicus,sweetwatercountywy,True,HTTP 200,us_counties,Sweetwater County,WY
granicus,emmetcounty,True,HTTP 200,us_counties,Emmet County,IA
granicus,passaiccountynj,True,HTTP 200,us_counties,Passaic County,NJ
granicus,nyecounty,True,HTTP 404,us_counties,Nye County,NV
granicus,ulstercountyny,True,HTTP 200,us_counties,Ulster County,NY
legistar,geneseecountymi,True,HTTP 200 len=218193,us_counties,Genesee County,MI
granicus,baldwincountyal,True,HTTP 200,us_counties,Baldwin County,AL
granicus,durhamcounty,True,HTTP 404,us_counties,Durham County,NC
legistar,oklahomacounty,True,HTTP 200 len=414051,us_counties,Oklahoma County,OK
legistar,sanmateocounty,True,HTTP 200 len=519502,us_counties,San Mateo County,CA
