slug,platform,meeting_url,tier,outcome,jurisdiction,segments,agenda_items,video_url,detail
charlescountymd,granicus,https://charlescountymd.granicus.com/MediaPlayer.php?view_id=1&clip_id=517,tier3-agenda,ingested,"Charles County, MD",0,0,,/m/charles-county-md-2026-08-12-administrative-charging-committee (recovered via retry: next candidate)
harfordcountymd,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
ramseycountymn,granicus,https://ramseycountymn.granicus.com/MediaPlayer.php?view_id=1&clip_id=1510,tier1,ingested,Ramsey County,3189,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/ramseycountymn/ramseycountymn_24be4d88-a1d7-405e-86d3-325fcb9e15de.mp4/playlist.m3u8,/m/ramsey-county-mn-2026-09-03-budget-committee-of-the-whole-on-2026-09-03-9-00-am
laramiecounty,legistar,https://laramiecounty.legistar.com/MeetingDetail.aspx?LEGID=2227&GID=709&G=A0D9E41B-E641-4671-BD5D-7F8A3AE18855,tier3-agenda,ingested,"Laramie County, Wy",0,35,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/laramiecounty/laramiecounty_ca94133c-a6db-11f1-a028-005056a89546.mp4/playlist.m3u8,/m/laramie-county-wy-2026-08-03-20260901
lakecountyin,granicus,https://lakecountyin.granicus.com/MediaPlayer.php?view_id=1&clip_id=378,tier3-agenda,ingested,Lake County,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/lakecountyin/lakecountyin_550f3f95-8e3c-4c3b-81f4-703a1590325e.mp4/playlist.m3u8,/m/lake-county-in-2026-09-03-lake-county-council-2027-budget-workshop
eaglecounty,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
saratogacountyny,legistar,https://saratogacountyny.legistar.com/MeetingDetail.aspx?LEGID=940&GID=973&G=88F6B11E-788A-4159-A894-D607CB519647,none,skipped-empty,,0,0,,no segments/agenda/video
bernalillocountynm,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
grundycountyil,legistar,https://grundycountyil.legistar.com/MeetingDetail.aspx?LEGID=921&GID=1032&G=09BC6578-320F-4975-B863-A25C3063C6B8,none,skipped-empty,,0,0,,no segments/agenda/video
galvestoncountytx,legistar,https://galvestoncountytx.legistar.com/MeetingDetail.aspx?LEGID=2790&GID=942&G=5E993999-2A28-4D84-802D-D0C5429593F8,tier3-agenda,ingested,Galveston County TX,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/galvestoncountytx/galvestoncountytx_06b72c1f-757d-4d30-aa85-c000ad031c30.mp4/playlist.m3u8,/m/galveston-county-tx-2026-08-31-commissioners-court-special-meeting-on-2026-08-31
olmstedcounty,granicus,https://olmstedcounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=15,tier3-agenda,ingested,"Olmsted County, MN",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/olmstedcounty/olmstedcounty_6debb09a-0965-4ec4-a616-3255d9edb62b.mp4/playlist.m3u8,/m/olmsted-county-mn-2025-10-15-olmsted-county-mn-ecomment-training
finneycounty,granicus,https://finneycounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=330,tier3-agenda,ingested,"Finney County, KS",0,0,,/m/finney-county-ks-2026-08-17-county-commission-work-session
daviecountync,granicus,https://daviecountync.granicus.com/MediaPlayer.php?view_id=1&clip_id=142,tier3-agenda,ingested,"Davie County, NC",0,0,,/m/davie-county-nc-2024-05-07-board-of-commissioners (recovered via retry: next candidate)
newkentcounty,granicus,https://newkentcounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=29,tier3-agenda,ingested,New Kent County VA,0,0,,/m/new-kent-county-va-2026-08-14-board-of-supervisors
