slug,platform,meeting_url,tier,outcome,jurisdiction,segments,agenda_items,video_url,detail
dekalbcountyga,granicus,https://dekalbcountyga.granicus.com/MediaPlayer.php?view_id=2&clip_id=5120,tier3-agenda,ingested,"DeKalb County, GA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/dekalbcountyga/dekalbcountyga_9a7bc01e-b57d-4051-be23-6fde24303e53.mp4/playlist.m3u8,/m/dekalb-county-ga-2026-08-31-special-called-board-of-registration-and-elections-m
seminolecountyfl,granicus,https://seminolecountyfl.granicus.com/MediaPlayer.php?view_id=1&clip_id=2217,tier1,ingested,"Seminole County, FL",7692,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/seminolecountyfl/seminolecountyfl_f3f62507-755f-4da6-82fa-650ff3528ade.mp4/playlist.m3u8,/m/seminole-county-fl-2026-08-25-board-of-county-commissioners-on-2026-08-25-9-30-a
suttercountyca,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
dentoncounty,granicus,https://dentoncounty.granicus.com/MediaPlayer.php?view_id=2&clip_id=223,tier3-agenda,ingested,"Denton County, TX",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/dentoncounty/dentoncounty_20f15d42-680c-4a9b-aab6-b9fe0f0439fc.mp4/playlist.m3u8,/m/denton-county-tx-2011-08-31-mass-gathering-meeting
fresnocounty,granicus,https://fresnocounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=1535,tier1,ingested,"Fresno County, CA",2646,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/fresnocounty/fresnocounty_d783541f-a413-4d0f-b986-94284a82afbd.mp4/playlist.m3u8,/m/fresno-county-ca-2026-08-25-board-of-supervisors-on-2026-08-25-9-30-am
stcroixcountywi,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
oregon,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
cityofappleton,legistar,https://cityofappleton.legistar.com/MeetingDetail.aspx?LEGID=6448&GID=309&G=010F2A34-3652-4DBE-891C-302174A6DBB5,tier3-agenda,ingested,"City of Appleton, WI",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cityofappleton/cityofappleton_60d92f2c-4a3a-412b-a7cf-639ff29b8de4.mp4/playlist.m3u8,/m/appleton-wi-2026-09-02-finance-committee-on-2026-09-02-5-30-pm-special-meeting
humboldtunifiedschooldistrict258-ks,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
charlotte,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
cityofappleton,granicus,https://cityofappleton.granicus.com/MediaPlayer.php?view_id=3&clip_id=5489,tier3-agenda,ingested,"City of Appleton, WI",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cityofappleton/cityofappleton_60d92f2c-4a3a-412b-a7cf-639ff29b8de4.mp4/playlist.m3u8,/m/appleton-wi-2026-09-02-finance-committee-on-2026-09-02-5-30-pm-special-meeting
winthrop,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
alamogordopublicschools,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
greenville,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
auburn,granicus,https://auburn.granicus.com/MediaPlayer.php?view_id=1&clip_id=1680,tier3-agenda,ingested,"The City of Auburn, CA",0,15,https://archive-video.granicus.com/auburn/auburn_677311f3-918a-4c48-aee4-b830c36aaa33.mp4,/m/the-city-of-auburn-ca-2026-08-25-city-council-meeting-aug-24th-2026
surry,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
trenton,granicus,https://trenton.granicus.com/MediaPlayer.php?view_id=1&clip_id=3,tier3-agenda,ingested,Trenton NJ,0,0,,/m/trenton-nj-2019-10-23-city-council-oct-22nd-2019
sedgwick,granicus,https://sedgwick.granicus.com/MediaPlayer.php?view_id=2&clip_id=6154,tier3-agenda,ingested,County of Sedgwick,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/sedgwick/sedgwick_c17d367e-e2a5-47de-977a-078a28ca1303.mp4/playlist.m3u8,/m/county-of-sedgwick-2026-09-04-2026-09-04-staff-meeting-agenda-review
georgetown,granicus,https://georgetown.granicus.com/MediaPlayer.php?view_id=1&clip_id=1168,tier3-agenda,ingested,"City of Georgetown, Texas",0,0,,/m/georgetown-tx-2026-09-04-planning-and-zoning-commission-sep-4th-2026
jonesboro,legistar,https://jonesboro.legistar.com/MeetingDetail.aspx?LEGID=3950&GID=79&G=37E3CE33-A2DF-46AD-A8C9-5C36A88653D1,tier3-agenda,ingested,"Jonesboro, AR",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/jonesboro/jonesboro_e955fcd7-3a39-439d-a787-3966f40ec812.mp4/playlist.m3u8,/m/jonesboro-ar-2026-09-01-city-council-on-2026-09-01-5-30-pm
kashiaelementaryschooldistrict,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
ameryschooldistrictwi,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
kashiaelementaryschooldistrict-ca,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
pawpawpublicschooldistrictmi,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
cityofaxtellcommunityschools,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
pawpawpublicschooldistrict-mi,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
axtellcommunityschools-ne,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
perrisunionhighschooldistrict912,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
eaglepointschooldistrict9,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
eaglepointschooldistrict9or,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
cityofperrisunionhighschooldistrict912,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
perrisunionhighschooldistrict912-ca,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
marshallpublicschools-mi,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
biddeford,granicus,https://biddeford.granicus.com/MediaPlayer.php?view_id=1&clip_id=1928,tier3-agenda,ingested,"Biddeford, Maine",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/biddeford/biddeford_8844a784-0e5c-47d1-874a-24df81e1c364.mp4/playlist.m3u8,/m/biddeford-me-2024-06-13-historic-preservation-commission
jonesboro,granicus,https://jonesboro.granicus.com/MediaPlayer.php?view_id=1&clip_id=3455,tier3-agenda,ingested,"Jonesboro, AR",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/jonesboro/jonesboro_598e144e-4e78-48f4-90c9-0113ec3bab97.mp4/playlist.m3u8,/m/jonesboro-ar-2026-08-18-board-of-zoning-adjustments-on-2026-08-18-1-30-pm
northkingstownschooldistrict,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
hillsboroindependentschooldistricttx,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
elizabethtownindependentschooldistrict-ky,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
northfield,legistar,https://northfield.legistar.com/MeetingDetail.aspx?LEGID=3210&GID=465&G=B8C0D0E6-0E05-4535-8D67-6236E3DD65EA,tier3-agenda,ingested,"City of Northfield, MN",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/northfield/northfield_65f54c91-987d-417d-8f80-0ab9f9487a0d.mp4/playlist.m3u8,/m/northfield-city-mn-2026-09-02-heritage-preservation-commission-on-2026-09-02-6-0
muldrowpublicschoolsok,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
erin,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
cooper,granicus,https://cooper.granicus.com/MediaPlayer.php?view_id=2&clip_id=754,tier1,ingested,"Cooper City, FL",2636,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cooper/cooper_c4952a09-3a9b-476a-9ddc-5eb4339136d0.mp4/playlist.m3u8,/m/cooper-city-fl-2026-09-02-special-magistrate-code-enforcement-and-building-depar
hampton,legistar,https://hampton.legistar.com/MeetingDetail.aspx?LEGID=2406&GID=258&G=93A1DD85-5337-45E4-84FB-33D8A24FF2FB,tier1,ingested,"City of Hampton, Virginia",3785,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/hampton/hampton_5eec684a-971b-11f1-bb61-005056a89546.mp4/playlist.m3u8,/m/city-of-hampton-va-2026-08-12-city-council-work-session-on-2026-08-12-1-00-pm (recovered via retry: next candidate)
harrison,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
racine,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
cityofracine,legistar,https://cityofracine.granicus.com/MediaPlayer.php?view_id=1&clip_id=793,tier3-agenda,ingested,City of Racine,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cityofracine/cityofracine_11b24c42-e93f-48c4-babf-8916c70f2112.mp4/playlist.m3u8,/m/racine-wi-2026-09-02-city-of-racine-votecast-web-session-1
longview,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
hudson,legistar,https://hudson.legistar.com/MeetingDetail.aspx?LEGID=2754&GID=224&G=187A73E6-DDF8-4C4A-8F97-069523074F7A,tier3-agenda,ingested,"City of Hudson, OH",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/hudson/hudson_5329e395-4916-4d5e-a42b-ae31bd942e68.mp4/playlist.m3u8,/m/hudson-oh-2026-09-01-city-council-on-2026-09-01-7-30-pm
cityofcleveland,legistar,https://cityofcleveland.legistar.com/MeetingDetail.aspx?LEGID=3907&GID=635&G=2EB18EF1-2C21-4D1D-85C9-B38100AB8FFD,none,skipped-empty,,0,0,,no segments/agenda/video
northfield,granicus,https://northfield.granicus.com/MediaPlayer.php?view_id=2&clip_id=2351,tier3-agenda,ingested,"City of Northfield, MN",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/northfield/northfield_65f54c91-987d-417d-8f80-0ab9f9487a0d.mp4/playlist.m3u8,/m/northfield-city-mn-2026-09-02-heritage-preservation-commission-on-2026-09-02-6-0
barrie,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
wellington,legistar,https://wellington.legistar.com/MeetingDetail.aspx?LEGID=4173&GID=282&G=555448C4-479A-495A-AC1C-FBA596A23D03,tier1,ingested,"Village of Wellington, FL",243,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/wellington/wellington_56935822-5fac-4dc3-a21d-1037654e4029.mp4/playlist.m3u8,/m/wellington-fl-2026-09-03-village-council-workshop-on-2026-09-03-4-30-pm
russell,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
cityofnorthport,legistar,https://cityofnorthport.legistar.com/MeetingDetail.aspx?LEGID=3745&GID=408&G=FED9DAC1-C02A-4668-A6AA-7D5B31BA7971,tier1,ingested,"North Port, FL",1196,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cityofnorthport/cityofnorthport_5afd006d-b1c3-4812-9ba8-b500fbfd3dfa.mp4/playlist.m3u8,/m/north-port-fl-2026-09-03-city-commission-regular-meeting-on-2026-09-03-4-00-pm-a (recovered via retry: next candidate)
kirkland,granicus,https://kirkland.granicus.com/MediaPlayer.php?view_id=3&clip_id=5240,tier1,ingested,City of Kirkland,8755,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/kirkland/kirkland_0f4453c8-0ce5-4c39-92e4-e73a38d191fd.mp4/playlist.m3u8,/m/kirkland-wa-2026-09-01-city-council-meeting (retried after transient SSL error)
scott,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
clearwater,legistar,https://clearwater.legistar.com/MeetingDetail.aspx?LEGID=3260&GID=391&G=E6D8F5E1-1A25-4C36-846B-5CFB5C80AB8C,tier3-agenda,ingested,City of Clearwater,0,0,,/m/city-of-clearwater-2014-01-13-pre-insite-archives
cityofsouthgate,granicus,https://cityofsouthgate.granicus.com/MediaPlayer.php?view_id=1&clip_id=699,tier3-agenda,ingested,"South Gate, CA",0,0,,/m/south-gate-ca-2026-09-02-south-gate-planning-commission
belleplaine,granicus,https://belleplaine.granicus.com/MediaPlayer.php?view_id=2&clip_id=954,tier3-agenda,ingested,"Belle Plaine, MN",0,21,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/belleplaine/belleplaine_a20aa37a-8728-4984-a420-2166f77be477.mp4/playlist.m3u8,/m/belle-plaine-city-mn-2025-12-15-city-council
hampton,granicus,https://hampton.granicus.com/MediaPlayer.php?view_id=2&clip_id=3649,tier1,ingested,"City of Hampton, Virginia",3785,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/hampton/hampton_5eec684a-971b-11f1-bb61-005056a89546.mp4/playlist.m3u8,/m/city-of-hampton-va-2026-08-12-city-council-work-session-on-2026-08-12-1-00-pm
placentia,granicus,https://placentia.granicus.com/MediaPlayer.php?view_id=3&clip_id=775,tier3-agenda,ingested,"The City of Placentia, CA",0,0,https://archive-video.granicus.com/placentia/.mp4,/m/the-city-of-placentia-ca-2026-08-26-city-council-meeting-cancelled
dorchester,granicus,https://dorchester.granicus.com/MediaPlayer.php?view_id=1&clip_id=746,tier3-agenda,ingested,"Dorchester County, SC",0,0,,/m/dorchester-county-sc-2026-03-17-county-council-meeting
harrison,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
osage,legistar,https://osage.granicus.com/MediaPlayer.php?view_id=2&clip_id=23,tier3-agenda,ingested,Osage Nation,0,0,https://archive-video.granicus.com/osage/osage_8be6de32-5bd6-4812-86e0-8e786a6649eb.mp4,/m/osage-nation-2013-02-12-osage-congress-on-2013-02-12-1-00-pm-feb-7th-2013
raymond,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
middleton,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
taylor,granicus,https://taylor.granicus.com/MediaPlayer.php?view_id=1&clip_id=453,tier3-agenda,ingested,Taylor,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/taylor/taylor_b460f336-a7a2-11f1-a028-005056a89546.mp4/playlist.m3u8,/m/taylor-mi-city-council-sep-1st-2026
cityofracine,granicus,https://cityofracine.granicus.com/MediaPlayer.php?view_id=1&clip_id=793,tier3-agenda,ingested,City of Racine,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cityofracine/cityofracine_11b24c42-e93f-48c4-babf-8916c70f2112.mp4/playlist.m3u8,/m/racine-wi-2026-09-02-city-of-racine-votecast-web-session-1
richmond,granicus,https://richmond.granicus.com/MediaPlayer.php?view_id=2&clip_id=6038,tier3-agenda,ingested,City of Richmond,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/richmond/richmond_1b91066f-fb2c-4837-bdaf-a7542563946e.mp4/playlist.m3u8,/m/richmond-ca-2026-08-26-council-meeting-8-26-2026-aug-26th-2026
raleigh,granicus,https://raleigh.granicus.com/MediaPlayer.php?view_id=2&clip_id=8063,tier1,ingested,"City of Raleigh, NC",2295,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/raleigh/raleigh_75fcf5fb-851c-484d-bb7b-d810b66a33dc.mp4/playlist.m3u8,/m/raleigh-nc-2026-09-03-raleigh-design-review-commission
lincoln,granicus,https://lincoln.granicus.com/MediaPlayer.php?view_id=1&clip_id=2295,tier1,ingested,"City of Lincoln, CA",742,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/lincoln/lincoln_20f5c0ba-8636-4112-b951-9f4dd30e8571.mp4/playlist.m3u8,/m/lincoln-ca-2026-09-04-2026-special-meeting-city-council-lincoln-redevelopment-su
imperial,granicus,https://imperial.granicus.com/MediaPlayer.php?view_id=2&clip_id=2954,tier3-video-only,queued,"County of Imperial, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/imperial/imperial_b1b37242-cdde-44f8-bfce-b03b6de38429.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
humboldt,legistar,https://humboldt.legistar.com/MeetingDetail.aspx?LEGID=2965&GID=448&G=4CCA98C5-8DA1-45DC-92EB-8A3C6845A374,tier1,ingested,"Humboldt County, CA",3205,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/humboldt/humboldt_bd148358-8ea4-4cd0-a82f-6855cf8e9181.mp4/playlist.m3u8,/m/humboldt-county-ca-2026-09-03-planning-commission-on-2026-09-03-6-00-pm-regular
hudson,granicus,https://hudson.granicus.com/MediaPlayer.php?view_id=2&clip_id=5030,tier3-agenda,ingested,"City of Hudson, OH",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/hudson/hudson_50dc0672-8e27-4384-8584-5e7e2b039842.mp4/playlist.m3u8,/m/hudson-oh-2026-09-01-planning-commission-on-2026-09-01-9-00-am-subcommittee-meet
cityofcleveland,granicus,https://cityofcleveland.granicus.com/MediaPlayer.php?view_id=1&clip_id=3,tier3-agenda,ingested,"City of Cleveland, OH",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cityofcleveland/cityofcleveland_693b7d78-3d37-4586-a7e9-44be3b554eb4.mp4/playlist.m3u8,/m/cleveland-oh-2016-02-04-city-council-on-2016-02-04-7-00-pm-rebecca-feb-4th-2016
cumberland,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
buchanan,granicus,https://buchanan.granicus.com/MediaPlayer.php?view_id=1&clip_id=844,tier3-agenda,ingested,"Township of Buchanan, WI",0,0,https://archive-video.granicus.com/buchanan/buchanan_26bf48f4-535e-42d0-8db9-127b950ec03f.mp4,/m/buchanan-town-wi-2026-08-18-town-board-aug-18th-2026
enterprise,granicus,https://enterprise.granicus.com/MediaPlayer.php?view_id=2&clip_id=36,tier3-agenda,ingested,Enterprise - H264 Only,0,0,https://archive-video.granicus.com/enterprise/enterprise_6750cef9-3583-41f2-a82b-35e924f15cf8.mp4,/m/enterprise-2012-09-06-council-view-ps051012-sep-6th-2012
wellington,granicus,https://wellington.granicus.com/MediaPlayer.php?view_id=2&clip_id=1813,tier1,ingested,"Village of Wellington, FL",243,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/wellington/wellington_56935822-5fac-4dc3-a21d-1037654e4029.mp4/playlist.m3u8,/m/wellington-fl-2026-09-03-village-council-workshop-on-2026-09-03-4-30-pm
cityofnorthport,granicus,https://cityofnorthport.granicus.com/MediaPlayer.php?view_id=2&clip_id=3411,tier1,ingested,"North Port, FL",4443,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cityofnorthport/cityofnorthport_c89b722b-1e9e-49d5-8a84-319254900820.mp4/playlist.m3u8,/m/north-port-fl-2026-09-03-city-commission-workshop-on-2026-09-03-6-00-pm-data-cen
alameda,legistar,https://alameda.legistar.com/MeetingDetail.aspx?LEGID=6393&GID=305&G=A0EEFE15-EEAF-45E1-AF17-DD3757E89FDA,tier3-agenda,ingested,City of Alameda,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/alameda/alameda_96c60ea8-c61a-4a4d-aa9b-af1b8228e453.mp4/playlist.m3u8,/m/alameda-ca-2026-09-01-city-council-on-2026-09-01-7-00-pm (recovered via retry: next candidate)
clearwater,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
cityofnewport,granicus,https://cityofnewport.granicus.com/MediaPlayer.php?view_id=1&clip_id=1026,tier3-agenda,ingested,"City of Newport, RI",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cityofnewport/cityofnewport_ed5ec0b4-9c6c-4d4b-80eb-f7d4d5498c33.mp4/playlist.m3u8,/m/newport-ri-2026-03-11-newport-city-council-workshop-short-term-rentals-follow-up
victoria,granicus,https://victoria.granicus.com/MediaPlayer.php?view_id=1&clip_id=319,tier3-agenda,ingested,"Victoria, MN",0,0,https://archive-video.granicus.com/victoria/victoria_e90b4d8a-1e81-4fd4-8e22-0498b008aacf.mp4,/m/victoria-mn-2019-12-16-cancelled-park-and-recreation-committee-meeting-dec-16th
sunvalley,granicus,https://sunvalley.granicus.com/MediaPlayer.php?view_id=2&clip_id=1249,tier3-agenda,ingested,"Sun Valley, Idaho",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/sunvalley/sunvalley_f6a8f607-8e01-4bd4-86c7-8a1b8dd81554.mp4/playlist.m3u8,/m/sun-valley-id-2026-09-03-september-3-2026-regular-city-council-meeting
osage,granicus,https://osage.granicus.com/MediaPlayer.php?view_id=2&clip_id=23,tier3-agenda,ingested,Osage Nation,0,0,https://archive-video.granicus.com/osage/osage_8be6de32-5bd6-4812-86e0-8e786a6649eb.mp4,/m/osage-nation-2013-02-12-osage-congress-on-2013-02-12-1-00-pm-feb-7th-2013
cityofvernon,granicus,https://cityofvernon.granicus.com/MediaPlayer.php?view_id=1&clip_id=38,tier3-agenda,ingested,"City of Vernon, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/cityofvernon/cityofvernon_b60b7964-6c5e-465f-968f-cd35898b816a.mp4/playlist.m3u8,/m/vernon-ca-2018-10-02-city-council-oct-2nd-2018
cityofoxford,granicus,https://cityofoxford.granicus.com/MediaPlayer.php?view_id=2&clip_id=1532,tier3-agenda,ingested,"City of Oxford, OH",0,0,,/m/oxford-city-oh-2023-02-17-police-community-relations-review-commission-meeting
morrisville,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
humboldt,granicus,https://humboldt.granicus.com/MediaPlayer.php?view_id=2&clip_id=1607,tier3-agenda,ingested,"Humboldt County, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/humboldt/humboldt_be337ecb-f1a1-44d1-82bc-eddf6133eb94.mp4/playlist.m3u8,/m/humboldt-county-ca-2022-01-13-test
stpaul,legistar,https://stpaul.legistar.com/MeetingDetail.aspx?LEGID=7750&GID=125&G=EDAB5C5F-1041-4DF4-A894-59E957785E36,tier1,ingested,City of Saint Paul,672,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/stpaul/stpaul_9f5e0de0-06c8-4e31-94a4-3f080a01a8e0.mp4/playlist.m3u8,/m/st-paul-mn-2026-09-02-library-board-on-2026-09-02-1-00-pm (recovered via retry: next candidate)
james,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
langford,granicus,https://langford.granicus.com/MediaPlayer.php?view_id=1&clip_id=3,,resolve-failed,,,,,resolve raised: HTTP 404 for https://langford.granicus.com/MediaPlayer.php?view_id=1&clip_id=3
durham,granicus,https://durham.granicus.com/MediaPlayer.php?view_id=2&clip_id=3303,tier1,ingested,"City of Durham, NC",5066,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/durham/durham_6ce31b0a-5f09-4bf1-97e9-f1b120382401.mp4/playlist.m3u8,/m/city-of-durham-nc-2026-05-04-regular-city-council-meeting
sunnyside,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
middlesex,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
halfmoonbay,granicus,https://halfmoonbay.granicus.com/MediaPlayer.php?view_id=1&clip_id=1455,tier3-agenda,ingested,City of Half Moon Bay,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/halfmoonbay/halfmoonbay_fc76ed08-2b17-4ed9-b7f2-11a9ba8da53a.mp4/playlist.m3u8,/m/half-moon-bay-ca-2026-09-01-city-council
dumfries,granicus,https://dumfries.granicus.com/MediaPlayer.php?view_id=1&clip_id=760,tier3-agenda,ingested,Town of Dumfries,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/dumfries/dumfries_dcaf0381-e680-49d3-b8b8-4bad722189d9.mp4/playlist.m3u8,/m/town-of-dumfries-2026-09-02-town-of-dumfries-town-council
kearney,granicus,https://kearney.granicus.com/MediaPlayer.php?view_id=1&clip_id=627,tier3-agenda,ingested,"Kearney, NE",0,3,https://archive-video.granicus.com/kearney/kearney_07a1bf93-a161-11f1-a028-005056a89546.mp4,/m/kearney-ne-2026-08-25-city-council-meeting-aug-25th-2026
alameda,granicus,https://alameda.granicus.com/MediaPlayer.php?view_id=2&clip_id=4342,tier3-agenda,ingested,City of Alameda,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/alameda/alameda_96c60ea8-c61a-4a4d-aa9b-af1b8228e453.mp4/playlist.m3u8,/m/alameda-ca-2026-09-01-city-council-on-2026-09-01-7-00-pm
cityofelgin,granicus,https://cityofelgin.granicus.com/MediaPlayer.php?view_id=2&clip_id=2560,tier3-agenda,ingested,"City of Elgin, IL",0,0,https://archive-video.granicus.com/cityofelgin/cityofelgin_123c306e-bc28-4cb2-a8d1-75534582d9e9.mp4,/m/elgin-city-il-2022-01-12-planning-zoning-commission-meeting-january-10-2022-jan
piedmont,granicus,https://piedmont.granicus.com/MediaPlayer.php?view_id=3&clip_id=3175,tier3-agenda,ingested,City of Piedmont,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/piedmont/piedmont_7cd7ec42-422e-4d94-83ea-e94b2ddb80b0.mp4/playlist.m3u8,/m/piedmont-ca-2026-09-02-park-commission-meeting
king,granicus,https://king.granicus.com/MediaPlayer.php?view_id=2&clip_id=11570,tier1,ingested,King County,2467,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/king/king_6716f4c6-f489-49fd-bf75-562e30bab326.mp4/playlist.m3u8,/m/king-county-wa-2026-09-02-law-and-justice-committee (retried after transient SSL error)
crowsnestpass,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
houston,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
midland,granicus,https://midland.granicus.com/MediaPlayer.php?view_id=2&clip_id=4074,tier3-agenda,ingested,City of Midland,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/midland/midland_46f79bfa-3d14-4234-b24f-17618cd1f044.mp4/playlist.m3u8,/m/midland-mi-2023-12-20-center-city-authority
pasadena,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
stpaul,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
huron,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
sudbury,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
