old_slug,gov_id,new_slug,evidence
l-a-world-airports-board-of-airport-commissioners,rtr:us:ca:l-a-world-airports-board-of-airport-commissioners,l-a-world-airports-board-of-airport-commissioners-ca,"'L. A. World Airports - Board of Airport Commissioners' now resolves to rtr:us:ca:l-a-world-airports-board-of-airport-commissioners (L. A. World Airports - Board of Airport Commissioners, CA)"
l-oswego-k-12,us:sd:4107230,lake-oswego-school-district-7j-or,"'L Oswego K 12' now resolves to us:sd:4107230 (Lake Oswego School District 7J, OR)"
la-crosse-wi,rtr:us:wi:la-crosse,the-city-of-la-crosse-wi,"'The City of La Crosse, WI' now resolves to rtr:us:wi:la-crosse (The City of La Crosse, WI)"
lad-wp,rtr:us:ca:los-angeles-department-of-water-and-power,los-angeles-department-of-water-and-power-ca,"'Lad Wp' now resolves to rtr:us:ca:los-angeles-department-of-water-and-power (Los Angeles Department of Water and Power, CA)"
lafayette,us:place:0841835,lafayette-co,"'City of Lafayette' now resolves to us:place:0841835 (Lafayette, CO)"
lafayette-in,us:place:1840788,lafayette-city-in,"'City of Lafayette, IN' now resolves to us:place:1840788 (Lafayette (city), IN)"
lake-county,us:county:17097,lake-county-il,"'Lake County' now resolves to us:county:17097 (Lake County, IL)"
lake-havasu-az,rtr:us:az:lake-havasu,city-of-lake-havasu-az,"'City of Lake Havasu, AZ' now resolves to rtr:us:az:lake-havasu (City of Lake Havasu, AZ)"
lake-mills,us:place:5541675,lake-mills-city-wi,"'City of Lake Mills' now resolves to us:place:5541675 (Lake Mills (city), WI)"
lakeshore,ca:csd:3537064,lakeshore-on,"'Lakeshore' now resolves to ca:csd:3537064 (Lakeshore, ON)"
langley,us:place:5338355,langley-wa,"'City of Langley' now resolves to us:place:5338355 (Langley, WA)"
lawrence,us:place:2038900,lawrence-city-ks,"'City of Lawrence' now resolves to us:place:2038900 (Lawrence (city), KS)"
leawood,us:place:2039075,leawood-ks,"'City of Leawood' now resolves to us:place:2039075 (Leawood, KS)"
lebanon,us:county:42075,lebanon-county-pa,"'Lebanon' now resolves to us:county:42075 (Lebanon County, PA)"
ledyard-ct,us:cousub:0918042600,ledyard-town-ct,"'Ledyard, CT' now resolves to us:cousub:0918042600 (Ledyard Town, CT)"
ledyard-public-schools-ct,us:sd:0902160,ledyard-school-district-ct,"'Ledyard Public Schools, CT' now resolves to us:sd:0902160 (Ledyard School District, CT)"
lexington,us:place:3738060,lexington-nc,"'Lexington' now resolves to us:place:3738060 (Lexington, NC)"
liberty-mo,us:place:2942032,liberty-city-mo,"'Liberty, MO' now resolves to us:place:2942032 (Liberty (city), MO)"
lincoln-me,us:county:23015,lincoln-county-me,"'Lincoln, ME' now resolves to us:county:23015 (Lincoln County, ME)"
lincoln-park,us:place:2647800,lincoln-park-mi,"'City of Lincoln Park' now resolves to us:place:2647800 (Lincoln Park, MI)"
lincoln-ri,us:cousub:4400741500,lincoln-town-ri,"'Lincoln, RI' now resolves to us:cousub:4400741500 (Lincoln Town, RI)"
linn,us:county:19113,linn-county-ia,"'Linn' now resolves to us:county:19113 (Linn County, IA)"
lisbon-me,us:cousub:2300140035,lisbon-town-me,"'Lisbon, ME' now resolves to us:cousub:2300140035 (Lisbon Town, ME)"
lisbon-wi,us:place:5544847,lisbon-village-wi,"'Lisbon, WI' now resolves to us:place:5544847 (Lisbon (village), WI)"
little-rock-school-district,us:sd:0509000,little-rock-school-district-ar,"'Little Rock School District' now resolves to us:sd:0509000 (Little Rock School District, AR)"
live-oak-texas,rtr:us:tx:live-oak-texas,the-city-of-live-oak-texas-tx,"'The City of Live Oak Texas' now resolves to rtr:us:tx:live-oak-texas (The City of Live Oak Texas, TX)"
lloydminster-ab-sk,rtr:us:ab/sk:lloydminster-ab-sk,lloydminster-ab-sk-ab-sk,"'Lloydminster, AB/SK' now resolves to rtr:us:ab/sk:lloydminster-ab-sk (Lloydminster, AB/SK, AB/SK)"
lodi,us:place:0642202,lodi-ca,"'City of Lodi' now resolves to us:place:0642202 (Lodi, CA)"
los-angeles-usd-ca,us:sd:0622710,los-angeles-unified-school-district-ca,"'Los Angeles USD, CA' now resolves to us:sd:0622710 (Los Angeles Unified School District, CA)"
loudoun,us:county:51107,loudoun-county-va,"'Loudoun' now resolves to us:county:51107 (Loudoun County, VA)"
louisville,us:place:2148006,louisville-jefferson-county-ky,"'Louisville' now resolves to us:place:2148006 (Louisville/Jefferson County, KY)"
louisville-ky,us:place:2148006,louisville-jefferson-county-ky,"'Louisville, KY' now resolves to us:place:2148006 (Louisville/Jefferson County, KY)"
loyalist-township-on,ca:csd:3511005,loyalist-on,"'Loyalist Township, ON' now resolves to ca:csd:3511005 (Loyalist, ON)"
lynchburg,us:place:5147672,lynchburg-va,"'City of Lynchburg' now resolves to us:place:5147672 (Lynchburg, VA)"
mackenzie,ca:csd:5953033,mackenzie-bc,"'Mackenzie' now resolves to ca:csd:5953033 (Mackenzie, BC)"
madison,us:place:4640220,madison-city-sd,"'Madison' now resolves to us:place:4640220 (Madison (city), SD)"
madison-in,us:place:1845990,madison-city-in,"'Madison, IN' now resolves to us:place:1845990 (Madison (city), IN)"
madison-sd,us:place:4640220,madison-city-sd,"'Madison, SD' now resolves to us:place:4640220 (Madison (city), SD)"
mahwah-nj,us:cousub:3400342750,mahwah-township-nj,"'Mahwah, NJ' now resolves to us:cousub:3400342750 (Mahwah Township, NJ)"
malvern-borough,us:place:4246792,malvern-pa,"'Malvern Borough' now resolves to us:place:4246792 (Malvern, PA)"
manatee-county-public-schools-fl,us:sd:1201230,manatee-county-school-district-fl,"'Manatee County Public Schools, FL' now resolves to us:sd:1201230 (Manatee County School District, FL)"
manhattan-beach,us:place:0645400,manhattan-beach-ca,"'City of Manhattan Beach' now resolves to us:place:0645400 (Manhattan Beach, CA)"
manitowoc-wi,us:place:5548500,manitowoc-city-wi,"'City of Manitowoc, WI' now resolves to us:place:5548500 (Manitowoc (city), WI)"
mankato-mn,us:place:2739878,mankato-city-mn,"'Mankato, MN' now resolves to us:place:2739878 (Mankato (city), MN)"
mansfield,us:place:4846452,mansfield-tx,"'City of Mansfield' now resolves to us:place:4846452 (Mansfield, TX)"
mansfield-ct,us:cousub:0911044910,mansfield-town-ct,"'Mansfield, CT' now resolves to us:cousub:0911044910 (Mansfield Town, CT)"
maple-grove-mn,us:place:2740166,maple-grove-city-mn,"'City of Maple Grove, MN' now resolves to us:place:2740166 (Maple Grove (city), MN)"
maricopa,us:place:0444410,maricopa-az,"'City of Maricopa' now resolves to us:place:0444410 (Maricopa, AZ)"
marietta,us:place:1349756,marietta-ga,"'City of Marietta' now resolves to us:place:1349756 (Marietta, GA)"
marion,us:county:12083,marion-county-fl,"'Marion' now resolves to us:county:12083 (Marion County, FL)"
marion-county-public-schools-wv,us:sd:5400720,marion-county-school-district-wv,"'Marion County Public Schools, WV' now resolves to us:sd:5400720 (Marion County School District, WV)"
markham,us:place:1747007,markham-il,"'Markham' now resolves to us:place:1747007 (Markham, IL)"
marvin,us:place:3741720,marvin-nc,"'Marvin' now resolves to us:place:3741720 (Marvin, NC)"
media-borough,us:place:4248480,media-pa,"'Media Borough' now resolves to us:place:4248480 (Media, PA)"
menifee-nbsp-ca,rtr:us:ca:menifee-nbsp,city-of-menifee-nbsp-ca,"'City of Menifee&nbsp, CA' now resolves to rtr:us:ca:menifee-nbsp (City of Menifee&nbsp, CA)"
meridian,rtr:us:mi:meridian,meridian-mi,"'Meridian' now resolves to rtr:us:mi:meridian (Meridian, MI)"
merrickville-wolford,ca:csd:3507052,merrickville-wolford-on,"'Merrickville Wolford' now resolves to ca:csd:3507052 (Merrickville-Wolford, ON)"
merrill-wi,us:place:5551250,merrill-city-wi,"'Merrill, WI' now resolves to us:place:5551250 (Merrill (city), WI)"
mesa,us:place:0446000,mesa-az,"'City of Mesa' now resolves to us:place:0446000 (Mesa, AZ)"
metropolitan-airports-commission-mac,rtr:us:mn:metropolitan-airports-commission,metropolitan-airports-commission-mn,"'Metropolitan Airports Commission (MAC)' now resolves to rtr:us:mn:metropolitan-airports-commission (Metropolitan Airports Commission, MN)"
miami,us:place:1245000,miami-fl,"'City of Miami' now resolves to us:place:1245000 (Miami, FL)"
miami-dade-county,us:county:12086,miami-dade-county-fl,"'Miami Dade County' now resolves to us:county:12086 (Miami-Dade County, FL)"
middletown-nj,us:cousub:3402545990,middletown-township-nj,"'Middletown, NJ' now resolves to us:cousub:3402545990 (Middletown Township, NJ)"
midlothian,us:place:4848096,midlothian-tx,"'Midlothian' now resolves to us:place:4848096 (Midlothian, TX)"
mill-creek,us:place:4950150,millcreek-ut,"'Mill Creek' now resolves to us:place:4950150 (Millcreek, UT)"
millersburg,us:place:4148300,millersburg-or,"'City of Millersburg' now resolves to us:place:4148300 (Millersburg, OR)"
milwaukee,us:place:5553000,milwaukee-wi,"'City of Milwaukee.' now resolves to us:place:5553000 (Milwaukee, WI)"
mn-senate,us:state:27,state-of-minnesota,'Mn Senate' now resolves to us:state:27 (State of Minnesota)
monroe-oh,us:place:3951310,monroe-city-oh,"'Monroe, OH' now resolves to us:place:3951310 (Monroe (city), OH)"
montclair-nj,us:cousub:3401347500,montclair-township-nj,"'Montclair, NJ' now resolves to us:cousub:3401347500 (Montclair Township, NJ)"
montgomery-county,us:county:24031,montgomery-county-md,"'Montgomery County' now resolves to us:county:24031 (Montgomery County, MD)"
moorhead-mn,us:place:2743864,moorhead-city-mn,"'Moorhead, MN' now resolves to us:place:2743864 (Moorhead (city), MN)"
morgan-hill-ca-california,us:place:0649278,morgan-hill-ca,"'MORGAN HILL, CA - California' now resolves to us:place:0649278 (Morgan Hill, CA)"
morgantown-wv,rtr:us:wv:morgantown,the-city-of-morgantown-wv,"'The City of Morgantown, WV' now resolves to rtr:us:wv:morgantown (The City of Morgantown, WV)"
mountain-view,us:place:0649670,mountain-view-ca,"'Mountain View' now resolves to us:place:0649670 (Mountain View, CA)"
mt-juliet-city-tn,us:place:4750780,mount-juliet-tn,"'Mt Juliet City, TN' now resolves to us:place:4750780 (Mount Juliet, TN)"
