old_slug,gov_id,new_slug,evidence
riverhead-ny,us:cousub:3610361984,riverhead-town-ny,"'Riverhead, NY' now resolves to us:cousub:3610361984 (Riverhead Town, NY)"
riverside,us:place:0662000,riverside-ca,"'City of Riverside' now resolves to us:place:0662000 (Riverside, CA)"
riverside-il,us:place:1764421,riverside-village-il,"'Riverside, IL' now resolves to us:place:1764421 (Riverside (village), IL)"
riverview,us:place:2668880,riverview-mi,"'Riverview' now resolves to us:place:2668880 (Riverview, MI)"
rochester-mn,us:place:2754880,rochester-city-mn,"'Rochester, MN' now resolves to us:place:2754880 (Rochester (city), MN)"
rockaway-nj,us:place:3464050,rockaway-borough-nj,"'Rockaway, NJ' now resolves to us:place:3464050 (Rockaway (borough), NJ)"
rockford-il,us:place:1765000,rockford-city-il,"'Rockford, IL' now resolves to us:place:1765000 (Rockford (city), IL)"
rockville,us:place:2467675,rockville-md,"'City of Rockville' now resolves to us:place:2467675 (Rockville, MD)"
rocky-view-ab,ca:csd:4806014,rocky-view-county-ab,"'Rocky View, AB' now resolves to ca:csd:4806014 (Rocky View County, AB)"
rogers-mn,us:place:2755186,rogers-city-mn,"'City of Rogers, MN' now resolves to us:place:2755186 (Rogers (city), MN)"
rome,us:place:1366668,rome-ga,"'City of Rome' now resolves to us:place:1366668 (Rome, GA)"
rutherford-county,us:county:37161,rutherford-county-nc,"'Rutherford County' now resolves to us:county:37161 (Rutherford County, NC)"
rutland-ma,us:cousub:2502758825,rutland-town-ma,"'Rutland, MA' now resolves to us:cousub:2502758825 (Rutland Town, MA)"
rye-ny,us:place:3664309,rye-city-ny,"'Rye, NY' now resolves to us:place:3664309 (Rye (city), NY)"
sagaponack-village-ny,us:place:3664452,sagaponack-ny,"'Sagaponack Village, NY' now resolves to us:place:3664452 (Sagaponack, NY)"
saint-croix-county-wi,us:county:55109,st-croix-county-wi,"'Saint Croix County, WI' now resolves to us:county:55109 (St. Croix County, WI)"
saint-louis-mo,us:place:2965000,st-louis-mo,"'Saint Louis, MO' now resolves to us:place:2965000 (St. Louis, MO)"
sandag-ca,rtr:us:ca:san-diego-association-of-governments,san-diego-association-of-governments-ca,"'Sandag, CA' now resolves to rtr:us:ca:san-diego-association-of-governments (San Diego Association of Governments, CA)"
santa-clara,us:place:0669084,santa-clara-ca,"'City of Santa Clara' now resolves to us:place:0669084 (Santa Clara, CA)"
santa-rosa,us:place:0670098,santa-rosa-ca,"'City of Santa Rosa' now resolves to us:place:0670098 (Santa Rosa, CA)"
saratoga,us:place:0670280,saratoga-ca,"'City of Saratoga' now resolves to us:place:0670280 (Saratoga, CA)"
saugeenshores,ca:csd:3541045,saugeen-shores-on,"'Saugeenshores' now resolves to ca:csd:3541045 (Saugeen Shores, ON)"
scott-county,us:county:27139,scott-county-mn,"'Scott County' now resolves to us:county:27139 (Scott County, MN)"
sebastopol,us:place:0670770,sebastopol-ca,"'City of Sebastopol' now resolves to us:place:0670770 (Sebastopol, CA)"
seekonk-ma,us:cousub:2500560645,seekonk-town-ma,"'Seekonk, MA' now resolves to us:cousub:2500560645 (Seekonk Town, MA)"
seminole,us:place:1264975,seminole-fl,"'City of Seminole' now resolves to us:place:1264975 (Seminole, FL)"
sheboygan-wi,us:place:5572975,sheboygan-city-wi,"'Sheboygan, WI' now resolves to us:place:5572975 (Sheboygan (city), WI)"
shelby-mi,us:place:2672840,shelby-village-mi,"'Shelby, MI' now resolves to us:place:2672840 (Shelby (village), MI)"
sherman,us:place:4867496,sherman-tx,"'Sherman' now resolves to us:place:4867496 (Sherman, TX)"
smithtown-ny,us:cousub:3610368000,smithtown-town-ny,"'SMITHTOWN, NY' now resolves to us:cousub:3610368000 (Smithtown Town, NY)"
smyrna,us:place:1371492,smyrna-ga,"'City of Smyrna' now resolves to us:place:1371492 (Smyrna, GA)"
somerville,us:place:2562535,somerville-ma,"'Somerville' now resolves to us:place:2562535 (Somerville, MA)"
south-pasadena-unified-school-district,us:sd:0637500,south-pasadena-unified-school-district-ca,"'South Pasadena Unified School District' now resolves to us:sd:0637500 (South Pasadena Unified School District, CA)"
south-windsor-ct,us:cousub:0911071390,south-windsor-town-ct,"'South Windsor, CT' now resolves to us:cousub:0911071390 (South Windsor Town, CT)"
south-windsor-public-schools-ct,us:sd:0904170,south-windsor-school-district-ct,"'South Windsor Public Schools, CT' now resolves to us:sd:0904170 (South Windsor School District, CT)"
southampton,us:place:3668462,southampton-village-ny,"'Southampton' now resolves to us:place:3668462 (Southampton (village), NY)"
southampton-ny,us:place:3668462,southampton-village-ny,"'Southampton, NY' now resolves to us:place:3668462 (Southampton (village), NY)"
spring-hill-ks,us:place:2067625,spring-hill-city-ks,"'City of Spring Hill, KS' now resolves to us:place:2067625 (Spring Hill (city), KS)"
st-james-mn,us:place:2757040,st-james-city-mn,"'St James, MN' now resolves to us:place:2757040 (St. James (city), MN)"
st-marys,us:place:3969680,st-marys-city-oh,"'City of St. Marys' now resolves to us:place:3969680 (St. Marys (city), OH)"
st-petersburg,us:place:1263000,st-petersburg-fl,"'City of St. Petersburg' now resolves to us:place:1263000 (St. Petersburg, FL)"
state-college-borough,us:place:4273808,state-college-pa,"'State College Borough' now resolves to us:place:4273808 (State College, PA)"
stillwater,us:place:2762824,stillwater-city-mn,"'City of Stillwater' now resolves to us:place:2762824 (Stillwater (city), MN)"
stjohns,ca:csd:1001519,st-john-s-nl,"'Stjohns' now resolves to ca:csd:1001519 (St. John's, NL)"
stockbridge,us:place:1373704,stockbridge-ga,"'Stockbridge' now resolves to us:place:1373704 (Stockbridge, GA)"
stoneham-ma,us:cousub:2501767665,stoneham-town-ma,"'Stoneham, MA' now resolves to us:cousub:2501767665 (Stoneham Town, MA)"
strathcona,us:place:2763130,strathcona-mn,"'Strathcona' now resolves to us:place:2763130 (Strathcona, MN)"
strathroy-caradoc,ca:csd:3539015,strathroy-caradoc-on,"'Strathroy Caradoc' now resolves to ca:csd:3539015 (Strathroy-Caradoc, ON)"
sturgeon-county,ca:csd:4811059,sturgeon-county-ab,"'Sturgeon County' now resolves to ca:csd:4811059 (Sturgeon County, AB)"
sturgis,us:place:4662100,sturgis-sd,"'City of Sturgis' now resolves to us:place:4662100 (Sturgis, SD)"
sturgis-mi,us:place:2676960,sturgis-city-mi,"'City of Sturgis, MI' now resolves to us:place:2676960 (Sturgis (city), MI)"
subtitles-county,rtr:us:ut:subtitles-county,subtitles-county-ut,"'Subtitles County' now resolves to rtr:us:ut:subtitles-county (Subtitles County, UT)"
sulphur,us:place:2273640,sulphur-la,"'Sulphur' now resolves to us:place:2273640 (Sulphur, LA)"
sumter-county,us:county:12119,sumter-county-fl,"'Sumter County' now resolves to us:county:12119 (Sumter County, FL)"
sun-valley,us:place:1678850,sun-valley-id,"'City of Sun Valley' now resolves to us:place:1678850 (Sun Valley, ID)"
sunnyvale,us:place:0677000,sunnyvale-ca,"'City of Sunnyvale' now resolves to us:place:0677000 (Sunnyvale, CA)"
sunset-valley-travis-county-tx,us:place:4871324,sunset-valley-tx,"'City of Sunset Valley, Travis County, TX' now resolves to us:place:4871324 (Sunset Valley, TX)"
sunshine-coast-regional-district-bc,ca:cd:5929,sunshine-coast-bc,"'Sunshine Coast Regional District, BC' now resolves to ca:cd:5929 (Sunshine Coast, BC)"
superior,us:place:5578650,superior-city-wi,"'City of Superior' now resolves to us:place:5578650 (Superior (city), WI)"
superior-wi,us:cousub:5503178675,superior-town-wi,"'Superior, WI' now resolves to us:cousub:5503178675 (Superior (town), WI)"
talbot-county,us:county:24041,talbot-county-md,"'Talbot County' now resolves to us:county:24041 (Talbot County, MD)"
tampa-d,rtr:us:fl:tampa-bay-water,tampa-bay-water-fl,"'City of Tampa D.' now resolves to rtr:us:fl:tampa-bay-water (Tampa Bay Water, FL)"
taylor-mi-city,us:place:2679000,taylor-mi,"'Taylor, MI City' now resolves to us:place:2679000 (Taylor, MI)"
tdsb,rtr:ca:on:toronto-district-school-board,toronto-district-school-board-on,"'Tdsb' now resolves to rtr:ca:on:toronto-district-school-board (Toronto District School Board, ON)"
tenafly-borough-nj,us:place:3472420,tenafly-nj,"'Tenafly Borough, NJ' now resolves to us:place:3472420 (Tenafly, NJ)"
thurston,us:cousub:3610173836,thurston-town-ny,"'Thurston' now resolves to us:cousub:3610173836 (Thurston Town, NY)"
toledo,us:place:3977000,toledo-oh,"'City of Toledo' now resolves to us:place:3977000 (Toledo, OH)"
tom-green,us:county:48451,tom-green-county-tx,"'Tom Green' now resolves to us:county:48451 (Tom Green County, TX)"
town-of-amherst,us:place:5101672,amherst-va,"'Town of Amherst' now resolves to us:place:5101672 (Amherst, VA)"
town-of-amherst-erie-county-ny,us:cousub:3602902000,amherst-town-ny,"'Town of Amherst, Erie County, NY' now resolves to us:cousub:3602902000 (Amherst Town, NY)"
town-of-amherstburg-on,ca:csd:3537028,amherstburg-on,"'Town of Amherstburg, ON' now resolves to ca:csd:3537028 (Amherstburg, ON)"
town-of-ashland,us:place:5103368,ashland-va,"'Town of Ashland' now resolves to us:place:5103368 (Ashland, VA)"
town-of-atherton-ca,us:place:0603092,atherton-ca,"'Town of Atherton, CA' now resolves to us:place:0603092 (Atherton, CA)"
town-of-babylon-ny,us:cousub:3610304000,babylon-town-ny,"'Town of Babylon, NY' now resolves to us:cousub:3610304000 (Babylon (town), NY)"
town-of-bedford-ny,us:cousub:3611905320,bedford-town-ny,"'Town of Bedford, NY' now resolves to us:cousub:3611905320 (Bedford Town, NY)"
town-of-bedford-va,us:place:5105544,bedford-va,"'Town of Bedford, VA' now resolves to us:place:5105544 (Bedford, VA)"
town-of-bethlehem-ny,us:cousub:3600106354,bethlehem-town-ny,"'Town of Bethlehem, NY' now resolves to us:cousub:3600106354 (Bethlehem Town, NY)"
town-of-blacksburg,us:place:5107784,blacksburg-va,"'Town of Blacksburg' now resolves to us:place:5107784 (Blacksburg, VA)"
town-of-blowing-rock-nc,us:place:3706500,blowing-rock-nc,"'Town of Blowing Rock, NC' now resolves to us:place:3706500 (Blowing Rock, NC)"
town-of-bonnyville-ab,ca:csd:4812009,bonnyville-ab,"'Town of Bonnyville, AB' now resolves to ca:csd:4812009 (Bonnyville, AB)"
town-of-bradford,us:place:4707860,bradford-tn,"'Town of Bradford' now resolves to us:place:4707860 (Bradford, TN)"
town-of-bristol,us:cousub:4400109280,bristol-town-ri,"'Town of Bristol' now resolves to us:cousub:4400109280 (Bristol Town, RI)"
town-of-brookhaven-ny,us:cousub:3610310000,brookhaven-town-ny,"'Town of Brookhaven NY' now resolves to us:cousub:3610310000 (Brookhaven Town, NY)"
town-of-burrillville-ri,us:cousub:4400711800,burrillville-town-ri,"'Town of Burrillville, RI' now resolves to us:cousub:4400711800 (Burrillville Town, RI)"
town-of-carrboro-nc,us:place:3710620,carrboro-nc,"'Town of Carrboro, NC' now resolves to us:place:3710620 (Carrboro, NC)"
town-of-cary-nc,us:place:3710740,cary-nc,"'Town of Cary, NC' now resolves to us:place:3710740 (Cary, NC)"
town-of-castle-rock,us:place:0812415,castle-rock-co,"'Town of Castle Rock' now resolves to us:place:0812415 (Castle Rock, CO)"
town-of-chenango-ny,us:cousub:3600715110,chenango-town-ny,"'Town of Chenango, NY' now resolves to us:cousub:3600715110 (Chenango Town, NY)"
town-of-chesapeake-beach-md,us:place:2415925,chesapeake-beach-md,"'Town of Chesapeake Beach, MD' now resolves to us:place:2415925 (Chesapeake Beach, MD)"
town-of-cobourg-on,ca:csd:3514021,cobourg-on,"'Town of Cobourg, ON' now resolves to ca:csd:3514021 (Cobourg, ON)"
town-of-collingwood-on,ca:csd:3543031,collingwood-on,"'Town of Collingwood, ON' now resolves to ca:csd:3543031 (Collingwood, ON)"
town-of-colma-ca,us:place:0614736,colma-ca,"'Town of Colma, CA' now resolves to us:place:0614736 (Colma, CA)"
town-of-conception-bay-south-nl,ca:csd:1001485,conception-bay-south-nl,"'Town of Conception Bay South, NL' now resolves to ca:csd:1001485 (Conception Bay South, NL)"
town-of-corte-madera-ca,us:place:0616462,corte-madera-ca,"'Town of Corte Madera, CA' now resolves to us:place:0616462 (Corte Madera, CA)"
town-of-cottage-grove-wi,us:cousub:5502517200,cottage-grove-town-wi,"'Town of Cottage Grove, WI' now resolves to us:cousub:5502517200 (Cottage Grove (town), WI)"
town-of-coventry,us:cousub:4400318640,coventry-town-ri,"'Town of Coventry' now resolves to us:cousub:4400318640 (Coventry Town, RI)"
town-of-cutler-bay-fl,us:place:1215968,cutler-bay-fl,"'Town of Cutler Bay, FL' now resolves to us:place:1215968 (Cutler Bay, FL)"
town-of-danville-ca,us:place:0617988,danville-ca,"'Town of Danville, CA' now resolves to us:place:0617988 (Danville, CA)"
town-of-davie-fl,us:place:1216475,davie-fl,"'Town of Davie, FL' now resolves to us:place:1216475 (Davie, FL)"
town-of-dewey-humboldt-az,us:place:0419145,dewey-humboldt-az,"'Town of Dewey-Humboldt, AZ' now resolves to us:place:0419145 (Dewey-Humboldt, AZ)"
town-of-edenton-nc,us:place:3720120,edenton-nc,"'Town of Edenton, NC' now resolves to us:place:3720120 (Edenton, NC)"
town-of-emerald-isle-nc,us:place:3721160,emerald-isle-nc,"'Town of Emerald Isle, NC' now resolves to us:place:3721160 (Emerald Isle, NC)"
town-of-erie-co,us:place:0824950,erie-co,"'Town of Erie, CO' now resolves to us:place:0824950 (Erie, CO)"
town-of-erin,us:place:4724320,erin-tn,"'Town of Erin' now resolves to us:place:4724320 (Erin, TN)"
town-of-fairfax-ca,us:place:0623168,fairfax-ca,"'Town of Fairfax, CA' now resolves to us:place:0623168 (Fairfax, CA)"
town-of-fishkill-ny,us:cousub:3602725978,fishkill-town-ny,"'Town of Fishkill, NY' now resolves to us:cousub:3602725978 (Fishkill (town), NY)"
town-of-forest-heights-md,us:place:2428725,forest-heights-md,"'Town of Forest Heights, MD' now resolves to us:place:2428725 (Forest Heights, MD)"
town-of-fort-erie-on,ca:csd:3526003,fort-erie-on,"'Town of Fort Erie, ON' now resolves to ca:csd:3526003 (Fort Erie, ON)"
town-of-fort-myers-beach-fl,us:place:1224150,fort-myers-beach-fl,"'Town of Fort Myers Beach, FL' now resolves to us:place:1224150 (Fort Myers Beach, FL)"
town-of-fraser,us:place:0828305,fraser-co,"'Town of Fraser' now resolves to us:place:0828305 (Fraser, CO)"
town-of-freeport,us:cousub:2300526525,freeport-town-me,"'Town of Freeport' now resolves to us:cousub:2300526525 (Freeport Town, ME)"
town-of-frisco,us:place:0828690,frisco-co,"'Town of Frisco' now resolves to us:place:0828690 (Frisco, CO)"
town-of-frisco-co,us:place:0828690,frisco-co,"'Town of Frisco, CO' now resolves to us:place:0828690 (Frisco, CO)"
town-of-fuquay-varina-nc,us:place:3725300,fuquay-varina-nc,"'Town of Fuquay-Varina, NC' now resolves to us:place:3725300 (Fuquay-Varina, NC)"
town-of-georgina-on,ca:csd:3519070,georgina-on,"'Town of Georgina, ON' now resolves to ca:csd:3519070 (Georgina, ON)"
town-of-grand-valley-on,ca:csd:3522010,grand-valley-on,"'Town of Grand Valley, ON' now resolves to ca:csd:3522010 (Grand Valley, ON)"
town-of-gray-me,us:cousub:2300528870,gray-town-me,"'Town of Gray, ME' now resolves to us:cousub:2300528870 (Gray Town, ME)"
town-of-halton-hills-on,ca:csd:3524015,halton-hills-on,"'Town of Halton Hills, ON' now resolves to ca:csd:3524015 (Halton Hills, ON)"
town-of-haymarket-va,us:place:5135976,haymarket-va,"'Town of Haymarket, VA' now resolves to us:place:5135976 (Haymarket, VA)"
town-of-hearst-on,ca:csd:3556076,hearst-on,"'Town of Hearst, ON' now resolves to ca:csd:3556076 (Hearst, ON)"
town-of-herndon,us:place:5136648,herndon-va,"'Town of Herndon' now resolves to us:place:5136648 (Herndon, VA)"
town-of-high-river-ab,ca:csd:4806006,high-river-ab,"'Town of High River, AB' now resolves to ca:csd:4806006 (High River, AB)"
town-of-hillsborough,us:cousub:3301136180,hillsborough-town-nh,"'Town of Hillsborough' now resolves to us:cousub:3301136180 (Hillsborough Town, NH)"
town-of-huntington,us:cousub:3610337000,huntington-town-ny,"'Town of Huntington' now resolves to us:cousub:3610337000 (Huntington Town, NY)"
town-of-lake-cowichan-bc,ca:csd:5919016,lake-cowichan-bc,"'Town of Lake Cowichan, BC' now resolves to ca:csd:5919016 (Lake Cowichan, BC)"
town-of-lauderdale-by-the-sea-fl,us:place:1239475,lauderdale-by-the-sea-fl,"'Town of Lauderdale-By-The-Sea, FL' now resolves to us:place:1239475 (Lauderdale-by-the-Sea, FL)"
town-of-leland,us:place:3737680,leland-nc,"'Town of Leland' now resolves to us:place:3737680 (Leland, NC)"
town-of-lincoln-ri,us:cousub:4400741500,lincoln-town-ri,"'Town of Lincoln, RI' now resolves to us:cousub:4400741500 (Lincoln Town, RI)"
town-of-los-gatos-ca,us:place:0644112,los-gatos-ca,"'Town of Los Gatos, CA' now resolves to us:place:0644112 (Los Gatos, CA)"
town-of-loxahatchee-groves-fl,us:place:1241577,loxahatchee-groves-fl,"'Town of Loxahatchee Groves, FL' now resolves to us:place:1241577 (Loxahatchee Groves, FL)"
town-of-mammoth-lakes-ca,us:place:0645358,mammoth-lakes-ca,"'Town of Mammoth Lakes, CA' now resolves to us:place:0645358 (Mammoth Lakes, CA)"
town-of-mills-river-nc,us:place:3743260,mills-river-nc,"'Town of Mills River, NC' now resolves to us:place:3743260 (Mills River, NC)"
town-of-milton-on,ca:csd:3524009,milton-on,"'Town of Milton, ON' now resolves to ca:csd:3524009 (Milton, ON)"
town-of-mono-on,ca:csd:3522012,mono-on,"'Town of Mono, ON' now resolves to ca:csd:3522012 (Mono, ON)"
town-of-moraga-ca,us:place:0649187,moraga-ca,"'Town of Moraga, CA' now resolves to us:place:0649187 (Moraga, CA)"
town-of-morinville-ab,ca:csd:4811068,morinville-ab,"'Town of Morinville, AB' now resolves to ca:csd:4811068 (Morinville, AB)"
town-of-new-tecumseth-on,ca:csd:3543007,new-tecumseth-on,"'Town of New Tecumseth, ON' now resolves to ca:csd:3543007 (New Tecumseth, ON)"
town-of-niagara-on-the-lake-on,ca:csd:3526047,niagara-on-the-lake-on,"'Town of Niagara-on-the-Lake, ON' now resolves to ca:csd:3526047 (Niagara-on-the-Lake, ON)"
town-of-north-castle-ny,us:cousub:3611951693,north-castle-town-ny,"'Town of North Castle, NY' now resolves to us:cousub:3611951693 (North Castle Town, NY)"
town-of-oakland-fl,us:place:1250525,oakland-fl,"'Town of Oakland, FL' now resolves to us:place:1250525 (Oakland, FL)"
town-of-oakville-on,ca:csd:3524001,oakville-on,"'Town of Oakville, ON' now resolves to ca:csd:3524001 (Oakville, ON)"
town-of-okotoks-ab,ca:csd:4806012,okotoks-ab,"'Town of Okotoks, AB' now resolves to ca:csd:4806012 (Okotoks, AB)"
town-of-orangeville,ca:csd:3522014,orangeville-on,"'Town of Orangeville' now resolves to ca:csd:3522014 (Orangeville, ON)"
town-of-palmer-lake-co,us:place:0857025,palmer-lake-co,"'Town of Palmer Lake, CO' now resolves to us:place:0857025 (Palmer Lake, CO)"
town-of-payson,us:place:0453700,payson-az,"'Town of Payson' now resolves to us:place:0453700 (Payson, AZ)"
town-of-pinetop-lakeside-az,us:place:0455980,pinetop-lakeside-az,"'Town of Pinetop-Lakeside, AZ' now resolves to us:place:0455980 (Pinetop-Lakeside, AZ)"
town-of-prescott-valley-az,us:place:0457450,prescott-valley-az,"'Town of Prescott Valley, AZ' now resolves to us:place:0457450 (Prescott Valley, AZ)"
town-of-rye,us:cousub:3611964320,rye-town-ny,"'Town of Rye' now resolves to us:cousub:3611964320 (Rye (town), NY)"
town-of-sahuarita-az,us:place:0462140,sahuarita-az,"'Town of Sahuarita, AZ' now resolves to us:place:0462140 (Sahuarita, AZ)"
town-of-san-anselmo-ca,us:place:0664434,san-anselmo-ca,"'Town of San Anselmo, CA' now resolves to us:place:0664434 (San Anselmo, CA)"
town-of-saugeen-shores-on,ca:csd:3541045,saugeen-shores-on,"'Town of Saugeen Shores, ON' now resolves to ca:csd:3541045 (Saugeen Shores, ON)"
town-of-secaucus-nj,us:place:3466570,secaucus-nj,"'Town of Secaucus, NJ' now resolves to us:place:3466570 (Secaucus, NJ)"
town-of-shelburne,ca:csd:3522021,shelburne-on,"'Town of Shelburne' now resolves to ca:csd:3522021 (Shelburne, ON)"
town-of-silver-city-nm,us:place:3573260,silver-city-nm,"'Town of Silver City, NM.' now resolves to us:place:3573260 (Silver City, NM)"
town-of-silverthorne-co,us:place:0870525,silverthorne-co,"'Town of Silverthorne, CO' now resolves to us:place:0870525 (Silverthorne, CO)"
town-of-skowhegan-me,us:cousub:2302568910,skowhegan-town-me,"'Town of Skowhegan, ME' now resolves to us:cousub:2302568910 (Skowhegan Town, ME)"
town-of-slave-lake-ab,ca:csd:4817029,slave-lake-ab,"'Town of Slave Lake, AB' now resolves to ca:csd:4817029 (Slave Lake, AB)"
town-of-snowmass-village-co,us:place:0871755,snowmass-village-co,"'Town of Snowmass Village, CO' now resolves to us:place:0871755 (Snowmass Village, CO)"
town-of-southwick-ma,us:cousub:2501365825,southwick-town-ma,"'Town of Southwick, MA' now resolves to us:cousub:2501365825 (Southwick Town, MA)"
town-of-sullivan-ny,us:cousub:3605371993,sullivan-town-ny,"'Town of Sullivan, NY' now resolves to us:cousub:3605371993 (Sullivan Town, NY)"
town-of-surfside-beach,us:place:4570585,surfside-beach-sc,"'Town of Surfside Beach' now resolves to us:place:4570585 (Surfside Beach, SC)"
town-of-surfside-fl,us:place:1270075,surfside-fl,"'Town of Surfside, FL' now resolves to us:place:1270075 (Surfside, FL)"
town-of-tiburon-ca,us:place:0678666,tiburon-ca,"'Town of Tiburon, CA' now resolves to us:place:0678666 (Tiburon, CA)"
town-of-tillsonburg-on,ca:csd:3532004,tillsonburg-on,"'Town of Tillsonburg, ON' now resolves to ca:csd:3532004 (Tillsonburg, ON)"
town-of-topsail-beach-nc,us:place:3768040,topsail-beach-nc,"'Town of Topsail Beach, NC' now resolves to us:place:3768040 (Topsail Beach, NC)"
town-of-troutman-nc,us:place:3768500,troutman-nc,"'Town of Troutman, NC' now resolves to us:place:3768500 (Troutman, NC)"
town-of-vulcan-ab,ca:csd:4805006,vulcan-ab,"'Town of Vulcan, AB' now resolves to ca:csd:4805006 (Vulcan, AB)"
town-of-wappinger-ny,us:cousub:3602778157,wappinger-town-ny,"'Town of Wappinger, NY' now resolves to us:cousub:3602778157 (Wappinger Town, NY)"
town-of-wasaga-beach-on,ca:csd:3543064,wasaga-beach-on,"'Town of Wasaga Beach, ON' now resolves to ca:csd:3543064 (Wasaga Beach, ON)"
town-of-waxhaw-nc,us:place:3771460,waxhaw-nc,"'Town of Waxhaw, NC' now resolves to us:place:3771460 (Waxhaw, NC)"
town-of-waynesville,us:place:3771500,waynesville-nc,"'Town of Waynesville' now resolves to us:place:3771500 (Waynesville, NC)"
town-of-webster,us:place:3771600,webster-nc,"'Town of Webster' now resolves to us:place:3771600 (Webster, NC)"
town-of-weston-wi,us:place:5586025,weston-village-wi,"'Town of Weston, WI' now resolves to us:place:5586025 (Weston (village), WI)"
town-of-whitby-on,ca:csd:3518009,whitby-on,"'Town of Whitby, ON' now resolves to ca:csd:3518009 (Whitby, ON)"
town-of-whitchurch-stouffville-on,ca:csd:3519044,whitchurch-stouffville-on,"'Town of Whitchurch-Stouffville, ON' now resolves to ca:csd:3519044 (Whitchurch-Stouffville, ON)"
town-of-winchendon-ma,us:cousub:2502780405,winchendon-town-ma,"'Town of Winchendon, MA' now resolves to us:cousub:2502780405 (Winchendon Town, MA)"
town-of-windham-me,us:cousub:2300586025,windham-town-me,"'Town of Windham, ME' now resolves to us:cousub:2300586025 (Windham Town, ME)"
town-of-windsor,us:place:0685922,windsor-ca,"'Town of Windsor' now resolves to us:place:0685922 (Windsor, CA)"
town-of-yarmouth-ns,ca:csd:1202006,yarmouth-ns,"'Town of Yarmouth, NS' now resolves to ca:csd:1202006 (Yarmouth, NS)"
town-of-yorktown-ny,us:cousub:3611984077,yorktown-town-ny,"'Town of Yorktown, NY' now resolves to us:cousub:3611984077 (Yorktown Town, NY)"
town-of-zionsville-in,us:place:1886372,zionsville-in,"'Town of Zionsville, IN' now resolves to us:place:1886372 (Zionsville, IN)"
township-of-adjala-tosorontio-on,ca:csd:3543003,adjala-tosorontio-on,"'Township of Adjala-Tosorontio, ON' now resolves to ca:csd:3543003 (Adjala-Tosorontio, ON)"
township-of-branchburg-nj,us:cousub:3403507180,branchburg-township-nj,"'Township of Branchburg, NJ' now resolves to us:cousub:3403507180 (Branchburg Township, NJ)"
township-of-brock,ca:csd:3518039,brock-on,"'Township Of Brock' now resolves to ca:csd:3518039 (Brock, ON)"
township-of-centre-wellington-on,ca:csd:3523025,centre-wellington-on,"'Township of Centre Wellington, ON' now resolves to ca:csd:3523025 (Centre Wellington, ON)"
township-of-front-of-yonge-on,ca:csd:3507017,front-of-yonge-on,"'Township of Front of Yonge, ON' now resolves to ca:csd:3507017 (Front of Yonge, ON)"
township-of-grosse-ile-mi,us:cousub:2616335420,grosse-ile-township-mi,"'Township of Grosse Ile, MI' now resolves to us:cousub:2616335420 (Grosse Ile Township, MI)"
township-of-otonabee-south-monaghan-on,ca:csd:3515005,otonabee-south-monaghan-on,"'Township of Otonabee-South Monaghan, ON' now resolves to ca:csd:3515005 (Otonabee-South Monaghan, ON)"
township-of-ramara-on,ca:csd:3543019,ramara-on,"'Township of Ramara, ON' now resolves to ca:csd:3543019 (Ramara, ON)"
township-of-severn,us:cousub:3809371860,severn-township-nd,"'Township of Severn' now resolves to us:cousub:3809371860 (Severn Township, ND)"
tracy,us:place:0680238,tracy-ca,"'City of Tracy' now resolves to us:place:0680238 (Tracy, CA)"
travis,us:county:48453,travis-county-tx,"'Travis' now resolves to us:county:48453 (Travis County, TX)"
troy-nh,us:cousub:3300577380,troy-town-nh,"'Troy, NH' now resolves to us:cousub:3300577380 (Troy Town, NH)"
tuolumne,us:county:06109,tuolumne-county-ca,"'Tuolumne' now resolves to us:county:06109 (Tuolumne County, CA)"
tustin,us:place:0680854,tustin-ca,"'City of Tustin' now resolves to us:place:0680854 (Tustin, CA)"
twinsburg-oh,us:place:3978050,twinsburg-city-oh,"'Twinsburg, OH' now resolves to us:place:3978050 (Twinsburg (city), OH)"
ukiah,us:place:0681134,ukiah-ca,"'Ukiah' now resolves to us:place:0681134 (Ukiah, CA)"
union-city,us:place:0681204,union-city-ca,"'Union City' now resolves to us:place:0681204 (Union City, CA)"
union-county,us:county:37179,union-county-nc,"'Union County' now resolves to us:county:37179 (Union County, NC)"
unknown-jurisdiction,us:place:0620956,east-palo-alto-ca,"'Unknown Jurisdiction' now resolves to us:place:0620956 (East Palo Alto, CA)"
upper-dublin-pa,us:cousub:4209179008,upper-dublin-township-pa,"'Upper Dublin, PA' now resolves to us:cousub:4209179008 (Upper Dublin Township, PA)"
vacaville-unified-school-district,us:sd:0640590,vacaville-unified-school-district-ca,"'Vacaville Unified School District' now resolves to us:sd:0640590 (Vacaville Unified School District, CA)"
van-buren-tn,us:county:47175,van-buren-county-tn,"'Van Buren, TN' now resolves to us:county:47175 (Van Buren County, TN)"
venice,us:place:1273900,venice-fl,"'Venice' now resolves to us:place:1273900 (Venice, FL)"
ventura,us:place:1980580,ventura-ia,"'City of Ventura' now resolves to us:place:1980580 (Ventura, IA)"
ventura-ca,us:county:06111,ventura-county-ca,"'Ventura, CA' now resolves to us:county:06111 (Ventura County, CA)"
vermillion-sd,us:place:4666700,vermillion-city-sd,"'Vermillion, SD' now resolves to us:place:4666700 (Vermillion (city), SD)"
verona,us:place:5582600,verona-city-wi,"'City of Verona' now resolves to us:place:5582600 (Verona (city), WI)"
