platform,tenant_host,match,pages,stored_names,example_slug,landing_url,swagit_footer,proposed_name,proposed_gov_id,proposed_evidence,ryan_gov_name,ryan_note
escribe,pub-leduc-county.escribemeetings.com,,1,Leduc County,leduc-county-2024-04-09-council-meeting,https://pub-leduc-county.escribemeetings.com,,,,,,
escribe,pub-llbc.escribemeetings.com,,1,Llbc,llbc-2025-07-22-cold-mix-township-road-660a-and-range-road-134-regular-council-m,https://pub-llbc.escribemeetings.com,,,,,,
escribe,pub-notl.escribemeetings.com,,1,Notl,notl-2026-01-27-council-meeting,https://pub-notl.escribemeetings.com,,,,,,
escribe,pub-oneinvestmentprogram.escribemeetings.com,,1,Oneinvestmentprogram,oneinvestmentprogram-2024-11-15-joint-investment-board-special-meeting,https://pub-oneinvestmentprogram.escribemeetings.com,,,,,,
escribe,pub-palmdesert.escribemeetings.com,,1,Palm Desert City Negotiator,palm-desert-city-negotiator-2026-06-25-resolutions-related-to-the-adoption-of-th,https://pub-palmdesert.escribemeetings.com,,"Palm Desert, CA",us:place:0655184,"hostname ""pub-palmdesert.escribemeetings.com"" -> ""Palmdesert""",,
escribe,pub-prescott.escribemeetings.com,,1,Prescott,prescott-2024-10-07-council-agenda,https://pub-prescott.escribemeetings.com,,,,,,
escribe,pub-rmwb.escribemeetings.com,,1,Rmwb,rmwb-2026-01-13-council-meeting,https://pub-rmwb.escribemeetings.com,,,,,,
escribe,pub-stratford.escribemeetings.com,,1,Stratford Ad,stratford-ad-2024-09-16-ad-hoc-grand-trunk-renewal-committee,https://pub-stratford.escribemeetings.com,,,,,,
escribe,pub-townofws.escribemeetings.com,,1,Townofws,townofws-2025-06-04-council-meeting,https://pub-townofws.escribemeetings.com,,,,,,
escribe,pub-twpec.escribemeetings.com,,1,Twpec,twpec-2025-11-03-committee-of-the-whole-community-development,https://pub-twpec.escribemeetings.com,,,,,,
escribe,pub-vermilion.escribemeetings.com,,1,Vermilion,vermilion-2026-08-18-regular-council-meeting,https://pub-vermilion.escribemeetings.com,,,,,,
escribe,pub-vernon.escribemeetings.com,,1,City of Vernon,city-of-vernon-2026-07-20-public-hearing,https://pub-vernon.escribemeetings.com,,,,,,
escribe,pub-westkelowna.escribemeetings.com,,1,West Kelowna Council Chambers,west-kelowna-council-chambers-2023-12-12-regular-council-meeting,https://pub-westkelowna.escribemeetings.com,,"West Kelowna, BC",ca:csd:5935029,"hostname ""pub-westkelowna.escribemeetings.com"" -> ""Westkelowna""",,
escribe,tecumseh-pub.escribemeetings.com,,1,,2026-08-19-special-council-meeting,https://tecumseh-pub.escribemeetings.com,,,,,,
cablecast,huron-township.cablecast.tv,,4,Huron Township,2026-07-30-board-meeting-8-12-2026,https://huron-township.cablecast.tv,,,,,,
cablecast,cityofpontiac.cablecast.tv,,3,Pontiac,pontiac-2025-05-20-pontiac-city-council,https://cityofpontiac.cablecast.tv,,,,,,
cablecast,dakotamediaaccess.cablecast.tv,,3,,2026-06-30-front-avenue-sound-sessions-ep-6-with-stephen-gefroh,https://dakotamediaaccess.cablecast.tv,,,,,,
cablecast,edina-mn.cablecast.tv,,3,,2026-03-17-eden-prairie-music-dept-concert,https://edina-mn.cablecast.tv,,"Edina, MN",us:place:2718188,"hostname ""edina-mn.cablecast.tv"" -> ""Edina, MN""",,
cablecast,hamiltonwenham.cablecast.tv,,3,,2026-08-17-hamilton-select-board-8-17-26,https://hamiltonwenham.cablecast.tv,,,,,,
cablecast,hctv.cablecast.tv,,3,Holden,holden-2026-08-11-wrsdc-meeting-august-10-2026,https://hctv.cablecast.tv,,,,,,
cablecast,laquinta.cablecast.tv,,3,La,la-2026-08-04-housing-authority-special-meeting-august-4-2026,https://laquinta.cablecast.tv,,"La Quinta, CA",us:place:0640354,"hostname ""laquinta.cablecast.tv"" -> ""Laquinta""",,
cablecast,pcc.cablecast.tv,,3,,2024-04-25-prge-community-impact,https://pcc.cablecast.tv,,,,,,
cablecast,pgcps.cablecast.tv,,3,,2024-09-06-newsbreak-school-house-justice,https://pgcps.cablecast.tv,,,,,,
cablecast,stcharles-mo.cablecast.tv,,3,,2026-08-17-landmarks-board-meeting-august-17-2026,https://stcharles-mo.cablecast.tv,,"St. Charles, MO",us:place:2964082,"hostname ""stcharles-mo.cablecast.tv"" -> ""Stcharles, MO""",,
cablecast,trojanvision.cablecast.tv,,3,,2026-05-08-spring-2026-commencement-session-1,https://trojanvision.cablecast.tv,,,,,,
cablecast,tvhamilton.cablecast.tv,,3,City of Hamilton|Hamilton,hamilton-2026-08-11-hcsd-board-of-education-meeting-8-11-26,https://tvhamilton.cablecast.tv,,,,,,
cablecast,utvs.cablecast.tv,,3,,2026-07-01-utvs-zen-american-flag-america-250,https://utvs.cablecast.tv,,,,,,
