page_id,slug,corpus_role,tier_before,platform,tenant_host,source_url,jurisdiction,gov_id_before,tier_after_no_signals,fetched,gov_id_after,tier_after,changed,signals_used,country_after,state_after,ca_province_after
689,stratford-ad-2024-09-16-ad-hoc-grand-trunk-renewal-committee,target,unresolved,escribe,pub-stratford.escribemeetings.com,https://pub-stratford.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=019e75ec-fa3e-41bd-808b-8bfa8686de53&lang=English,Stratford Ad,,unresolved,True,,unresolved,False,,us,,
693,townofws-2025-06-04-council-meeting,target,unresolved,escribe,pub-townofws.escribemeetings.com,https://pub-townofws.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=052b3cd4-09bf-40d7-864f-0da18f14d4d7&lang=English,Townofws,,unresolved,True,ca:csd:3519044,registry,True,org_names,ca,ON,ON
696,west-kelowna-council-chambers-2023-12-12-regular-council-meeting,target,unresolved,escribe,pub-westkelowna.escribemeetings.com,https://pub-westkelowna.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=0f033611-bce7-4785-9dcc-a6b46655fdd6&lang=English,West Kelowna Council Chambers,rtr:ca:bc:west-kelowna-council-chambers,unverified,True,ca:csd:5935029,registry,True,org_names,ca,BC,BC
725,august-19-2025-ashland-city-council,target,unresolved,telvue,u.peg.tv,https://u.peg.tv/s/6abzuu,Ashland,,unresolved,True,,unresolved,False,,us,,
730,city-of-hawthorne-2024-07-03-planning-commission-meeting-7-03-24,target,unresolved,youtube,cityofhawthorne.primegov.com,https://cityofhawthorne.primegov.com/Portal/Meeting?meetingTemplateId=7451,City of Hawthorne,us:place:0632548,pinned,True,us:place:0632548,pinned,False,,us,CA,
737,ada-county-highway-district-2024-06-24-capital-investment-citizen-advisory-commi,target,unresolved,youtube,achdidaho.civicweb.net,https://achdidaho.civicweb.net/Portal/MeetingInformation.aspx?Id=10811&Org=Cal,Ada County Highway District,,unresolved,True,,unresolved,False,,us,,
742,ac-transit-2024-12-11-board-of-directors,target,unresolved,granicus,actransit.granicus.com,https://actransit.granicus.com/player/clip/1000,Ac Transit,,unresolved,True,,unresolved,False,,us,,
743,county-of-adams-board-of-county-commissioners-monday,target,unresolved,granicus,adams.granicus.com,https://adams.granicus.com/player/clip/1303?view_id=6,County of Adams,,unresolved,True,,unresolved,False,,us,,
749,subtitles-county-2026-07-14-county-council-on-2026-07-14-5-00-pm,target,unresolved,granicus,allegheny.granicus.com,https://allegheny.granicus.com/player/clip/1049,Subtitles County,,unresolved,True,us:county:42003,registry,True,org_names,us,PA,
750,city-of-al-2025-04-16-city-council-on-2025-04-16-6-30-pm,target,unresolved,granicus,allentownpa.granicus.com,https://allentownpa.granicus.com/player/clip/1798,City of Al,,unresolved,True,us:place:4202000,registry,True,org_names,us,PA,
762,beach-cities-health-district-2022-05-12-strategic-development-half-day,target,unresolved,granicus,bchd.granicus.com,https://bchd.granicus.com/player/clip/632?view_id=2,Beach Cities Health District,,unresolved,True,,unresolved,False,,us,,
