page_id,tenant_host,platform,tier_before,tier_after,gov_id_before,gov_id_after,signals_used
1150,cerritos.new.swagit.com,swagit,unverified,registry,rtr:us:ca:cerritos-college,us:place:0612552,org_names
1173,hayscisdtx.new.swagit.com,swagit,unverified,registry,rtr:us:tx:hays-cisd,us:place:4811080,org_names
1198,pylusd.new.swagit.com,swagit,unverified,registry,rtr:us:ca:yorba-linda-usd,us:place:0602000,org_names
1263,buffalony.iqm2.com,iqm2,unverified,registry,rtr:us:ny:buffalo,us:place:3611000,org_names
1267,cityofmenifee.primegov.com,youtube,unverified,registry,rtr:us:ca:menifee-nbsp,us:place:0646842,org_names
1330,bethanybeach.granicus.com,granicus,unverified,registry,rtr:us:de:bethany-beach,us:place:1005690,org_names
1404,smithtownny.iqm2.com,iqm2,unverified,registry,rtr:us:ny:smithtown-smithtown,us:cousub:3610368000,org_names
1405,southoldtown.iqm2.com,iqm2,unverified,registry,rtr:us:ny:southold-long-island,us:cousub:3610369463,org_names
1434,bladensburgtown-md.municodemeetings.com,youtube,unverified,registry,rtr:us:md:july13-2026-town-of-bladensburg-maryland-meetings-hub,us:place:2407850,org_names
1437,columbus-wi.municodemeetings.com,youtube,unverified,registry,rtr:us:wi:columbus-wisconsin-meetings-hub,us:place:5516450,org_names
1444,kingsport-tn.municodemeetings.com,youtube,unverified,registry,rtr:us:tn:municode-portal,us:place:4739560,org_names
1446,laurel-md.municodemeetings.com,youtube,unverified,registry,rtr:us:md:municode-portal,us:place:2445900,org_names
1449,madeirabeach-fl.municodemeetings.com,youtube,unverified,registry,rtr:us:fl:madeira-beach-florida-meetings-hub,us:place:1242400,org_names
1450,richwood-tx.municodemeetings.com,youtube,unverified,registry,rtr:us:tx:richwood-texas,us:place:4861904,org_names
1454,waltoncounty-ga.municodemeetings.com,youtube,unverified,registry,rtr:us:ga:walton-county-meetings-portal,us:county:13297,org_names
1455,willowpark-tx.municodemeetings.com,youtube,unverified,registry,rtr:us:tx:willow-park-texas-meetings-hub,us:place:4879492,org_names
1634,paramountcity.primegov.com,youtube,unverified,registry,rtr:us:ca:paramount-retiree,us:place:0655618,org_names
1639,reno.primegov.com,youtube,unverified,registry,rtr:us:nv:reno-logo,us:place:3260600,org_names
1775,cityoflacrosse.granicus.com,granicus,unverified,registry,rtr:us:wi:la-crosse,us:place:5336850,org_names
1922,clawson.granicus.com,granicus,unverified,registry,rtr:us:mi:clawson,us:place:2616160,org_names
1994,garlandisdtx.new.swagit.com,swagit,unverified,registry,rtr:us:tx:garland-isd,us:place:4829000,org_names
2081,delandfl.granicus.com,granicus,unverified,registry,rtr:us:fl:deland,us:place:1216875,org_names
2105,eastlansing.granicus.com,granicus,unverified,registry,rtr:us:mi:east-lansing,us:place:2624120,org_names
2128,easthamptontown.iqm2.com,iqm2,unverified,registry,rtr:us:ny:east-hampton-long-island,us:cousub:3610322194,org_names
2291,harrisonburg-va.granicus.com,granicus,unverified,registry,rtr:us:va:harrisonburg,us:place:5135624,org_names
2351,hooksett.granicus.com,granicus,unverified,registry,rtr:us:nh:hooksett,us:cousub:3301337300,org_names
2357,huntingtonpark.granicus.com,granicus,unverified,registry,rtr:us:ca:huntington-park,us:place:0636056,org_names
2420,smithtownny.iqm2.com,iqm2,unverified,registry,rtr:us:ny:smithtown-smithtown,us:cousub:3610368000,org_names
2454,lincolnpark-mi.granicus.com,granicus,unverified,registry,rtr:us:mi:lincoln-park,us:place:2647800,org_names
2455,liveoaktx.granicus.com,granicus,unverified,registry,rtr:us:tx:live-oak-texas,us:place:4843096,org_names
2502,brookhavenny.portal.civicclerk.com,civicclerk,unverified,registry,rtr:us:ny:farmingville,us:cousub:3610310000,org_names
2528,morgantown.granicus.com,granicus,unverified,registry,rtr:us:wv:morgantown,us:place:5455756,org_names
2553,northsalem.granicus.com,granicus,unverified,registry,rtr:us:ny:north-salem,us:place:1855080,org_names
2609,petersburg.granicus.com,granicus,unverified,registry,rtr:us:ak:petersburg,us:county:02195,org_names
2687,redmond.granicus.com,granicus,unverified,registry,rtr:us:wa:redmond,us:place:5357535,org_names
3129,juneauak.portal.civicclerk.com,civicclerk,unverified,registry,rtr:us:ak:juneau,us:place:5538675,org_names
