gov_id,name,state,country,gov_kind,population,domain,reject_reason,access_mode,rung_answered,bucket,platform,hit_url,final_url,waf_family,note,elapsed_seconds,exception,final_url_is_youtube,direct_file_plausible
38:5621415,Dubois town,WY,us,municipality,989,duboiswyoming.org,no-platform-link-found,plain,plain,dead,direct_file,https://www.nps.gov/nps-audiovideo/legacy/yell/A35E7E79-CDF6-74D8-26332556B9F2D5E2/yell-Orientationnocaptions2_1280x720.mp4,https://www.nps.gov/yell/index.htm,none,direct_file hit rejected as implausible (different domain than duboiswyoming.org): https://www.nps.gov/nps-audiovideo/legacy/yell/A35E7E79-CDF6-74D8-26332556B9F2D5E2/yell-Orientationnocaptions2_1280x720.mp4,22.1,,False,False
36:12013,Calhoun County,FL,us,county,13278,calhouncountyfl.gov,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/embed/bMoK8f6vd4o?feature=oembed&rel=0&controls=0&showinfo=0&enablejsapi=1&autoplay=1,https://www.calhouncountyfl.gov/,cloudflare,,1.5,,False,
38:1756887,Oswego village,IL,us,municipality,38778,oswegoil.gov,no-platform-link-found,plain,plain,dead,,,https://oswegoil.gov,none,"headless failed: Error: BrowserType.launch: Executable doesn't exist at /opt/pw-browsers/chromium_headless_shell-1234/chrome-headless-shell-linux64/chrome-headless-shell
╔════════════════════════════════════════════════════════════╗
║ Looks like Playwright was just installed or updated.       ║
║ Please run the following command to download new browsers: ║
║                                                            ║
║     playwright install                                     ║
║                                                            ║
║ <3 Playwright Team                                         ║
╚════════════════════════════════════════════════════════════╝",3.6,,False,
36:35029,Luna County,NM,us,county,25878,lunacountynm.us,no-platform-link-found,plain,plain,plain,suiteone,https://lunaconm.suiteonemedia.com/,https://www.lunacounty.gov/government/meeting_minutes.php,cloudflare,,3.1,,False,
38:1708303,Brimfield village,IL,us,municipality,770,brimfieldil.org,no-platform-link-found,plain,plain,dead,,,https://www.brimfieldil.org/,none,"reached, hop links checked, no platform link found",5.3,,False,
38:2156550,Norbourne Estates city,KY,us,municipality,442,norbourneestates.org,no-platform-link-found,plain,plain,dead,,,https://www.norbourneestates.org/home/,none,"reached, hop links checked, no platform link found",14.7,,False,
38:4281328,Washington city,PA,us,municipality,13334,washingtonpa.us,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/channel/UC3HURrn0PQsCmm02JcRiJuA,https://washingtonpa.us,cloudflare,,0.3,,False,
37:5508579700,Three Lakes town,WI,us,township,,townofthreelakeswi.gov,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/embed/Upz5QDB26uA,https://townofthreelakeswi.gov/town-hall-police-department-project/,cloudflare,,17.8,,False,
1:3544042,Huntsville,ON,ca,municipality,21147,www.huntsville.ca,no-platform-link-found,plain,plain,dead,direct_file,https://media-002-ca.cdn.govstack.com/muskokaheritageplace-012-ca/media/ssklnluo/town-of-huntsville-homepage-video-banner.mp4,https://www.huntsville.ca,none,direct_file hit rejected as implausible (different domain than www.huntsville.ca): https://media-002-ca.cdn.govstack.com/muskokaheritageplace-012-ca/media/ssklnluo/town-of-huntsville-homepage-video-banner.mp4,0.6,,False,False
1:4618068,Fisher,MB,ca,municipality,1845,www.rmoffisher.com,no-platform-link-found,plain,plain,dead,,,https://rmoffisher.com/,none,"reached, hop links checked, no platform link found",18.7,,False,
