gov_id,name,state,country,gov_kind,population,domain,reject_reason,access_mode,rung_answered,bucket,platform,hit_url,final_url,waf_family,note,elapsed_seconds,exception,final_url_is_youtube,direct_file_plausible
36:46019,Butte County,SD,us,county,10891,buttesd.gov,no-platform-signature,plain,plain,dead,,,https://www.buttesd.gov/,none,"reached, hop links checked, no platform link found",7.3,,False,
38:1854954,North Manchester town,IN,us,municipality,5237,nmanchester.org,no-platform-link-found,plain,plain,dead,,,https://nmanchester.org,cloudflare,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://nmanchester.org/
Call log:
  - navigating to ""https://nmanchester.org/"", waiting until ""load""
",4.3,,False,
38:2941132,Leawood village,MO,us,municipality,634,leawoodvillage.com,no-platform-link-found,plain,plain,dead,,,https://leawoodvillage.com,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://leawoodvillage.com/
Call log:
  - navigating to ""https://leawoodvillage.com/"", waiting until ""load""
",3.2,,False,
38:4730120,Gordonsville town,TN,us,municipality,1387,townofgordonsville.com,no-platform-link-found,plain,plain,dead,,,https://townofgordonsville.com,none,"reached, hop links checked, no platform link found",9.0,,False,
38:4183400,Winston city,OR,us,municipality,5691,cityofwinston.gov,no-platform-link-found,dead,dead,dead,,,,none,dns-fail on https://cityofwinston.gov; dns-fail on https://www.cityofwinston.gov; dns-fail on http://cityofwinston.gov,4.1,,False,
38:5474380,Sistersville city,WV,us,municipality,1309,local.wv.gov,no-platform-link-found,plain,plain,dead,,,https://local.wv.gov/Pages/default.aspx,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://local.wv.gov/Pages/default.aspx
Call log:
  - navigating to ""https://local.wv.gov/Pages/default.aspx"", waiting until ""load""
",3.3,,False,
1:4801009,Foremost,AB,ca,municipality,630,foremostalberta.com,no-platform-link-found,plain,plain,dead,,,https://www.foremostalberta.com/,cloudflare,"reached, hop links checked, no platform link found",17.4,,False,
38:1047030,Middletown town,DE,us,municipality,25686,middletownde.org,no-platform-link-found,dead,dead,dead,,,,none,dns-fail on https://middletownde.org; dns-fail on https://www.middletownde.org; dns-fail on http://middletownde.org,4.5,,False,
37:5503520800,Drammen town,WI,us,township,,townofdrammen-wi.gov,no-platform-link-found,plain,plain,dead,,,https://townofdrammen-wi.gov,cloudflare,"reached, hop links checked, no platform link found",9.0,,False,
37:2502701885,Ashburnham town,MA,us,township,,www.ashburnham-ma.gov,no-platform-link-found,plain,plain,plain,cablecast,http://cablecast.awcm.org/internetchannel/show/3445?site=10,http://cablecast.awcm.org/internetchannel/?site=10,none,,13.5,,False,
37:2607388040,Wise township,MI,us,township,,wisetownship.org,no-platform-link-found,plain,plain,dead,,,https://wisetownship.org,none,"reached, hop links checked, no platform link found",3.0,,False,
37:3300768980,Shelburne town,NH,us,township,,townofshelburnenh.gov,no-platform-link-found,plain,plain,dead,,,https://www.townofshelburnenh.gov/,none,"reached, hop links checked, no platform link found",5.2,,False,
38:0501210,Altus city,AR,us,municipality,674,altus.ar.totalwebgov.com,no-platform-link-found,plain,plain,dead,,,https://altus.ar.totalwebgov.com,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://altus.ar.totalwebgov.com/
Call log:
  - navigating to ""https://altus.ar.totalwebgov.com/"", waiting until ""load""
",3.7,,False,
37:2604513380,Carmel township,MI,us,township,,carmeltownship-mi.gov,no-platform-link-found,plain,plain,dead,,,https://carmeltownship-mi.gov,none,"reached, hop links checked, no platform link found",8.0,,False,
