gov_id,name,state,population,domain,hub_url,hub_fetch_status,home_fetch_status,hop_candidates_checked,fetches_used,outcome,platform,hit_url,hit_source,needs_listing_discovery,all_platforms_found,note,error
37:4213346872,Manchester township,PA,,https://mantwp.com,https://www.mantwp.com/meetings-agendas/,ok,ok,0,2,platform_found,direct_file,https://www.mantwp.com/wp-content/uploads/ManTwp_CouslerPark_CombinedDroneFootage_1280x720.mp4,home_page_anchor,False,direct_file:https://www.mantwp.com/wp-content/uploads/ManTwp_CouslerPark_CombinedDroneFootage_1280x720.mp4,,
38:3934328,Hartville village,OH,3439,https://hartvilleoh.com,https://www.hartvilleoh.com/wba/content/meetings-and-news/council/,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:3743580,Misenheimer village,NC,657,https://villageofmisenheimernc.gov,https://villageofmisenheimernc.gov/village-council/,ok,ok,4,6,no_platform_link_found,,,,False,,,
38:4703680,Baxter town,TN,2051,https://cityofbaxter.com,https://cityofbaxter.com/board_agendas_minutes.html,ok,ok,14,10,no_platform_link_found,,,,False,,,
38:0512520,Cedarville city,AR,1452,https://cedarvillear.gov,https://cedarvillear.gov/calendar-of-events,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:2026875,Goodland city,KS,4394,https://goodlandks.gov,https://goodlandks.gov/city-commission/commission-news/,timeout_then_timeout,timeout_then_timeout,0,2,hub_and_home_unreachable,,,,False,,,
38:5574625,Somers village,WI,8194,https://somerswi.gov,https://www.somerswi.gov/government/agendas-minutes/,ok,ok,12,10,no_platform_link_found,,,,False,,,
38:4178150,Wallowa city,OR,815,https://cityofwallowa.gov,https://developers.cloudflare.com/,ok,blocked_then_blocked,6,8,no_platform_link_found,,,,False,,,
38:2630260,Frankfort city,MI,1276,https://frankfortmich.com,https://www.frankfortmich.com/government/city_council/agendas_and_minutes/index.php,ok,ok,16,10,platform_found,youtube,https://www.youtube.com/watch?v=lxQ_YoxMrVk,home_hop_link,False,youtube:https://www.youtube.com/watch?v=lxQ_YoxMrVk,excluded non-actionable hit: youtube https://www.youtube.com/watch?v=lxQ_YoxMrVk (source=home_page_anchor),
38:3679174,Wesley Hills village,NY,6310,https://wesleyhills.gov,https://wesleyhillsny.portal.civicclerk.com/event/399/files,ok,ok,8,10,platform_found,civicclerk,https://wesleyhillsny.portal.civicclerk.com/event/1434/files,home_hop_link_page_anchor,False,civicclerk:https://wesleyhillsny.portal.civicclerk.com/; civicclerk:https://wesleyhillsny.portal.civicclerk.com/event/1434/files,,
38:0577330,Yellville city,AR,1169,https://yellvillear.gov,https://www.yellvillear.gov/government,ok,ok,9,10,platform_found,youtube,https://www.youtube.com/channel/UCX9mVy57LNbblOme27db5Gw,home_hop_link_page_anchor,False,youtube:https://www.youtube.com/channel/UCX9mVy57LNbblOme27db5Gw,,
38:4283584,Westmont borough,PA,4795,https://westmontborough.com,"https://westmontborough.com/administration/meetings,_agendas,_and_minutes.php",ok,ok,16,10,no_platform_link_found,,,,False,,,
38:3345140,Manchester city,NH,116386,https://www.manchesternh.gov,https://cloud.castus.tv/vod/manchestertv/?page=PLAYLIST,not_found,ok,0,2,platform_found,youtube,https://www.youtube.com/playlist?list=PLTsPyq7a9PXlzW2v6aYoIezbRNqGdcPy2,home_page_anchor,False,youtube:https://www.youtube.com/playlist?list=PLTsPyq7a9PXlzW2v6aYoIezbRNqGdcPy2,,
38:5307870,Bridgeport city,WA,2261,https://bridgeportwashington.net,https://bridgeportwashington.net/city-council/,ok,ok,4,6,no_platform_link_found,,,,False,,,
38:0453490,Patagonia town,AZ,796,https://patagonia-az.gov,https://patagonia-az.gov/p-z-meetings-members/,ok,ok,12,10,platform_found,youtube,https://youtu.be/lf8tyqEJDSs,home_hop_link_page_anchor,False,youtube:https://youtu.be/lf8tyqEJDSs,,
37:2704109982,Carlos township,MN,,https://carlostownship.org,https://carlostownship.org/minutes-agenda/,ok,ok,12,10,platform_found,youtube,https://www.youtube.com/WordPressdotcom,home_hop_link_page_anchor,False,youtube:https://www.youtube.com/WordPressdotcom,,
38:2637120,Hastings city,MI,7513,https://hastingsmi.gov,https://www.hastingsmi.gov/about/events-calendar,ok,ok,15,10,no_platform_link_found,,,,False,,,
38:3620731,Dolgeville village,NY,2015,https://villageofdolgeville.gov,https://villageofdolgeville.gov/meeting-minutes/,ok,ok,12,10,no_platform_link_found,,,,False,,,
38:4728060,Friendsville city,TN,920,https://friendsvilletn.gov,https://friendsvilletn.gov/discover-grants/detour-dashboard,ok,ok,9,10,no_platform_link_found,,,,False,,,
38:4226880,Forty Fort borough,PA,4281,https://fortyfort.org,https://fortyfort.org/e-government/council/council-meeting-agendas/,ok,ok,10,10,no_platform_link_found,,,,False,,,
38:4876864,Weatherford city,TX,39397,https://weatherfordtx.gov,https://weatherfordtx.gov/1478/Water-Conservation,ok,ok,14,10,platform_found,youtube,https://www.youtube.com/@weatherford6957/videos,hub_icon_shortcut_redirect,False,youtube:https://www.youtube.com/@weatherford6957/videos,,
36:30111,Yellowstone County,MT,171583,https://yellowstonecountymt.gov,https://yellowstonecountymt.gov/Commissioners/,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:1601900,American Falls city,ID,4863,https://cityofamericanfalls.com,https://cityofamericanfalls.com/mayor-and-council/,ok,ok,1,3,no_platform_link_found,,,,False,,,
37:4208560336,Pine township,PA,,https://pinetownshipmc.com,https://pinetownshipmc.com/5-township-or-planning-meeting-agenda/,ok,ok,7,9,no_platform_link_found,,,,False,,,
37:5502736100,Hubbard town,WI,,https://townofhubbard.com,https://townofhubbard.com/sanitary-district-2-board-of-commissioners/,ok,ok,8,10,no_platform_link_found,,,,False,,,
37:5001928075,Glover town,VT,,https://townofglover.com,https://townofglover.com/glover-selectboard-meeting-minutes-draft-8-27-26/,ok,ok,13,10,no_platform_link_found,,,,False,,,
36:36073,Orleans County,NY,39686,https://townoforleansny.gov,https://townoforleansny.gov/town-board.html,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:0509100,Brookland city,AR,4607,https://brooklandarkansas.org,https://cityofbrookland.com/AgendasandMinutes.aspx,ok,blocked_then_blocked,8,10,no_platform_link_found,,,,False,,,
38:5589550,Yorkville village,WI,3247,https://villageofyorkville.com,https://villageofyorkville.com/government/meetings-agendas-and-minutes/town-boardplan-commission/,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:4174950,Tualatin city,OR,28036,https://tualatin.gov,https://tualatinoregon.gov/events/,ok_browser_headers,redirect_off_host,7,9,no_platform_link_found,,,,False,,"domain home redirects off-host, not fetched: https://tualatinoregon.gov/",
