gov_id,unit_name,platform,outcome,reason,seed_url,title,date,page_url
us:place:5309480,"Camas city, WA",swagit,ingested_tier1_2,"10 transcript segments (matched an EXISTING page, not newly created)",https://camas.new.swagit.com/videos/351088,"Jul 28, 2025 School Board Meeting",2025-07-28,/m/camas-school-district-wa-2025-07-28-jul-28-2025-school-board-meeting
us:place:5313855,"College Place city, WA",civicclerk,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://collegeplacewa.portal.civicclerk.com/event/125/media,City Council Meeting,2026-08-25,
us:place:5315290,"Covington city, WA",primegov,skipped,primegov: resolved but no transcript/agenda/video (https://covingtonwa.primegov.com/Portal/Meeting?meetingTemplateId=693),,,,
us:place:5357115,"Quincy city, WA",civicweb,skipped,civicweb: resolved but no transcript/agenda/video (https://quincy.civicweb.net/filepro/documents/),,,,
us:place:5357535,"Redmond city, WA",granicus,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://redmond.granicus.com/player/clip/3124?view_id=2,City Council on 2025-06-03 7:00 PM - Business Meeting,2025-06-03,
us:place:5365170,"Snohomish city, WA",granicus,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://snohomish.granicus.com/player/clip/9589?view_id=18,Health and Community Services,2026-01-27,
us:place:5367455,"Stanwood city, WA",civicclerk,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://stanwoodwa.portal.civicclerk.com/event/706/media,City Council Meeting,2026-08-13,
us:place:5376405,"Washougal city, WA",civicclerk,skipped,civicclerk: no civicclerk link found on hit_source_url or first 4 hop2_urls,,,,
us:place:5455756,"Morgantown city, WV",granicus,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://morgantown.granicus.com/player/clip/897?view_id=2,City Council Committee of the Whole,,
us:place:5456020,"Moundsville city, WV",civicclerk,skipped,civicclerk: no civicclerk link found on hit_source_url or first 4 hop2_urls,,,,
us:place:5475292,"South Charleston city, WV",youtube,skipped,youtube: no youtube link found on hit_source_url or first 4 hop2_urls,,,,
us:place:5502250,"Antigo city, WI",iqm2,skipped,iqm2: resolved but no transcript/agenda/video (http://antigowi.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1666&MediaPosition=&ID=5910&CssClass=),,,,
us:place:5506925,"Berlin city, WI",youtube,skipped,"youtube: title looks like a non-meeting video (no governing-body keyword in title), not ingested: ""2022 Berlin Veteran's Slideshow"" (https://www.youtube.com/watch?v=wlEKaZOZqKY)",,,,
us:place:5519450,"Delavan city, WI",civicweb,skipped,civicweb: resolved but no transcript/agenda/video (https://delavan.civicweb.net/Portal/MeetingTypeList.aspx),,,,
us:place:5533000,"Hartford city, WI",civicweb,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://hartford.civicweb.net/Portal/MeetingInformation.aspx?Id=3385,Hybrid City Council - Oct 23 2023,2023-10-23,
us:place:5537825,"Janesville city, WI",granicus,skipped,granicus: no granicus link found on hit_source_url or first 4 hop2_urls,,,,
us:place:5554725,"Mount Horeb village, WI",civicclerk,skipped,civicclerk: no past CivicClerk events with real media found via tenant Events API,,,,
us:place:5583975,"Watertown city, WI",civicweb,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://watertown.civicweb.net/Portal/MeetingInformation.aspx?Id=117,"Public Works, Finance & Safety Committee - Mar 16 2020",2020-03-16,
us:place:5586925,"Whitewater city, WI",municode_meetings,skipped,municode_meetings: no municode_meetings link found on hit_source_url or first 4 hop2_urls,,,,
us:place:5645050,"Laramie city, WY",granicus,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://laramiecounty.granicus.com/player/clip/841?view_id=1,20251021,2025-10-07,
us:place:5666220,"Riverton city, WY",youtube,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://www.youtube.com/watch?v=L2vPFXq-e2U,,,
us:place:5667235,"Rock Springs city, WY",youtube,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://www.youtube.com/watch?v=zXY8UlA7kYI,,,
ca:csd:1301006,"Saint John, NB",escribe,skipped,escribe: resolved but no transcript/agenda/video (https://pub-saintjohn.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=7830c195-2fa0-4f72-98ef-a2bfef35ffdc&lang=English),,,,
ca:csd:3501020,"South Dundas, ON",escribe,skipped,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days (https://pub-southdundas.escribemeetings.com),,,,
