tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,weak_pages
natronacounty-wy.gov,,us:county:56025,fallback,archive_study_2026-09-09,1 solid page(s) all us:county:56025; 1 weak page(s) e.g. /m/2026-07-20-natrona-county-board-of-county-commissioners-july-20-2026,Natrona County,1,1
northsalemschools.granicus.com,,us:sd:3621180,fallback,archive_study_2026-09-09,1 solid page(s) all us:sd:3621180; 1 weak page(s) e.g. /m/unknown-jurisdiction-meet-the-candidates-2023,North Salem Central School District,1,1
nwsccc-crystal.granicus.com,,us:place:2714158,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:2714158; 1 weak page(s) e.g. /m/city-of-crystal-2024-05-15-city-council-meeting,Crystal city,1,1
octa.granicus.com,,us:place:3957918,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:3957918; 1 weak page(s) e.g. /m/orange-county-transportation-authority-2026-08-24-board-meeting-auto-generated-t,Octa village,1,1
pcbgov.granicus.com,,us:place:1254725,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:1254725; 1 weak page(s) e.g. /m/pcb-gov-city-council,Panama City Beach city,2,1
portagemi.cablecast.tv,,us:place:2665560,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:2665560; 2 weak page(s) e.g. /m/2026-08-06-planning-commission-meeting-8-6-26,Portage city,1,2
prescottvalley.primegov.com,,us:place:0457450,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:0457450; 1 weak page(s) e.g. /m/2026-01-08-archived-regular-town-council-meeting-thursday-january-8-2026,Prescott Valley town,2,1
pub-bradfordwestgwillimbury.escribemeetings.com,,ca:csd:3543014,fallback,archive_study_2026-09-09,1 solid page(s) all ca:csd:3543014; 1 weak page(s) e.g. /m/bradfordwestgwillimbury-2024-08-06-regular-council-and-committee-of-the-whole,Bradford West Gwillimbury,1,1
pub-chulavista.escribemeetings.com,,us:place:0613392,fallback,archive_study_2026-09-09,3 solid page(s) all us:place:0613392; 1 weak page(s) e.g. /m/chula-vista-public-comments-2026-05-19-city-council-meeting,Chula Vista city,3,1
pub-elliotlake.escribemeetings.com,,ca:csd:3557041,fallback,archive_study_2026-09-09,3 solid page(s) all ca:csd:3557041; 1 weak page(s) e.g. /m/elliot-lake-gis-services-ssmic-2025-12-08-council,Elliot Lake,3,1
pub-hainescity.escribemeetings.com,,us:place:1228400,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:1228400; 1 weak page(s) e.g. /m/haines-city-settlement-fl-2025-07-03-city-commission-meeting,Haines City city,2,1
pub-palmdesert.escribemeetings.com,,us:place:0655184,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:0655184; 1 weak page(s) e.g. /m/palm-desert-city-negotiator-2026-06-25-resolutions-related-to-the-adoption-of-th,Palm Desert city,2,1
pub-westkelowna.escribemeetings.com,,ca:csd:5935029,fallback,archive_study_2026-09-09,1 solid page(s) all ca:csd:5935029; 1 weak page(s) e.g. /m/west-kelowna-council-chambers-2023-12-12-regular-council-meeting,West Kelowna,1,1
reno.primegov.com,,us:place:3260600,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:3260600; 1 weak page(s) e.g. /m/city-of-reno-logo-nv-2026-01-07-reno-city-planning-commission-january-7-2026,Reno city,2,1
rochestermn.granicus.com,,us:place:2754880,fallback,archive_study_2026-09-09,4 solid page(s) all us:place:2754880; 1 weak page(s) e.g. /m/rochester-mn-city-council,Rochester city,4,1
siouxcityschools.new.swagit.com,,us:place:1973335,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:1973335; 1 weak page(s) e.g. /m/jan-24-2022-special-board-meeting-sioux-city-community-school-district,Sioux City city,1,1
southorangetwpnj.portal.civicclerk.com,,us:cousub:3401369274,fallback,archive_study_2026-09-09,2 solid page(s) all us:cousub:3401369274; 1 weak page(s) e.g. /m/2026-08-20-historic-preservation-commission-regular-meeting,South Orange Village township,2,1
spokanevalley.granicus.com,,us:place:5367167,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:5367167; 2 weak page(s) e.g. /m/the-city-of-spokane-valley-2026-07-07-council-meeting,Spokane Valley city,1,2
villageofgreenport.granicus.com,,us:place:3630576,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:3630576; 1 weak page(s) e.g. /m/unknown-jurisdiction-board-of-trustees-work-session-fh,Greenport village,1,1
walworthcowi.portal.civicclerk.com,,us:county:55127,fallback,archive_study_2026-09-09,1 solid page(s) all us:county:55127; 1 weak page(s) e.g. /m/walworth-wi-2026-07-20-july-20-2026-land-conservation-committee-lcc,Walworth County,1,1
waukee.gov,,us:place:1982695,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:1982695; 1 weak page(s) e.g. /m/2026-08-19-waukee-city-council-meeting-august-17-2026,Waukee city,1,1
waukesha.granicus.com,,us:place:5584250,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:5584250; 1 weak page(s) e.g. /m/city-of-waukesha-wi-2022-05-31-finance-committee-on-2022-05-31-6-00-pm,Waukesha city,1,1
wausau-wi.cablecast.tv,,us:place:5584475,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:5584475; 1 weak page(s) e.g. /m/2025-07-14-wausau-school-board-meeting-7-14-25,Wausau city,1,1
