tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,needs_plumbing
public.destinyhosted.com,id=58226,us:place:4845000,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/lubbock-tx-2026-08-11-aug-11-2026-regular-city-council-meeting",Lubbock city,1,False
public.destinyhosted.com,id=62726,us:place:0444270,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/marana-az-2026-08-17-aug-17-2026-special-council-meetings",Marana town,1,False
public.destinyhosted.com,id=62825,us:county:04017,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/navajo-county-az-2026-08-11-aug-11-2026-board-of-supervisors-regular-meeting",Navajo County,1,False
public.destinyhosted.com,id=67682,us:place:0451600,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/oro-valley-az-2026-08-20-aug-20-2026-stormwater-utility-commission",Oro Valley town,1,False
public.destinyhosted.com,id=68323,us:county:48355,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/nueces-county-tx-2026-08-05-aug-05-2026-commissioners-court-regular",Nueces County,1,False
public.destinyhosted.com,id=72437,us:place:4866128,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/schertz-tx-2026-08-18-aug-18-2026-city-council",Schertz city,1,False
public.destinyhosted.com,id=72672,us:county:48409,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/san-patricio-county-tx-2026-08-17-aug-17-2026-commissioners-court",San Patricio County,1,False
public.destinyhosted.com,id=83927,us:place:4872392,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-of-texas-city-tx-2026-08-07-budget-workshop-august-5-2026",Texas City city,1,False
public.destinyhosted.com,id=94526,us:county:48491,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/williamson-county-tx-2026-08-20-aug-20-2026-commissioners-court-special-session",Williamson County,1,False
videoplayer.telvue.com,player/2N9k9wq4NAOA4MJsS7IQS1cHA_WeZd0u,us:place:1933465,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-of-guttenberg-2026-07-13-city-of-guttenberg-council-meeting",Guttenberg city,1,False
