tenant_host,match,owner_title,pages,governments...
www.youtube.com,channel=@MoabCityGovernment,Moab City,2,us:place:4950700 (Moab city) x1,us:county:49019 (Grand County) x1
www.youtube.com,channel=@boroughofhighlands782,Borough of Highlands,2,us:county:12055 (Highlands County) x1,us:place:3431500 (Highlands borough) x1
www.youtube.com,channel=@cityofsalmonarmbc,City of Salmon Arm,4,ca:csd:5939032 (Salmon Arm) x3,us:place:1671650 (Salmon city) x1
www.youtube.com,channel=@contracostatransportationa2131,Contra Costa Transportation Authority,5,us:place:0621796 (El Cerrito city) x1,us:place:0668294 (San Pablo city) x1
www.youtube.com,channel=@dcvideo9371,DCVideo,3,us:county:48113 (Dallas County) x2,us:place:4819000 (Dallas city) x1
www.youtube.com,channel=@prattcountycommission3866,Pratt County Commission,2,us:county:20151 (Pratt County) x1,us:place:2057625 (Pratt city) x1
www.youtube.com,channel=@yamhillcountyboardofcommis2443,Yamhill County Board of Commissioners,2,us:place:4118250 (Dayton city) x1,us:county:41071 (Yamhill County) x1
