state_heading,gov_type,governments
Cities & towns,municipality,5085
Counties & regions,county,1175
Other public bodies,other,531
Cities & towns,township,184
School districts,school_district,154
Agencies & special districts,special_district,133
State government,state,17
Courts,court,7
