input_set,jurisdiction,gov_name,gov_type,tenant_host,platform,evidence
archive,San Diego County Retirement Association,San Diego County Retirement Association,county,sdcera.granicus.com,granicus,no state for 'San Diego County Retirement Association'
archive,County of Sedgwick,County of Sedgwick,county,sedgwick.granicus.com,granicus,no state for 'County of Sedgwick'
archive,County of Sedgwick,County of Sedgwick,county,sedgwick.granicus.com,granicus,no state for 'County of Sedgwick'
archive,The United States Senate,State of The United States,state,senate.granicus.com,granicus,no state for 'The United States Senate'
archive,San Francisco Housing Authority,San Francisco Housing Authority,special_district,sfha.granicus.com,granicus,no state for 'San Francisco Housing Authority'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,sfha.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,sfwmd.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,South Florida Water Management District,South Florida Water Management District,special_district,sfwmd.iqm2.com,iqm2,no state for 'South Florida Water Management District'
archive,South Florida Water Management District,South Florida Water Management District,special_district,sfwmd.iqm2.com,iqm2,no state for 'South Florida Water Management District'
archive,Sioux City IA Community School District,Sioux City IA Community School District,school_district,siouxschools.granicus.com,granicus,no state for 'Sioux City IA Community School District'
archive,City of Sitka,City of Sitka,municipality,sitka.granicus.com,granicus,no state for 'City of Sitka'
archive,City of Sitka,City of Sitka,municipality,sitka.granicus.com,granicus,no state for 'City of Sitka'
archive,Subtitles County,Subtitles County,county,slco.granicus.com,granicus,no 'Subtitles County' in UT -- counties are exhaustively listed
archive,SLRD,SLRD,other,slrd.civicweb.net,youtube,no state for 'SLRD'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,smud.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Sonoma County Library,Sonoma County Library,special_district,sonomalibrary.civicweb.net,youtube,no state for 'Sonoma County Library'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,sonomamarintrain.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,The City of Spokane Valley,The City of Spokane Valley,other,spokanevalley.granicus.com,granicus,no state for 'The City of Spokane Valley'
archive,The City of Spokane Valley,The City of Spokane Valley,other,spokanevalley.granicus.com,granicus,no state for 'The City of Spokane Valley'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,stlouispark.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,"Sumterville, FL",Sumterville,other,sumterclerkfl.portal.civicclerk.com,civicclerk,"not a government name: 'Sumterville, FL'"
archive,Arizona Supreme Court,Arizona Supreme Court,court,supremestateaz.granicus.com,granicus,no state for 'Arizona Supreme Court'
archive,Arizona Supreme Court,Arizona Supreme Court,court,supremestateaz.granicus.com,granicus,no state for 'Arizona Supreme Court'
archive,Syosset School District,Syosset School District,school_district,syossetsdny.iqm2.com,iqm2,no state for 'Syosset School District'
archive,Tahoe City Public Utility District,Tahoe City Public Utility District,special_district,tahoecitypud.granicus.com,granicus,no state for 'Tahoe City Public Utility District'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,tahoecitypud.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,City of Houston,City of Houston,municipality,techsupport.primegov.com,youtube,no state for 'City of Houston'
archive,Thurston,Thurston,other,thurston.cablecast.tv,cablecast,no state for 'Thurston'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,tlchouse.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,New Boston,New Boston,other,townhallstreams.com,townhallstreams,no state for 'New Boston'
archive,Town of Superior,Town of Superior,municipality,townofsuperior.granicus.com,granicus,no state for 'Town of Superior'
archive,Northern Dakota County,Northern Dakota County,county,townsquaretv.granicus.com,granicus,no state for 'Northern Dakota County'
archive,Northern Dakota County Cable Commission,Northern Dakota County Cable Commission,county,townsquaretv.granicus.com,granicus,no state for 'Northern Dakota County Cable Commission'
ledger,Tracy,Tracy,other,tracy-ca.granicus.com,,no state for 'Tracy'
archive,Ashland,Ashland,other,u.peg.tv,telvue,no state for 'Ashland'
archive,Washington,Washington,other,utc-wa.granicus.com,granicus,no state for 'Washington'
archive,"City, MA",City,municipality,videoplayer.telvue.com,telvue,"not a government name: 'City, MA'"
archive,MCS,MCS,other,videoplayer.telvue.com,telvue,no state for 'MCS'
archive,WB,WB,other,videoplayer.telvue.com,telvue,no state for 'WB'
archive,Winchester,Winchester,other,videoplayer.telvue.com,telvue,no state for 'Winchester'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,villageofgreenport.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,City of Lakeland,City of Lakeland,municipality,vimeo.com,vimeo,no state for 'City of Lakeland'
archive,City of Plymouth,City of Plymouth,municipality,vimeo.com,vimeo,no state for 'City of Plymouth'
archive,Covington,Covington,other,vimeo.com,vimeo,no state for 'Covington'
archive,Hopkins,Hopkins,other,vimeo.com,vimeo,no state for 'Hopkins'
archive,Jefferson Parish,Jefferson Parish,county,vimeo.com,vimeo,no state for 'Jefferson Parish'
archive,Mason County,Mason County,county,vimeo.com,vimeo,no state for 'Mason County'
archive,Peters Township,Peters Township,township,vimeo.com,vimeo,no state for 'Peters Township'
archive,Salisbury,Salisbury,other,vimeo.com,vimeo,no state for 'Salisbury'
archive,Town of Amherst,Town of Amherst,municipality,vimeo.com,vimeo,no state for 'Town of Amherst'
archive,Walton County,Walton County,county,walton.civicweb.net,youtube,no state for 'Walton County'
archive,Walton County,Walton County,county,walton.civicweb.net,youtube,no state for 'Walton County'
archive,Watertown,Watertown,other,watertown.civicweb.net,youtube,no state for 'Watertown'
archive,West County Wastewater,West County Wastewater,other,wcwd.civicweb.net,youtube,no state for 'West County Wastewater'
archive,Town of Webster,Town of Webster,municipality,websterny.gov,youtube,no state for 'Town of Webster'
archive,Westfield,Westfield,other,westfieldnj.gov,youtube,no state for 'Westfield'
archive,Official Website,Official Website,other,westmont.illinois.gov,unknown,no state for 'Official Website'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,westspringfieldma.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,Woodbury,Woodbury,other,woodburymn.gov,youtube,no state for 'Woodbury'
archive,Town of Woodside,Town of Woodside,municipality,woodsideca.gov,youtube,no state for 'Town of Woodside'
archive,Washington Suburban Sanitary Commission,Washington Suburban Sanitary Commission,special_district,wsscwater.granicus.com,granicus,no state for 'Washington Suburban Sanitary Commission'
archive,Aberdeen,Aberdeen,other,www.aberdeenwa.gov,youtube,no state for 'Aberdeen'
archive,Open Publica,Open Publica,other,www.openpublica.com,unknown,no state for 'Open Publica'
archive,Richland Center Wisconsin,Richland Center Wisconsin,other,www.richlandcenterwi.gov,youtube,no state for 'Richland Center Wisconsin'
archive,Sulphur,Sulphur,other,www.sulphurla.gov,youtube,no state for 'Sulphur'
archive,"Town of Voluntown, CT- Government","Town of Voluntown, CT- Government",municipality,www.voluntown.gov,youtube,"no state for 'Town of Voluntown, CT- Government'"
archive,Alpine,Alpine,other,www.youtube.com,youtube,no state for 'Alpine'
archive,City of Easton,City of Easton,municipality,www.youtube.com,youtube,no state for 'City of Easton'
archive,City of Ventura,City of Ventura,municipality,www.youtube.com,youtube,no state for 'City of Ventura'
archive,City of Ventura,City of Ventura,municipality,www.youtube.com,youtube,no state for 'City of Ventura'
archive,County of Sussex,County of Sussex,county,www.youtube.com,youtube,no state for 'County of Sussex'
archive,Fulton,Fulton,other,www.youtube.com,youtube,no state for 'Fulton'
archive,Greenwich Community Television,Greenwich Community Television,special_district,www.youtube.com,youtube,no state for 'Greenwich Community Television'
archive,Hamden Action NOW,Hamden Action NOW,other,www.youtube.com,youtube,no state for 'Hamden Action NOW'
archive,Harrison,Harrison,other,www.youtube.com,youtube,no state for 'Harrison'
archive,Hollywood,Hollywood,other,www.youtube.com,youtube,no state for 'Hollywood'
archive,KSAT 12,KSAT 12,other,www.youtube.com,youtube,no state for 'KSAT 12'
archive,Lawrence County,Lawrence County,county,www.youtube.com,youtube,no state for 'Lawrence County'
archive,Lebanon,Lebanon,other,www.youtube.com,youtube,no state for 'Lebanon'
archive,Lebanon,Lebanon,other,www.youtube.com,youtube,no state for 'Lebanon'
archive,Paynesville,Paynesville,other,www.youtube.com,youtube,no state for 'Paynesville'
archive,Roosevelt,Roosevelt,other,www.youtube.com,youtube,no state for 'Roosevelt'
archive,Westfield,Westfield,other,www.youtube.com,youtube,no state for 'Westfield'
archive,York County Video Services,York County Video Services,county,yorkcounty.granicus.com,granicus,no state for 'York County Video Services'
archive,City of Crestview,City of Crestview,municipality,youtu.be,youtube,no state for 'City of Crestview'
archive,City of Hawarden,City of Hawarden,municipality,youtu.be,youtube,no state for 'City of Hawarden'
archive,City of New Franklin,City of New Franklin,municipality,youtu.be,youtube,no state for 'City of New Franklin'
archive,City of St. Marys,City of St. Marys,municipality,youtu.be,youtube,no state for 'City of St. Marys'
archive,Farmersville,Farmersville,other,youtu.be,youtube,no state for 'Farmersville'
archive,Jackson,Jackson,other,youtu.be,youtube,no state for 'Jackson'
archive,Jackson County,Jackson County,county,youtu.be,youtube,no state for 'Jackson County'
archive,Tazewell County,Tazewell County,county,youtu.be,youtube,no state for 'Tazewell County'
archive,Town of New Market,Town of New Market,municipality,youtu.be,youtube,no state for 'Town of New Market'
archive,Caledonia Township,Caledonia Township,township,youtube.com,youtube,no state for 'Caledonia Township'
archive,City of Easton,City of Easton,municipality,youtube.com,youtube,no state for 'City of Easton'
archive,City of Millersburg,City of Millersburg,municipality,youtube.com,youtube,no state for 'City of Millersburg'
archive,City of Millersburg,City of Millersburg,municipality,youtube.com,youtube,no state for 'City of Millersburg'
archive,City of Sheridan,City of Sheridan,municipality,youtube.com,youtube,no state for 'City of Sheridan'
archive,Malvern Borough,Malvern Borough,municipality,youtube.com,youtube,no state for 'Malvern Borough'
archive,Springdale,Springdale,other,youtube.com,youtube,no state for 'Springdale'
archive,Village of Northfield,Village of Northfield,municipality,youtube.com,youtube,no state for 'Village of Northfield'
