input_set,jurisdiction,meeting_body,gov_classify_bucket,gov_type,gov_id,tenant_host
ledger,Duncan,,city,other,rtr:us:xx:duncan,cvrd.primegov.com
ledger,"Garfield, CO",,city,county,us:county:08045,pub-garfield.escribemeetings.com
ledger,"City of San Diego, CA",,city,special_district,rtr:us:ca:san-diego-association-of-governments,pub-sandag.escribemeetings.com
ledger,City of Riverview,,city,other,rtr:us:xx:riverview,riverviewmi.cablecast.tv
ledger,Holden,,city,other,rtr:us:xx:holden,hctv.cablecast.tv
ledger,Nashville,,city,special_district,rtr:us:tn:nashville-davidson-metropolitan-government,nashville.cablecast.tv
ledger,"Louisville, KY",,city,other,rtr:us:ky:louisville,louisville.granicus.com
ledger,"City of Indio, CA",,city,special_district,rtr:us:ca:coachella-valley-water-district,cvwd.primegov.com
ledger,Greeley,,city,other,rtr:us:xx:greeley,greeleyco.portal.civicclerk.com
ledger,City of Hamilton,,city,other,rtr:ca:on:hamilton-police-services-board,pub-hpsb.escribemeetings.com
ledger,"City of Los Angeles, CA",,city,special_district,rtr:us:ca:los-angeles-department-of-water-and-power,ladwp.primegov.com
ledger,City of Santa Clara,,city,county,us:county:06085,santaclara.granicus.com
ledger,"City of Port Moody, BC",,city,special_district,rtr:ca:bc:port-moody,pub-portmoody.escribemeetings.com
ledger,"Town of Atherton, CA",,city,special_district,rtr:us:ca:menlo-park-fire-protection-district,menlofire.primegov.com
ledger,"Horry County, SC",,county,school_district,us:sd:4502490,pub-horrycountyschools.escribemeetings.com
ledger,Marvin,,city,other,rtr:us:xx:marvin,pub-marvinnc.escribemeetings.com
ledger,"Paso Robles, CA",,city,other,rtr:us:ca:paso-robles,pub-pasorobles.escribemeetings.com
ledger,Coaldale,,city,other,rtr:us:xx:coaldale,coaldale.civicweb.net
ledger,City of Markham,,city,special_district,rtr:ca:on:toronto-and-region-conservation-authority,pub-trca.escribemeetings.com
ledger,"Tarrant County, TX",,county,school_district,rtr:us:tx:tarrant-county-college-district,tccd.granicus.com
ledger,Duncan,,city,other,rtr:us:xx:duncan,duncan.civicweb.net
ledger,Mackenzie,,city,other,rtr:us:xx:mackenzie,pub-mackenziebc.escribemeetings.com
ledger,City of Hamilton,,city,other,rtr:us:xx:hamilton,pub-hamilton.escribemeetings.com
ledger,La Center,,city,other,rtr:us:xx:la-center,lacenter.civicweb.net
ledger,Wilmot,,city,other,rtr:us:xx:wilmot,pub-wilmot.escribemeetings.com
ledger,Port Hope,,city,special_district,rtr:us:xx:port-hope,pub-porthope.escribemeetings.com
ledger,Town of Windsor,,city,county,us:county:50027,windsor-ca.granicus.com
ledger,Easton,,city,other,rtr:us:xx:easton,eastonmd.portal.civicclerk.com
ledger,Madison,,city,other,rtr:us:xx:madison,madisonsd.portal.civicclerk.com
ledger,"Los Angeles, CA",,city,special_district,rtr:us:ca:los-angeles-department-of-water-and-power,ladwp.granicus.com
ledger,Brighton,,city,other,rtr:us:xx:brighton,brightonco.granicus.com
ledger,City of Saratoga,,city,county,us:county:36091,saratoga.granicus.com
ledger,Andover,,city,other,rtr:us:xx:andover,andoverks.civicweb.net
ledger,"North Port, FL",,city,special_district,rtr:us:fl:north-port,cityofnorthport.granicus.com
ledger,"College Park, MD",,school,municipality,us:place:2418750,college-park.granicus.com
ledger,Tracy,,city,other,rtr:us:xx:tracy,tracy-ca.granicus.com
ledger,City of Bowie,,city,county,us:county:48037,cityofbowietx.civicweb.net
ledger,City of Greenville,,city,county,us:county:45045,greenville.granicus.com
ledger,City of Honolulu,,city,county,us:county:15003,honolulu.granicus.com
ledger,Town of Huntington,,city,county,us:county:18069,huntingtonny.granicus.com
ledger,California,,city,court,rtr:us:ca:judicial-council-of-california,jcc.granicus.com
ledger,"City of Port Townsend, WA",,city,special_district,rtr:us:wa:port-townsend,cityofpt.granicus.com
ledger,Virginia,,city,state,us:state:51,virginia-house.granicus.com
ledger,"Town of Chenango, NY",,city,county,us:county:36017,townofchenango.civicweb.net
ledger,Brighton,,city,other,rtr:us:xx:brighton,brighton.civicweb.net
ledger,"Port Orange, FL",,city,special_district,rtr:us:fl:port-orange,fl-portorange.civicplus.com
ledger,Independence,,city,county,us:county:05063,ks-independence.civicplus.com
ledger,City of Pratt,,city,county,us:county:20151,ks-pratt.civicplus.com
ledger,Borough of Fair Haven,,city,other,rtr:us:nj:fairhaven,nj-fairhaven.civicplus.com
ledger,City of St. Marys,,city,other,rtr:us:oh:st-marys,oh-stmarys.civicplus.com
ledger,Alpine,,city,county,us:county:06003,ut-alpine.civicplus.com
ledger,Henderson,,city,other,rtr:us:xx:henderson,hendersonky.gov
ledger,Lebanon,,city,county,us:county:42075,or-lebanon.civicplus.com
ledger,"Beaufort County, SC",,county,municipality,us:place:4507210,bluffton-sc.municodemeetings.com
ledger,"Bristol, RI",,city,county,us:county:44001,bristol-ri.municodemeetings.com
ledger,"Juneau, AK",,city,other,rtr:us:ak:juneau,juneau-ak.municodemeetings.com
ledger,"St James, MN",,city,other,rtr:us:mn:st-james,stjames-mn.municodemeetings.com
ledger,"Ventura, CA",,city,county,us:county:06111,ca-ventura.civicplus.com
