input_set,jurisdiction,gov_name,gov_type,tenant_host,platform,evidence
archive,West Warwick Town Council,West Warwick Town Council,other,clerkshq.com,youtube,no state for 'West Warwick Town Council'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,cms-k12-nc.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Coaldale,Coaldale,other,coaldale.civicweb.net,youtube,no state for 'Coaldale'
archive,Coaldale,Coaldale,other,coaldale.civicweb.net,youtube,no state for 'Coaldale'
archive,Coaldale,Coaldale,other,coaldale.civicweb.net,youtube,no state for 'Coaldale'
ledger,Coaldale,Coaldale,other,coaldale.civicweb.net,,no state for 'Coaldale'
archive,Columbus Wisconsin Meetings Hub,Columbus Wisconsin Meetings Hub,other,columbus-wi.municodemeetings.com,youtube,"'Columbus Wisconsin Meetings Hub' names no government on columbus-wi.municodemeetings.com, whose pages resolve to us:place:5516450, and its only state came from that tenant"
archive,City of Cottage Grove,City of Cottage Grove,municipality,cottagegroveor.gov,youtube,no state for 'City of Cottage Grove'
archive,California,California,other,csmfo.granicus.com,granicus,no state for 'California'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,csos.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,City of Duncan Town,City of Duncan Town,municipality,cvrd.primegov.com,youtube,no state for 'City of Duncan Town'
archive,Duncan,Duncan,other,cvrd.primegov.com,youtube,no state for 'Duncan'
ledger,Duncan,Duncan,other,cvrd.primegov.com,,no state for 'Duncan'
archive,City of Plano,City of Plano,municipality,dart.new.swagit.com,swagit,no state for 'City of Plano'
archive,City of Dallas,City of Dallas,municipality,dcccd.new.swagit.com,swagit,no state for 'City of Dallas'
ledger,City of Dallas,City of Dallas,municipality,dcccd.new.swagit.com,,no state for 'City of Dallas'
archive,DC Water &amp; Sewer Authority,DC Water &amp; Sewer Authority,special_district,dcwasa.granicus.com,granicus,no state for 'DC Water &amp; Sewer Authority'
archive,City of Dearborn,City of Dearborn,municipality,dearborn.gov,youtube,no state for 'City of Dearborn'
archive,City of Derby,City of Derby,municipality,derby.civicweb.net,swagit,no state for 'City of Derby'
archive,Draper,Draper,other,draper.granicus.com,granicus,no state for 'Draper'
archive,Duncan,Duncan,other,duncan.civicweb.net,youtube,no state for 'Duncan'
archive,Duncan,Duncan,other,duncan.civicweb.net,youtube,no state for 'Duncan'
archive,Duncan,Duncan,other,duncan.civicweb.net,youtube,no state for 'Duncan'
ledger,Duncan,Duncan,other,duncan.civicweb.net,,no state for 'Duncan'
archive,Eastvale,Eastvale,other,eastvale.granicus.com,granicus,no state for 'Eastvale'
archive,City of Edina,City of Edina,municipality,edina.granicus.com,granicus,no state for 'City of Edina'
archive,Edwards Aquifer Authority,Edwards Aquifer Authority,special_district,edwardsaquifer.granicus.com,granicus,no state for 'Edwards Aquifer Authority'
