tenant_host,jurisdiction,gov_id,gov_name,gov_type,tier,evidence,new_meeting_body,new_hub_slug,country,state,old_hub_slug,municipal_type_word,gov_classify_bucket
ok-jenks.civicplus.com,"City of Jenks, OK",us:place:4037800,"Jenks, OK",municipality,registry,us_places.csv Jenks city,,jenks-ok,us,OK,jenks-ok,yes,city
ok-pryorcreek.civicplus.com,"City of Pryor Creek, OK",us:place:4061000,"Pryor Creek, OK",municipality,registry,us_places.csv Pryor Creek city,,pryor-creek-ok,us,OK,pryor-creek-ok,yes,city
ok-tahlequah.civicplus.com,"City of Tahlequah, OK",us:place:4072100,"Tahlequah, OK",municipality,registry,us_places.csv Tahlequah city,,tahlequah-ok,us,OK,tahlequah-ok,yes,city
or-coquille.civicplus.com,"City Of Coquille, OR",us:place:4115350,"Coquille, OR",municipality,registry,us_places.csv Coquille city,,coquille-or,us,OR,coquille-or,yes,city
or-gearhart.civicplus.com,"Gearhart, OR",us:place:4128450,"Gearhart, OR",municipality,registry,us_places.csv Gearhart city,,gearhart-or,us,OR,gearhart-or,no,city
or-lagrande.civicplus.com,"La Grande, OR",us:place:4140350,"La Grande, OR",municipality,registry,us_places.csv La Grande city,,la-grande-or,us,OR,la-grande-or,no,city
or-prineville.civicplus.com,"City of Prineville, OR",us:place:4159850,"Prineville, OR",municipality,registry,us_places.csv Prineville city,,prineville-or,us,OR,prineville-or,yes,city
or-scappoose.civicplus.com,"City of Scappoose, OR",us:place:4165500,"Scappoose, OR",municipality,registry,us_places.csv Scappoose city,,scappoose-or,us,OR,scappoose-or,yes,city
or-seaside.civicplus.com,"Seaside, OR",us:place:4165950,"Seaside, OR",municipality,registry,us_places.csv Seaside city,,seaside-or,us,OR,seaside-or,no,city
pa-jeffersonhills.civicplus.com,"Borough of Jefferson Hills, PA",us:place:4237955,"Jefferson Hills, PA",municipality,registry,us_places.csv Jefferson Hills borough,,jefferson-hills-pa,us,PA,borough-of-jefferson-hills-pa,yes,city
pa-lititz.civicplus.com,"Lititz, PA",us:place:4243816,"Lititz, PA",municipality,registry,us_places.csv Lititz borough,,lititz-pa,us,PA,lititz-pa,no,city
pa-malvern.civicplus.com,Malvern Borough,us:place:4246792,"Malvern, PA",municipality,registry,us_places.csv Malvern borough (state from tenant_hints.csv pa-malvern.civicplus.com),,malvern-pa,us,PA,malvern-borough,no,city
pa-monroeville.civicplus.com,"Monroeville, PA",us:place:4250528,"Monroeville, PA",municipality,registry,us_places.csv Monroeville municipality,,monroeville-pa,us,PA,monroeville-pa,no,city
pa-newtown.civicplus.com,"Newtown, PA",us:place:4254184,"Newtown (borough), PA",municipality,registry,us_places.csv Newtown borough,,newtown-borough-pa,us,PA,newtown-pa,no,city
pa-norristown.civicplus.com,"Norristown, PA",us:place:4254656,"Norristown, PA",municipality,registry,us_places.csv Norristown borough,,norristown-pa,us,PA,norristown-pa,no,city
sc-beaufort.civicplus.com,"Beaufort, SC",us:place:4504690,"Beaufort, SC",municipality,registry,us_places.csv Beaufort city,,beaufort-sc,us,SC,beaufort-sc,no,city
sc-clemson.civicplus.com,"Clemson, SC",us:place:4514950,"Clemson, SC",municipality,registry,us_places.csv Clemson city,,clemson-sc,us,SC,clemson-sc,no,city
sc-clinton.civicplus.com,Clinton,us:place:4515295,"Clinton, SC",municipality,registry,us_places.csv Clinton city (state from tenant_hints.csv sc-clinton.civicplus.com),,clinton-sc,us,SC,clinton,no,city
sc-fountaininn.civicplus.com,"City of Fountain Inn, SC",us:place:4527070,"Fountain Inn, SC",municipality,registry,us_places.csv Fountain Inn city,,fountain-inn-sc,us,SC,fountain-inn-sc,yes,city
sc-hollywood.civicplus.com,Hollywood,us:place:4534495,"Hollywood, SC",municipality,registry,us_places.csv Hollywood town (state from tenant_hints.csv sc-hollywood.civicplus.com),,hollywood-sc,us,SC,hollywood,no,city
