tenant_host,jurisdiction,gov_id,gov_name,gov_type,tier,evidence,new_meeting_body,new_hub_slug,country,state,old_hub_slug,municipal_type_word,gov_classify_bucket
townofbabylonny.gov,"Town of Babylon, NY",us:cousub:3610304000,"Babylon (town), NY",township,registry,us_cousubs.csv Babylon town,,babylon-town-ny,us,NY,town-of-babylon-ny,yes,city
tx-denison.civicplus.com,"Denison, TX",us:place:4819900,"Denison, TX",municipality,registry,us_places.csv Denison city,,denison-tx,us,TX,denison-tx,no,city
tx-dentoncounty.civicplus.com,"Denton County, TX",us:county:48121,"Denton County, TX",county,registry,us_counties.csv Denton County,,denton-county-tx,us,TX,denton-county-tx,no,county
tx-montgomery.civicplus.com,"City of Montgomery, TX",us:place:4849128,"Montgomery, TX",municipality,registry,us_places.csv Montgomery city,,montgomery-tx,us,TX,montgomery-tx,yes,city
ut-woodscross.civicplus.com,"Woods Cross, UT",us:place:4985370,"Woods Cross, UT",municipality,registry,us_places.csv Woods Cross city,,woods-cross-ut,us,UT,woods-cross-ut,no,city
va-radford.civicplus.com,"Radford, VA",us:place:5165392,"Radford, VA",municipality,registry,us_places.csv Radford city,,radford-va,us,VA,radford-va,no,city
wa-bothell.civicplus.com,"Bothell, WA",us:place:5307380,"Bothell, WA",municipality,registry,us_places.csv Bothell city,,bothell-wa,us,WA,bothell-wa,no,city
wa-bremerton.civicplus.com,"Bremerton, WA",us:place:5307695,"Bremerton, WA",municipality,registry,us_places.csv Bremerton city,,bremerton-wa,us,WA,bremerton-wa,no,city
wa-duvall.civicplus.com,"City of Duvall, WA",us:place:5319035,"Duvall, WA",municipality,registry,us_places.csv Duvall city,,duvall-wa,us,WA,duvall-wa,yes,city
wa-milton.civicplus.com,"City of Milton, WA",us:place:5346020,"Milton, WA",municipality,registry,us_places.csv Milton city,,milton-wa,us,WA,milton-wa,yes,city
wa-oakharbor.civicplus.com,City of Oak Harbor,us:place:5350360,"Oak Harbor, WA",municipality,registry,us_places.csv Oak Harbor city (state from tenant_hints.csv wa-oakharbor.civicplus.com),,oak-harbor-wa,us,WA,oak-harbor,yes,city
westmelbourne.gov,"City of West Melbourne, FL",us:place:1276500,"West Melbourne, FL",municipality,registry,us_places.csv West Melbourne city,,west-melbourne-fl,us,FL,west-melbourne-fl,yes,city
wi-sawyercounty.civicplus.com,"Sawyer County, WI",us:county:55113,"Sawyer County, WI",county,registry,us_counties.csv Sawyer County,,sawyer-county-wi,us,WI,sawyer-county-wi,no,county
wi-verona.civicplus.com,City of Verona,us:place:5582600,"Verona (city), WI",municipality,registry,us_places.csv Verona city (state from tenant_hints.csv wi-verona.civicplus.com),,verona-city-wi,us,WI,verona,yes,city
wi-whitefishbay.civicplus.com,"Village of Whitefish Bay, WI",us:place:5586700,"Whitefish Bay, WI",municipality,registry,us_places.csv Whitefish Bay village,,whitefish-bay-wi,us,WI,village-of-whitefish-bay-wi,yes,city
wrightcountymn.gov,"Wright County, MN",us:county:27171,"Wright County, MN",county,registry,us_counties.csv Wright County,,wright-county-mn,us,MN,wright-county-mn,no,county
www.cravencountync.gov,"Craven County, NC",us:county:37049,"Craven County, NC",county,registry,us_counties.csv Craven County,,craven-county-nc,us,NC,craven-county-nc,no,county
www.sussex.nj.us,County of Sussex,,County of Sussex,county,unresolved,no state for 'County of Sussex',,county-of-sussex,us,,county-of-sussex,no,county
www.wichita.gov,"City of Wichita, KS",us:place:2079000,"Wichita, KS",municipality,registry,us_places.csv Wichita city,,wichita-ks,us,KS,wichita-ks,yes,city
belaire-ks.municodemeetings.com,"Bel Aire, KS",us:place:2005337,"Bel Aire, KS",municipality,registry,us_places.csv Bel Aire city,,bel-aire-ks,us,KS,bel-aire-ks,no,city
bladensburgtown-md.municodemeetings.com,"Bladensburg, MD",us:place:2407850,"Bladensburg, MD",municipality,registry,us_places.csv Bladensburg town,,bladensburg-md,us,MD,bladensburg-md,no,city
bluffton-sc.municodemeetings.com,"Beaufort County, SC",us:place:4507210,"Bluffton, SC",municipality,registry,us_places.csv Bluffton town,,bluffton-sc,us,SC,beaufort-county-sc,no,county
breckenridge-tx.municodemeetings.com,"Breckenridge, TX",us:place:4810132,"Breckenridge, TX",municipality,registry,us_places.csv Breckenridge city,,breckenridge-tx,us,TX,breckenridge-tx,no,city
bristol-in.municodemeetings.com,"Bristol, IN",us:place:1807750,"Bristol, IN",municipality,registry,us_places.csv Bristol town,,bristol-in,us,IN,bristol-in,no,city
bristol-ri.municodemeetings.com,"Bristol, RI",us:county:44001,"Bristol County, RI",county,registry,us_counties.csv Bristol County,,bristol-county-ri,us,RI,bristol-ri,no,city
carolinabeach-nc.municodemeetings.com,"Carolina Beach, NC",us:place:3710500,"Carolina Beach, NC",municipality,registry,us_places.csv Carolina Beach town,,carolina-beach-nc,us,NC,carolina-beach-nc,no,city
casco-me.municodemeetings.com,"Casco, ME",us:cousub:2300511125,"Casco Town, ME",township,registry,us_cousubs.csv Casco town,,casco-town-me,us,ME,casco-me,no,city
clearlake-ca.municodemeetings.com,"Clearlake, CA",us:place:0613945,"Clearlake, CA",municipality,registry,us_places.csv Clearlake city,,clearlake-ca,us,CA,clearlake-ca,no,city
columbus-wi.municodemeetings.com,"Columbus, WI",us:place:5516450,"Columbus (city), WI",municipality,registry,us_places.csv Columbus city,,columbus-city-wi,us,WI,columbus-wi,no,city
cosmopolis-wa.municodemeetings.com,"Cosmopolis, WA",us:place:5314870,"Cosmopolis, WA",municipality,registry,us_places.csv Cosmopolis city,,cosmopolis-wa,us,WA,cosmopolis-wa,no,city
cresthill-il.municodemeetings.com,"Crest Hill, IL",us:place:1717458,"Crest Hill, IL",municipality,registry,us_places.csv Crest Hill city,,crest-hill-il,us,IL,crest-hill-il,no,city
douglas-mi.municodemeetings.com,"Douglas, MI",us:place:2622740,"Douglas, MI",municipality,registry,us_places.csv Douglas city,,douglas-mi,us,MI,douglas-mi,no,city
drippingsprings-tx.municodemeetings.com,"Dripping Springs, TX",us:place:4821424,"Dripping Springs, TX",municipality,registry,us_places.csv Dripping Springs city,,dripping-springs-tx,us,TX,dripping-springs-tx,no,city
eatonville-fl.municodemeetings.com,"Eatonville, FL",us:place:1219650,"Eatonville, FL",municipality,registry,us_places.csv Eatonville town,,eatonville-fl,us,FL,eatonville-fl,no,city
eustis-fl.municodemeetings.com,"Eustis, FL",us:place:1221350,"Eustis, FL",municipality,registry,us_places.csv Eustis city,,eustis-fl,us,FL,eustis-fl,no,city
fairoaksranch-tx.municodemeetings.com,"City of Fair Oaks Ranch, TX",us:place:4825168,"Fair Oaks Ranch, TX",municipality,registry,us_places.csv Fair Oaks Ranch city,,fair-oaks-ranch-tx,us,TX,fair-oaks-ranch-tx,yes,city
frostburg-md.municodemeetings.com,"Frostburg, MD",us:place:2430900,"Frostburg, MD",municipality,registry,us_places.csv Frostburg city,,frostburg-md,us,MD,frostburg-md,no,city
hamburg-mi.municodemeetings.com,"Hamburg, MI",us:cousub:2609336100,"Hamburg Township, MI",township,registry,us_cousubs.csv Hamburg township,,hamburg-township-mi,us,MI,hamburg-mi,no,city
hendersonville-nc.municodemeetings.com,"Hendersonville, NC",us:place:3730720,"Hendersonville, NC",municipality,registry,us_places.csv Hendersonville city,,hendersonville-nc,us,NC,hendersonville-nc,no,city
highlandbeach-fl.municodemeetings.com,"Highland Beach, FL",us:place:1230200,"Highland Beach, FL",municipality,registry,us_places.csv Highland Beach town,,highland-beach-fl,us,FL,highland-beach-fl,no,city
highlands-nj.municodemeetings.com,"Highlands, NJ",us:place:3431500,"Highlands, NJ",municipality,registry,us_places.csv Highlands borough,,highlands-nj,us,NJ,highlands-nj,no,city
hillsborough-nc.municodemeetings.com,"Hillsborough, NC",us:place:3731620,"Hillsborough, NC",municipality,registry,us_places.csv Hillsborough town,,hillsborough-nc,us,NC,hillsborough-nc,no,city
homewood-il.municodemeetings.com,"Homewood, IL",us:place:1735879,"Homewood, IL",municipality,registry,us_places.csv Homewood village,,homewood-il,us,IL,homewood-il,no,city
independence-ia.municodemeetings.com,"Independence, IA",us:place:1938100,"Independence, IA",municipality,registry,us_places.csv Independence city,,independence-ia,us,IA,independence-ia,no,city
juneau-ak.municodemeetings.com,"Juneau, AK",rtr:us:ak:juneau,"Juneau, AK",other,unverified,"minted from 'Juneau, AK'",,juneau-ak,us,AK,juneau-ak,no,city
kingsport-tn.municodemeetings.com,"Kingsport, TN",us:place:4739560,"Kingsport, TN",municipality,registry,us_places.csv Kingsport city,,kingsport-tn,us,TN,kingsport-tn,no,city
lakeforestpark-wa.municodemeetings.com,"Lake Forest Park, WA",us:place:5337270,"Lake Forest Park, WA",municipality,registry,us_places.csv Lake Forest Park city,,lake-forest-park-wa,us,WA,lake-forest-park-wa,no,city
laurel-md.municodemeetings.com,"Laurel, MD",us:place:2445900,"Laurel, MD",municipality,registry,us_places.csv Laurel city,,laurel-md,us,MD,laurel-md,no,city
lebanon-or.municodemeetings.com,"Lebanon, OR",us:place:4141650,"Lebanon, OR",municipality,registry,us_places.csv Lebanon city,,lebanon-or,us,OR,lebanon-or,no,city
loganville-ga.municodemeetings.com,"Loganville, GA",us:place:1347196,"Loganville, GA",municipality,registry,us_places.csv Loganville city,,loganville-ga,us,GA,loganville-ga,no,city
losgatos-ca.municodemeetings.com,"Town of Los Gatos, CA",us:place:0644112,"Los Gatos, CA",municipality,registry,us_places.csv Los Gatos town,,los-gatos-ca,us,CA,town-of-los-gatos-ca,yes,city
loxahatcheegroves-fl.municodemeetings.com,"Loxahatchee Groves, FL",us:place:1241577,"Loxahatchee Groves, FL",municipality,registry,us_places.csv Loxahatchee Groves town,,loxahatchee-groves-fl,us,FL,loxahatchee-groves-fl,no,city
madeirabeach-fl.municodemeetings.com,"Madeira Beach, FL",us:place:1242400,"Madeira Beach, FL",municipality,registry,us_places.csv Madeira Beach city,,madeira-beach-fl,us,FL,madeira-beach-fl,no,city
morganspointresort-tx.municodemeetings.com,"City of Morgan's Point Resort, TX",us:place:4849392,"Morgan's Point Resort, TX",municipality,registry,us_places.csv Morgan's Point Resort city,,morgan-s-point-resort-tx,us,TX,morgan-s-point-resort-tx,yes,city
mountvernon-tx.municodemeetings.com,"Mount Vernon, TX",us:place:4849860,"Mount Vernon, TX",municipality,registry,us_places.csv Mount Vernon town,,mount-vernon-tx,us,TX,mount-vernon-tx,no,city
mt-pleasant-tn.municodemeetings.com,"Mt Pleasant, TN",us:place:4751080,"Mount Pleasant, TN",municipality,registry,us_places.csv Mount Pleasant city,,mount-pleasant-tn,us,TN,mt-pleasant-tn,no,city
needles-ca.municodemeetings.com,"Needles, CA",us:place:0650734,"Needles, CA",municipality,registry,us_places.csv Needles city,,needles-ca,us,CA,needles-ca,no,city
newprague-mn.municodemeetings.com,"New Prague, MN",us:place:2745808,"New Prague, MN",municipality,registry,us_places.csv New Prague city,,new-prague-mn,us,MN,new-prague-mn,no,city
northbaltimore-oh.municodemeetings.com,"North Baltimore, OH",us:place:3956154,"North Baltimore, OH",municipality,registry,us_places.csv North Baltimore village,,north-baltimore-oh,us,OH,north-baltimore-oh,no,city
orland-ca.municodemeetings.com,"Orland, CA",us:place:0654274,"Orland, CA",municipality,registry,us_places.csv Orland city,,orland-ca,us,CA,orland-ca,no,city
pahokee-fl.municodemeetings.com,"Pahokee, FL",us:place:1253800,"Pahokee, FL",municipality,registry,us_places.csv Pahokee city,,pahokee-fl,us,FL,pahokee-fl,no,city
pipestone-mn.municodemeetings.com,"Pipestone, MN",us:place:2751388,"Pipestone, MN",municipality,registry,us_places.csv Pipestone city,,pipestone-mn,us,MN,pipestone-mn,no,city
richwood-tx.municodemeetings.com,"Richwood, TX",us:place:4861904,"Richwood, TX",municipality,registry,us_places.csv Richwood city,,richwood-tx,us,TX,richwood-tx,no,city
riodell-ca.municodemeetings.com,"Rio Dell, CA",us:place:0660900,"Rio Dell, CA",municipality,registry,us_places.csv Rio Dell city,,rio-dell-ca,us,CA,rio-dell-ca,no,city
sanger-tx.municodemeetings.com,"Sanger, TX",us:place:4865408,"Sanger, TX",municipality,registry,us_places.csv Sanger city,,sanger-tx,us,TX,sanger-tx,no,city
sheboygan-wi.municodemeetings.com,"Sheboygan, WI",us:place:5572975,"Sheboygan (city), WI",municipality,registry,us_places.csv Sheboygan city,,sheboygan-city-wi,us,WI,sheboygan-wi,no,city
southernshores-nc.municodemeetings.com,"Southern Shores, NC",us:place:3763130,"Southern Shores, NC",municipality,registry,us_places.csv Southern Shores town,,southern-shores-nc,us,NC,southern-shores-nc,no,city
stjames-mn.municodemeetings.com,"St James, MN",rtr:us:mn:st-james,"St James, MN",other,unverified,"minted from 'St James, MN'",,st-james-mn,us,MN,st-james-mn,no,city
stonecrest-ga.municodemeetings.com,"Stonecrest, GA",us:place:1373784,"Stonecrest, GA",municipality,registry,us_places.csv Stonecrest city,,stonecrest-ga,us,GA,stonecrest-ga,no,city
swansboro-nc.municodemeetings.com,"Swansboro, NC",us:place:3766360,"Swansboro, NC",municipality,registry,us_places.csv Swansboro town,,swansboro-nc,us,NC,swansboro-nc,no,city
sylva-nc.municodemeetings.com,"Sylva, NC",us:place:3766500,"Sylva, NC",municipality,registry,us_places.csv Sylva town,,sylva-nc,us,NC,sylva-nc,no,city
tintonfalls-nj.municodemeetings.com,"Tinton Falls, NJ",us:place:3473020,"Tinton Falls, NJ",municipality,registry,us_places.csv Tinton Falls borough,,tinton-falls-nj,us,NJ,tinton-falls-nj,no,city
tomball-tx.municodemeetings.com,"Tomball, TX",us:place:4873316,"Tomball, TX",municipality,registry,us_places.csv Tomball city,,tomball-tx,us,TX,tomball-tx,no,city
tumwater-wa.municodemeetings.com,"Tumwater, WA",us:place:5372905,"Tumwater, WA",municipality,registry,us_places.csv Tumwater city,,tumwater-wa,us,WA,tumwater-wa,no,city
uppermarlboro-md.municodemeetings.com,"Upper Marlboro, MD",us:place:2479875,"Upper Marlboro, MD",municipality,registry,us_places.csv Upper Marlboro town,,upper-marlboro-md,us,MD,upper-marlboro-md,no,city
waltoncounty-ga.municodemeetings.com,"Walton County, GA",us:county:13297,"Walton County, GA",county,registry,us_counties.csv Walton County,,walton-county-ga,us,GA,walton-county-ga,no,county
willard-mo.municodemeetings.com,"Willard, MO",us:place:2979882,"Willard, MO",municipality,registry,us_places.csv Willard city,,willard-mo,us,MO,willard-mo,no,city
willowpark-tx.municodemeetings.com,"Willow Park, TX",us:place:4879492,"Willow Park, TX",municipality,registry,us_places.csv Willow Park city,,willow-park-tx,us,TX,willow-park-tx,no,city
broward.granicus.com,"Broward County, FL",us:county:12011,"Broward County, FL",county,registry,us_counties.csv Broward County,,broward-county-fl,us,FL,broward-county-fl,no,county
cambridgema.primegov.com,"Cambridge, MA",us:place:2511000,"Cambridge, MA",municipality,registry,us_places.csv Cambridge city,,cambridge-ma,us,MA,cambridge-ma,no,city
cityoftacoma.granicus.com,"City of Tacoma, WA",us:place:5370000,"Tacoma, WA",municipality,registry,us_places.csv Tacoma city,,tacoma-wa,us,WA,tacoma-wa,yes,city
lagunawoods.cablecast.tv,"Laguna Woods, CA",us:place:0639259,"Laguna Woods, CA",municipality,registry,us_places.csv Laguna Woods city,,laguna-woods-ca,us,CA,laguna-woods-ca,no,city
vallejoca.portal.civicclerk.com,"Vallejo, CA",us:place:0681666,"Vallejo, CA",municipality,registry,us_places.csv Vallejo city,,vallejo-ca,us,CA,vallejo-ca,no,city
smithtownny.portal.civicclerk.com,"SMITHTOWN, NY",us:cousub:3610368000,"Smithtown Town, NY",township,registry,us_cousubs.csv Smithtown town,,smithtown-town-ny,us,NY,smithtown-ny,no,city
northbranchmn.portal.civicclerk.com,"North Branch, MN",us:place:2746798,"North Branch (city), MN",municipality,registry,us_places.csv North Branch city,,north-branch-city-mn,us,MN,north-branch-mn,no,city
lagunahillsca.portal.civicclerk.com,"Laguna Hills, CA",us:place:0639220,"Laguna Hills, CA",municipality,registry,us_places.csv Laguna Hills city,,laguna-hills-ca,us,CA,laguna-hills-ca,no,city
pub-markham.escribemeetings.com,Markham,us:place:1747007,"Markham, IL",municipality,registry,us_places.csv Markham city (state from tenant_hints.csv pub-markham.escribemeetings.com),,markham-il,us,IL,markham,no,city
pub-southamptonny.escribemeetings.com,"Southampton, NY",us:place:3668462,"Southampton (village), NY",municipality,registry,us_places.csv Southampton village,,southampton-village-ny,us,NY,southampton-ny,no,city
me-freeport.civicplus.com,Town of Freeport,us:cousub:2300526525,"Freeport Town, ME",township,registry,us_cousubs.csv Freeport town (state from tenant_hints.csv me-freeport.civicplus.com),,freeport-town-me,us,ME,town-of-freeport,yes,city
ca-ventura.civicplus.com,"Ventura, CA",us:county:06111,"Ventura County, CA",county,registry,us_counties.csv Ventura County,,ventura-county-ca,us,CA,ventura-ca,no,city
ia-maquoketa.civicplus.com,"Maquoketa, IA",us:place:1949215,"Maquoketa, IA",municipality,registry,us_places.csv Maquoketa city,,maquoketa-ia,us,IA,maquoketa-ia,no,city
il-wheaton.civicplus.com,"Wheaton, IL",us:place:1781048,"Wheaton, IL",municipality,registry,us_places.csv Wheaton city,,wheaton-il,us,IL,wheaton-il,no,city
mo-sunsethills.civicplus.com,"Sunset Hills, MO",us:place:2971746,"Sunset Hills, MO",municipality,registry,us_places.csv Sunset Hills city,,sunset-hills-mo,us,MO,sunset-hills-mo,no,city
ms-olivebranch.civicplus.com,"Olive Branch, MS",us:place:2854040,"Olive Branch, MS",municipality,registry,us_places.csv Olive Branch city,,olive-branch-ms,us,MS,olive-branch-ms,no,city
nj-newprovidence.civicplus.com,"Borough of New Providence, NJ",us:place:3451810,"New Providence, NJ",municipality,registry,us_places.csv New Providence borough,,new-providence-nj,us,NJ,borough-of-new-providence-nj,yes,city
or-florence.civicplus.com,City of Florence,us:place:4126050,"Florence, OR",municipality,registry,us_places.csv Florence city (state from tenant_hints.csv or-florence.civicplus.com),,florence-or,us,OR,florence,yes,city
sc-northmyrtlebeach.civicplus.com,"North Myrtle Beach, SC",us:place:4551280,"North Myrtle Beach, SC",municipality,registry,us_places.csv North Myrtle Beach city,,north-myrtle-beach-sc,us,SC,north-myrtle-beach-sc,no,city
ut-alpine.civicplus.com,"Alpine, UT",us:place:4900540,"Alpine, UT",municipality,registry,us_places.csv Alpine city,,alpine-ut,us,UT,alpine-ut,no,city
wi-cottagegrove.civicplus.com,"Cottage Grove, WI",us:place:5517175,"Cottage Grove (village), WI",municipality,registry,us_places.csv Cottage Grove village,,cottage-grove-village-wi,us,WI,cottage-grove-wi,no,city
ca-ridgecrest.civicplus.com,"Ridgecrest, CA",us:place:0660704,"Ridgecrest, CA",municipality,registry,us_places.csv Ridgecrest city,,ridgecrest-ca,us,CA,ridgecrest-ca,no,city
ia-winterset.civicplus.com,"City of Winterset, IA",us:place:1986520,"Winterset, IA",municipality,registry,us_places.csv Winterset city,,winterset-ia,us,IA,winterset-ia,yes,city
il-skokie.civicplus.com,"Skokie, IL",us:place:1770122,"Skokie, IL",municipality,registry,us_places.csv Skokie village,,skokie-il,us,IL,skokie-il,no,city
sd-spearfish.civicplus.com,"City of Spearfish, SD",us:place:4660020,"Spearfish, SD",municipality,registry,us_places.csv Spearfish city,,spearfish-sd,us,SD,spearfish-sd,yes,city
www.newcastlede.gov,"New Castle County, DE",us:county:10003,"New Castle County, DE",county,registry,us_counties.csv New Castle County,,new-castle-county-de,us,DE,new-castle-county-de,no,county
bellbrook-oh.municodemeetings.com,"Bellbrook, OH",us:place:3905102,"Bellbrook, OH",municipality,registry,us_places.csv Bellbrook city,,bellbrook-oh,us,OH,bellbrook-oh,no,city
blueriver-co.municodemeetings.com,"Blue River, CO",us:place:0807410,"Blue River, CO",municipality,registry,us_places.csv Blue River town,,blue-river-co,us,CO,blue-river-co,no,city
prosper-tx.municodemeetings.com,"Prosper, TX",us:place:4859696,"Prosper, TX",municipality,registry,us_places.csv Prosper town,,prosper-tx,us,TX,prosper-tx,no,city
whitewater-wi.municodemeetings.com,"Whitewater, WI",us:place:5586925,"Whitewater (city), WI",municipality,registry,us_places.csv Whitewater city,,whitewater-city-wi,us,WI,whitewater-wi,no,city
pub-gloucesterva.escribemeetings.com,"Gloucester County, VA",us:county:51073,"Gloucester County, VA",county,registry,us_counties.csv Gloucester County,,gloucester-county-va,us,VA,gloucester-county-va,no,county
