input_set,tier,rows,pct
archive,registry,4037,79.9
archive,unresolved,448,8.9
archive,blank,241,4.8
archive,pinned,176,3.5
archive,unverified,139,2.8
archive,inferred,12,0.2
ledger,registry,805,91.9
ledger,unresolved,44,5.0
ledger,pinned,23,2.6
ledger,inferred,2,0.2
ledger,unverified,2,0.2
