input_set,gov_id,gov_name,gov_type,tier,jurisdiction,tenant_host,evidence
archive,rtr:us:xx:mlgw,MLGW,other,unverified,MLGW,mlgw.iqm2.com,minted from 'MLGW'
archive,rtr:us:xx:mn,State of Mn,state,unverified,Mn Senate,mnsenate.granicus.com,minted from 'Mn Senate'
archive,rtr:us:xx:modesto-irrigation-district,Modesto Irrigation District,special_district,unverified,Modesto Irrigation District,mid.granicus.com,minted from 'Modesto Irrigation District'
archive,rtr:us:xx:montgomery-county,Montgomery County,county,unverified,Montgomery County,mc-ala.civicweb.net,minted from 'Montgomery County'
archive,rtr:us:xx:montgomery-county,Montgomery County,county,unverified,Montgomery County,montgomerycountymd.granicus.com,minted from 'Montgomery County'
archive,rtr:us:xx:morrisville,Morrisville,other,unverified,Morrisville,morrisville.granicus.com,minted from 'Morrisville'
archive,rtr:us:xx:mountain-view-county,Mountain View County,county,unverified,Mountain View County,mountainviewcounty.civicweb.net,minted from 'Mountain View County'
archive,rtr:us:xx:mountain-view-county,Mountain View County,county,unverified,Mountain View County,mountainviewcounty.civicweb.net,minted from 'Mountain View County'
ledger,rtr:us:xx:mountain-view-county,Mountain View County,county,unverified,Mountain View County,mountainviewcounty.civicweb.net,minted from 'Mountain View County'
archive,rtr:us:xx:municode-portal,Municode Portal,other,unverified,Municode Portal,kingsport-tn.municodemeetings.com,minted from 'Municode Portal'
archive,rtr:us:xx:municode-portal,Municode Portal,other,unverified,Municode Portal,laurel-md.municodemeetings.com,minted from 'Municode Portal'
archive,rtr:us:xx:mw-rd,Mw Rd,other,pinned,Mw Rd,mwrd.granicus.com,tenant_overrides.csv mwrd.granicus.com source=auto_derived+jurisdiction_overrides
archive,rtr:us:xx:nashua,Nashua,other,unverified,Nashua,nashuanh.portal.civicclerk.com,minted from 'Nashua'
archive,rtr:us:xx:nassau-county,Nassau County,county,unverified,Nassau County,nassaucountysd.new.swagit.com,minted from 'Nassau County'
archive,rtr:us:xx:nelson,City of Nelson,municipality,unverified,City of Nelson,nelson.civicweb.net,minted from 'City of Nelson'
archive,rtr:us:xx:nelson,City of Nelson,municipality,unverified,City of Nelson,nelson.civicweb.net,minted from 'City of Nelson'
ledger,rtr:us:xx:nelson,City of Nelson,municipality,unverified,City of Nelson,nelson.civicweb.net,minted from 'City of Nelson'
archive,rtr:us:xx:nevada-public-utilities-commission,State of Nevada Public Utilities Commission,state,unverified,State of Nevada Public Utilities Commission,pucnv.granicus.com,minted from 'State of Nevada Public Utilities Commission'
archive,rtr:us:xx:new-boston,New Boston,other,unverified,New Boston,townhallstreams.com,minted from 'New Boston'
archive,rtr:us:xx:new-brighton,New Brighton,other,unverified,New Brighton,newbrighton.granicus.com,minted from 'New Brighton'
archive,rtr:us:xx:new-carlisle,City of New Carlisle,municipality,unverified,City of New Carlisle,newcarlisleohio.gov,minted from 'City of New Carlisle'
archive,rtr:us:xx:new-franklin,City of New Franklin,municipality,unverified,City of New Franklin,youtu.be,minted from 'City of New Franklin'
archive,rtr:us:xx:newburgh,Newburgh,other,unverified,Newburgh,newburghny.portal.civicclerk.com,minted from 'Newburgh'
archive,rtr:us:xx:newton,City of Newton,municipality,unverified,City of Newton,newtonkansas.civicweb.net,minted from 'City of Newton'
archive,rtr:us:xx:newton,City of Newton,municipality,unverified,City of Newton,newtonkansas.civicweb.net,minted from 'City of Newton'
ledger,rtr:us:xx:newton,City of Newton,municipality,unverified,City of Newton,newtonkansas.civicweb.net,minted from 'City of Newton'
archive,rtr:us:xx:newtown,Township of Newtown,township,unverified,Township of Newtown,newtowntownship.civicweb.net,minted from 'Township of Newtown'
archive,rtr:us:xx:newtown,Township of Newtown,township,unverified,Township of Newtown,newtowntownship.civicweb.net,minted from 'Township of Newtown'
ledger,rtr:us:xx:newtown,Township of Newtown,township,unverified,Township of Newtown,newtowntownship.civicweb.net,minted from 'Township of Newtown'
archive,rtr:us:xx:norfolk,Norfolk,other,unverified,Norfolk,norfolkva.portal.civicclerk.com,minted from 'Norfolk'
archive,rtr:us:xx:norfolk-county,Norfolk County,county,unverified,Norfolk County,pub-norfolkcounty.escribemeetings.com,minted from 'Norfolk County'
archive,rtr:us:xx:norfolk-county,Norfolk County,county,unverified,Norfolk County,pub-norfolkcounty.escribemeetings.com,minted from 'Norfolk County'
ledger,rtr:us:xx:norfolk-county,Norfolk County,county,unverified,Norfolk County,pub-norfolkcounty.escribemeetings.com,minted from 'Norfolk County'
archive,rtr:us:xx:north-bay-by,North Bay By,other,unverified,North Bay By,pub-northbay.escribemeetings.com,minted from 'North Bay By'
archive,rtr:us:xx:northcowichan,Northcowichan,other,unverified,Northcowichan,pub-northcowichan.escribemeetings.com,minted from 'Northcowichan'
archive,rtr:us:xx:northern-dakota-county,Northern Dakota County,county,unverified,Northern Dakota County,townsquaretv.granicus.com,minted from 'Northern Dakota County'
archive,rtr:us:xx:northern-rockies-regional-municipality,Northern Rockies Regional Municipality,special_district,pinned,Northern Rockies Regional Municipality,nr.civicweb.net,tenant_overrides.csv nr.civicweb.net source=auto_derived
archive,rtr:us:xx:northfield,City of Northfield,municipality,unverified,City of Northfield,northfield.granicus.com,minted from 'City of Northfield'
archive,rtr:us:xx:northfield,Village of Northfield,municipality,unverified,Village of Northfield,youtube.com,minted from 'Village of Northfield'
archive,rtr:us:xx:notl,Notl,other,unverified,Notl,pub-notl.escribemeetings.com,minted from 'Notl'
archive,rtr:us:xx:ny,State of Ny,state,pinned,Ny State Assembly,nystateassembly.granicus.com,tenant_overrides.csv nystateassembly.granicus.com source=auto_derived+jurisdiction_overrides
archive,rtr:us:xx:oak-harbor,City of Oak Harbor,municipality,unverified,City of Oak Harbor,oakharbor.gov,minted from 'City of Oak Harbor'
archive,rtr:us:xx:oak-ridge,The City of Oak Ridge,other,unverified,The City of Oak Ridge,oakridgetn.granicus.com,minted from 'The City of Oak Ridge'
archive,rtr:us:xx:oakdale,Oakdale,other,unverified,Oakdale,oakdalemn.gov,minted from 'Oakdale'
archive,rtr:us:xx:oneinvestmentprogram,Oneinvestmentprogram,other,unverified,Oneinvestmentprogram,pub-oneinvestmentprogram.escribemeetings.com,minted from 'Oneinvestmentprogram'
archive,rtr:us:xx:open-publica,Open Publica,other,unverified,Open Publica,www.openpublica.com,minted from 'Open Publica'
archive,rtr:us:xx:orange,City of Orange,municipality,unverified,City of Orange,cityoforange.granicus.com,minted from 'City of Orange'
archive,rtr:us:xx:orangeville,Town of Orangeville,municipality,unverified,Town of Orangeville,pub-eastgarafraxa.escribemeetings.com,minted from 'Town of Orangeville'
archive,rtr:us:xx:oregon-metro-council,Oregon Metro Council,other,unverified,Oregon Metro Council,oregonmetro.granicus.com,minted from 'Oregon Metro Council'
archive,rtr:us:xx:palm-springs,City of Palm Springs,municipality,unverified,City of Palm Springs,palmsprings.granicus.com,minted from 'City of Palm Springs'
archive,rtr:us:xx:palo-alto-amending-section,City of Palo Alto Amending Section,municipality,unverified,City of Palo Alto Amending Section,cityofpaloalto.primegov.com,minted from 'City of Palo Alto Amending Section'
archive,rtr:us:xx:paradise,Town of Paradise,municipality,unverified,Town of Paradise,pub-paradise.escribemeetings.com,minted from 'Town of Paradise'
