gov_id,gov_name,gov_type,country,state,place_geoid,county_fips,sgc_code,nces_lea_id,cog_id,aliases,source,evidence
ca:csd:3507017,Front of Yonge,municipality,ca,ON,,,3507017,,,"Township of Front of Yonge, ON",ca_csd.csv,
ca:csd:3507040,Rideau Lakes,municipality,ca,ON,,,3507040,,,"Rideau Lakes, ON",ca_csd.csv,
ca:csd:3507052,Merrickville-Wolford,municipality,ca,ON,,,3507052,,,"Merrickville Wolford|Merrickville-Wolford, ON",ca_csd.csv,
ca:csd:3507065,North Grenville,municipality,ca,ON,,,3507065,,,"North Grenville, ON",ca_csd.csv,
ca:csd:3511005,Loyalist,municipality,ca,ON,,,3511005,,,"Loyalist Township, ON",ca_csd.csv,
ca:csd:3511015,Greater Napanee,municipality,ca,ON,,,3511015,,,"Greater Napanee, ON",ca_csd.csv,
ca:csd:3514014,Cramahe,municipality,ca,ON,,,3514014,,,"Cramahe, ON",ca_csd.csv,
ca:csd:3514021,Cobourg,municipality,ca,ON,,,3514021,,,"Cobourg, ON|Town of Cobourg, ON",ca_csd.csv,
ca:csd:3514024,Alnwick/Haldimand,municipality,ca,ON,,,3514024,,,"Alnwick/Haldimand, ON",ca_csd.csv,
ca:csd:3514045,Trent Hills,municipality,ca,ON,,,3514045,,,"Trent Hills, ON",ca_csd.csv,
ca:csd:3515005,Otonabee-South Monaghan,municipality,ca,ON,,,3515005,,,"Township of Otonabee-South Monaghan, ON",ca_csd.csv,
ca:csd:3515014,Peterborough,municipality,ca,ON,,,3515014,,,"City of Peterborough, ON|Peterborough, ON",ca_csd.csv,
ca:csd:3518009,Whitby,municipality,ca,ON,,,3518009,,,"Town of Whitby, ON|Whitby, ON",ca_csd.csv,
ca:csd:3518013,Oshawa,municipality,ca,ON,,,3518013,,,"City of Oshawa, ON|Oshawa, ON",ca_csd.csv,
ca:csd:3518020,Scugog,municipality,ca,ON,,,3518020,,,"Scugog, ON",ca_csd.csv,
ca:csd:3518029,Uxbridge,municipality,ca,ON,,,3518029,,,"Uxbridge, ON",ca_csd.csv,
ca:csd:3518039,Brock,municipality,ca,ON,,,3518039,,,Township Of Brock|Township of Brock,ca_csd.csv,
ca:csd:3519028,Vaughan,municipality,ca,ON,,,3519028,,,"City of Vaughan, ON",ca_csd.csv,
ca:csd:3519038,Richmond Hill,municipality,ca,ON,,,3519038,,,"Richmond Hill Single Source Award|Richmond Hill, ON",ca_csd.csv,
ca:csd:3519044,Whitchurch-Stouffville,municipality,ca,ON,,,3519044,,,"Town of Whitchurch-Stouffville, ON",ca_csd.csv,
ca:csd:3519048,Newmarket,municipality,ca,ON,,,3519048,,,"Newmarket, ON",ca_csd.csv,
ca:csd:3519054,East Gwillimbury,municipality,ca,ON,,,3519054,,,"East Gwillimbury, ON",ca_csd.csv,
ca:csd:3519070,Georgina,municipality,ca,ON,,,3519070,,,"Georgina, ON|Town of Georgina, ON",ca_csd.csv,
ca:csd:3521005,Mississauga,municipality,ca,ON,,,3521005,,,"City of Mississauga, ON|Mississauga, ON",ca_csd.csv,
ca:csd:3521010,Brampton,municipality,ca,ON,,,3521010,,,"Brampton, ON|City of Brampton, ON",ca_csd.csv,
ca:csd:3521024,Caledon,municipality,ca,ON,,,3521024,,,"Caledon, ON",ca_csd.csv,
ca:csd:3522010,Grand Valley,municipality,ca,ON,,,3522010,,,"Grand Valley, ON|Town of Grand Valley, ON",ca_csd.csv,
ca:csd:3522012,Mono,municipality,ca,ON,,,3522012,,,"Town of Mono, ON",ca_csd.csv,
ca:csd:3522014,Orangeville,municipality,ca,ON,,,3522014,,,"Orangeville|Orangeville, ON|Town of Orangeville",ca_csd.csv,
ca:csd:3522021,Shelburne,municipality,ca,ON,,,3522021,,,"Shelburne, ON",ca_csd.csv,
ca:csd:3523008,Guelph,municipality,ca,ON,,,3523008,,,"Guelph, ON",ca_csd.csv,
ca:csd:3523025,Centre Wellington,municipality,ca,ON,,,3523025,,,"Township of Centre Wellington, ON",ca_csd.csv,
ca:csd:3524001,Oakville,municipality,ca,ON,,,3524001,,,"Oakville, ON|Town of Oakville, ON",ca_csd.csv,
ca:csd:3524009,Milton,municipality,ca,ON,,,3524009,,,"Milton, ON|Town of Milton, ON",ca_csd.csv,
ca:csd:3524015,Halton Hills,municipality,ca,ON,,,3524015,,,"Halton Hills, ON|Town of Halton Hills, ON",ca_csd.csv,
ca:csd:3526003,Fort Erie,municipality,ca,ON,,,3526003,,,"Fort Erie, ON|Town of Fort Erie, ON",ca_csd.csv,
ca:csd:3526032,Welland,municipality,ca,ON,,,3526032,,,"Welland, ON",ca_csd.csv,
ca:csd:3526047,Niagara-on-the-Lake,municipality,ca,ON,,,3526047,,,"Town of Niagara-on-the-Lake, ON",ca_csd.csv,
ca:csd:3526053,St. Catharines,municipality,ca,ON,,,3526053,,,"St. Catharines, ON",ca_csd.csv,
ca:csd:3529005,Brant,municipality,ca,ON,,,3529005,,,"Brant, ON",ca_csd.csv,
ca:csd:3530013,Kitchener,municipality,ca,ON,,,3530013,,,"City of Kitchener, ON",ca_csd.csv,
ca:csd:3531025,West Perth,municipality,ca,ON,,,3531025,,,"West Perth, ON",ca_csd.csv,
ca:csd:3532004,Tillsonburg,municipality,ca,ON,,,3532004,,,"Tillsonburg, ON|Town of Tillsonburg, ON",ca_csd.csv,
ca:csd:3532038,East Zorra-Tavistock,municipality,ca,ON,,,3532038,,,"Ezt|Township of East Zorra-Tavistock, ON",ca_csd.csv,
ca:csd:3534020,Central Elgin,municipality,ca,ON,,,3534020,,,"Central Elgin, ON",ca_csd.csv,
ca:csd:3534021,St. Thomas,municipality,ca,ON,,,3534021,,,"City of St. Thomas, ON|St. Thomas, ON",ca_csd.csv,
ca:csd:3536020,Chatham-Kent,municipality,ca,ON,,,3536020,,,"Chatham Kent|Chatham-Kent, ON",ca_csd.csv,
ca:csd:3537028,Amherstburg,municipality,ca,ON,,,3537028,,,"Amherstburg, ON|Town of Amherstburg, ON",ca_csd.csv,
ca:csd:3537064,Lakeshore,municipality,ca,ON,,,3537064,,,Lakeshore,ca_csd.csv,
ca:csd:3538030,Sarnia,municipality,ca,ON,,,3538030,,,"Sarnia, ON",ca_csd.csv,
ca:csd:3538031,Point Edward,municipality,ca,ON,,,3538031,,,"Point Edward, ON",ca_csd.csv,
ca:csd:3538040,Lambton Shores,municipality,ca,ON,,,3538040,,,"Lambton Shores, ON",ca_csd.csv,
ca:csd:3539015,Strathroy-Caradoc,municipality,ca,ON,,,3539015,,,Strathroy Caradoc,ca:csd (spacing-insensitive match),
ca:csd:3540010,Bluewater,municipality,ca,ON,,,3540010,,,"Bluewater, ON",ca_csd.csv,
ca:csd:3540028,Goderich,municipality,ca,ON,,,3540028,,,"Goderich, ON",ca_csd.csv,
ca:csd:3540063,Ashfield-Colborne-Wawanosh,municipality,ca,ON,,,3540063,,,"Ashfield-Colborne-Wawanosh, ON",ca_csd.csv,
ca:csd:3541024,Kincardine,municipality,ca,ON,,,3541024,,,"Kincardine, ON",ca_csd.csv,
ca:csd:3541043,Arran-Elderslie,municipality,ca,ON,,,3541043,,,"Arran-Elderslie, ON",ca_csd.csv,
ca:csd:3541045,Saugeen Shores,municipality,ca,ON,,,3541045,,,"Saugeenshores|Town of Saugeen Shores, ON",ca_csd.csv,
ca:csd:3541069,Northern Bruce Peninsula,municipality,ca,ON,,,3541069,,,"Northern Bruce Peninsula, ON",ca_csd.csv,
ca:csd:3542004,West Grey,municipality,ca,ON,,,3542004,,,"West Grey, ON",ca_csd.csv,
ca:csd:3542015,Grey Highlands,municipality,ca,ON,,,3542015,,,"Grey Highlands, ON",ca_csd.csv,
ca:csd:3542045,The Blue Mountains,municipality,ca,ON,,,3542045,,,"The Blue Mountains, ON",ca_csd.csv,
ca:csd:3542047,Meaford,municipality,ca,ON,,,3542047,,,"Meaford, ON",ca_csd.csv,
ca:csd:3542059,Owen Sound,municipality,ca,ON,,,3542059,,,"City of Owen Sound, ON|Owen Sound, ON",ca_csd.csv,
ca:csd:3543003,Adjala-Tosorontio,municipality,ca,ON,,,3543003,,,"Township of Adjala-Tosorontio, ON",ca_csd.csv,
ca:csd:3543007,New Tecumseth,municipality,ca,ON,,,3543007,,,"New Tecumseth, ON|Town of New Tecumseth, ON",ca_csd.csv,
ca:csd:3543014,Bradford West Gwillimbury,municipality,ca,ON,,,3543014,,,Bradfordwestgwillimbury,ca:csd (spacing-insensitive match),
ca:csd:3543019,Ramara,municipality,ca,ON,,,3543019,,,"Township of Ramara, ON",ca_csd.csv,
ca:csd:3543031,Collingwood,municipality,ca,ON,,,3543031,,,"Collingwood, ON|Town of Collingwood, ON",ca_csd.csv,
ca:csd:3543064,Wasaga Beach,municipality,ca,ON,,,3543064,,,"Town of Wasaga Beach, ON|Wasaga Beach, ON",ca_csd.csv,
ca:csd:3544053,Muskoka Lakes,municipality,ca,ON,,,3544053,,,"Muskoka Lakes, ON",ca_csd.csv,
ca:csd:3544065,Georgian Bay,municipality,ca,ON,,,3544065,,,"Georgian Bay, ON",ca_csd.csv,
ca:csd:3547056,Whitewater Region,municipality,ca,ON,,,3547056,,,"Whitewater Region, ON",ca:csd (spacing-insensitive match),
ca:csd:3552001,French River,municipality,ca,ON,,,3552001,,,"French River, ON",ca_csd.csv,
ca:csd:3552026,Espanola,municipality,ca,ON,,,3552026,,,Espanol A,ca:csd (spacing-insensitive match),
ca:csd:3553005,Greater Sudbury,municipality,ca,ON,,,3553005,,,"Greater Sudbury, ON",ca_csd.csv,
ca:csd:3554042,James,municipality,ca,ON,,,3554042,,,"James City, ON",ca_csd.csv,
ca:csd:3556027,Timmins,municipality,ca,ON,,,3556027,,,"Timmins, ON",ca_csd.csv,
ca:csd:3556066,Kapuskasing,municipality,ca,ON,,,3556066,,,"Kapuskasing, ON",ca_csd.csv,
ca:csd:3556076,Hearst,municipality,ca,ON,,,3556076,,,"Town of Hearst, ON",ca_csd.csv,
ca:csd:3557038,Blind River,municipality,ca,ON,,,3557038,,,"Blind River, ON",ca_csd.csv,
ca:csd:3557041,Elliot Lake,municipality,ca,ON,,,3557041,,,"City of Elliot Lake, ON|Elliot Lake, ON",ca_csd.csv,
ca:csd:3558004,Thunder Bay,municipality,ca,ON,,,3558004,,,"City of Thunder Bay, ON|Thunder Bay, ON",ca_csd.csv,
ca:csd:3558011,Oliver Paipoonge,municipality,ca,ON,,,3558011,,,"Oliver Paipoonge, ON",ca_csd.csv,
ca:csd:3559001,Atikokan,municipality,ca,ON,,,3559001,,,"Atikokan, ON",ca_csd.csv,
ca:csd:3560010,Kenora,municipality,ca,ON,,,3560010,,,"City of Kenora, ON",ca_csd.csv,
ca:csd:3560027,Dryden,municipality,ca,ON,,,3560027,,,"City of Dryden|Dryden|Dryden, ON",ca_csd.csv,
ca:csd:4609018,Grey,municipality,ca,MB,,,4609018,,,"Grey, MB",ca_csd.csv,
ca:csd:4707039,Moose Jaw,municipality,ca,SK,,,4707039,,,"Moose Jaw, SK",ca_csd.csv,
ca:csd:4711066,Saskatoon,municipality,ca,SK,,,4711066,,,"City of Saskatoon, SK|Saskatoon, SK",ca_csd.csv,
ca:csd:4715066,Prince Albert,municipality,ca,SK,,,4715066,,,"City of Prince Albert, SK",ca_csd.csv,
ca:csd:4801006,Medicine Hat,municipality,ca,AB,,,4801006,,,"Medicine Hat, AB",ca_csd.csv,
ca:csd:4802012,Lethbridge,municipality,ca,AB,,,4802012,,,"City of Lethbridge, AB|Lethbridge, AB",ca_csd.csv,
ca:csd:4805006,Vulcan,municipality,ca,AB,,,4805006,,,"Town of Vulcan, AB",ca_csd.csv,
ca:csd:4805041,Kneehill County,municipality,ca,AB,,,4805041,,,Kneehill County,ca:csd (spacing-insensitive match),
ca:csd:4806006,High River,municipality,ca,AB,,,4806006,,,"Town of High River, AB",ca_csd.csv,
ca:csd:4806012,Okotoks,municipality,ca,AB,,,4806012,,,"Town of Okotoks, AB",ca_csd.csv,
ca:csd:4806014,Rocky View County,municipality,ca,AB,,,4806014,,,"Rocky View, AB",ca_csd.csv,
ca:csd:4806016,Calgary,municipality,ca,AB,,,4806016,,,"Calgary, AB",ca_csd.csv,
ca:csd:4806017,Chestermere,municipality,ca,AB,,,4806017,,,"City of Chestermere, AB",ca_csd.csv,
ca:csd:4806021,Airdrie,municipality,ca,AB,,,4806021,,,"Airdrie, AB",ca_csd.csv,
