gov_id,gov_name,gov_type,country,state,place_geoid,county_fips,sgc_code,nces_lea_id,cog_id,aliases,source,evidence
rtr:us:mn:anoka-hennepin-school-district,Anoka-Hennepin School District,school_district,us,MN,,,,,,"Anoka-Hennepin School District, MN",minted,no national table covers this government
rtr:us:mn:metropolitan-airports-commission,Metropolitan Airports Commission,special_district,us,MN,,,,,,"Metropolitan Airports Commission (MAC)|Metropolitan Airports Commission, MN",minted,no national table covers this government
rtr:us:mn:st-james,St James,other,us,MN,,,,,,"St James, MN",minted,no national table covers this government
rtr:us:mn:unknown-jurisdiction,Unknown Jurisdiction,other,us,MN,,,,,,Unknown Jurisdiction,minted,no national table covers this government
rtr:us:nc:cape-fear-public-utility-authority,Cape Fear Public Utility Authority,special_district,us,NC,,,,,,"Cape Fear Public Utility Authority, NC",minted,no national table covers this government
rtr:us:nc:king-county,King County,county,us,NC,,,,,,"King County|King County, NC",minted,no national table covers this government
rtr:us:nc:lees-summit,City of Lees Summit,municipality,us,NC,,,,,,City of Lees Summit,minted,no national table covers this government
rtr:us:nh:hooksett,The Town of Hooksett,other,us,NH,,,,,,"The Town of Hooksett, NH",minted,no national table covers this government
rtr:us:nh:the-town-of-hooksett,The Town of Hooksett,other,us,NH,,,,,,"The Town of Hooksett, NH",minted,no national table covers this government
rtr:us:nj:fairhaven,Fairhaven,other,us,NJ,,,,,,"Borough of Fair Haven|Fairhaven, NJ",minted,no national table covers this government
rtr:us:nj:franklin-township,Franklin Township,township,us,NJ,,,,,,"Franklin Township, NJ",minted,no national table covers this government
rtr:us:nm:albuquerque-bernalillo-county-water-utility-authority,Albuquerque Bernalillo County Water Utility Authority,special_district,us,NM,,,,,,"Albuquerque Bernalillo County Water Utility Authority|Albuquerque Bernalillo County Water Utility Authority, NM",minted,no national table covers this government
rtr:us:nv:city-of-reno-logo,"City of Reno Logo""",municipality,us,NV,,,,,,"City of Reno Logo"", NV",minted,no national table covers this government
rtr:us:nv:incline-village,Incline Village,municipality,us,NV,,,,,,"Incline Village, NV",minted,no national table covers this government
rtr:us:nv:reno-logo,"City of Reno Logo""",municipality,us,NV,,,,,,"City of Reno Logo"", NV",minted,no national table covers this government
rtr:us:ny:amherst-erie-county,"Town of Amherst, Erie County",county,us,NY,,,,,,"Town of Amherst, Erie County, NY",minted,no national table covers this government
rtr:us:ny:buffalo,The City of Buffalo,other,us,NY,,,,,,"The City of Buffalo, NY",minted,no national table covers this government
rtr:us:ny:east-hampton-long-island,"Town of East Hampton, Long Island",municipality,us,NY,,,,,,"Town of East Hampton, Long Island, NY",minted,no national table covers this government
rtr:us:ny:farmingville,Farmingville,other,us,NY,,,,,,"Farmingville, NY",minted,no national table covers this government
rtr:us:ny:north-salem,The Town of North Salem,other,us,NY,,,,,,"The Town of North Salem, NY",minted,no national table covers this government
rtr:us:ny:port-chester,Port Chester,special_district,us,NY,,,,,,"Port Chester, NY",minted,no national table covers this government
rtr:us:ny:smithtown-smithtown,"Town of Smithtown,Smithtown",municipality,us,NY,,,,,,"Town of Smithtown,Smithtown NY",minted,no national table covers this government
rtr:us:ny:southampton-long-island,"Town of Southampton, Long Island",municipality,us,NY,,,,,,"Town of Southampton, Long Island, NY",minted,no national table covers this government
rtr:us:ny:southold-long-island,"Town of Southold, Long Island",municipality,us,NY,,,,,,"Town of Southold, Long Island, NY",minted,no national table covers this government
rtr:us:ny:the-city-of-buffalo,The City of Buffalo,other,us,NY,,,,,,"The City of Buffalo, NY",minted,no national table covers this government
rtr:us:ny:the-town-of-north-salem,The Town of North Salem,other,us,NY,,,,,,"The Town of North Salem, NY",minted,no national table covers this government
rtr:us:ny:town-of-amherst-erie-county,"Town of Amherst, Erie County",county,us,NY,,,,,,"Town of Amherst, Erie County, NY",minted,no national table covers this government
rtr:us:ny:town-of-east-hampton-long-island,"Town of East Hampton, Long Island",municipality,us,NY,,,,,,"Town of East Hampton, Long Island, NY",minted,no national table covers this government
rtr:us:ny:town-of-southampton-long-island,"Town of Southampton, Long Island",municipality,us,NY,,,,,,"Town of Southampton, Long Island, NY",minted,no national table covers this government
rtr:us:ny:town-of-southold-long-island,"Town of Southold, Long Island",municipality,us,NY,,,,,,"Town of Southold, Long Island, NY",minted,no national table covers this government
rtr:us:ny:tv,TV,special_district,us,NY,,,,,,"TV, NY",minted,no national table covers this government
rtr:us:oh:deerfield-township,Deerfield Township,township,us,OH,,,,,,"Deerfield Township, OH",minted,no national table covers this government
rtr:us:oh:st-marys,St Marys,other,us,OH,,,,,,"City of St. Marys|St Marys, OH",minted,no national table covers this government
rtr:us:oh:unknown-jurisdiction,Unknown Jurisdiction,other,us,OH,,,,,,Unknown Jurisdiction,minted,no national table covers this government
rtr:us:or:unknown-jurisdiction,Unknown Jurisdiction,other,us,OR,,,,,,Unknown Jurisdiction,minted,no national table covers this government
rtr:us:pa:cherry-township,Cherry Township,township,us,PA,,,,,,"Cherry Township, PA",minted,no national table covers this government
rtr:us:pa:middletown-township,Middletown Township,township,us,PA,,,,,,"Middletown Township, PA",minted,no national table covers this government
rtr:us:pa:upper-providence,Upper Providence,other,us,PA,,,,,,"Upper Providence, PA",minted,no national table covers this government
rtr:us:pa:warrington-township,Warrington Township,township,us,PA,,,,,,"Warrington Township, PA",minted,no national table covers this government
rtr:us:ri:north-kingstown-school-committee,North Kingstown School Committee,school_district,us,RI,,,,,,"North Kingstown School Committee, RI",minted,no national table covers this government
rtr:us:sc:arkansas-supreme-court,Arkansas Supreme Court,court,us,SC,,,,,,Arkansas Supreme Court,minted,no national table covers this government
rtr:us:sd:nassau-county,Nassau County,county,us,SD,,,,,,Nassau County,minted,no national table covers this government
rtr:us:tn:municode-portal,Municode Portal,other,us,TN,,,,,,Municode Portal,minted,no national table covers this government
rtr:us:tn:nashville-davidson-county,Nashville-Davidson County,county,us,TN,,,,,,"Nashville|Nashville-Davidson County, TN",minted,no national table covers this government
rtr:us:tn:nashville-davidson-metropolitan-government,Nashville-Davidson metropolitan government,special_district,us,TN,,,,,,"Nashville|Nashville-Davidson metropolitan government, TN",minted,no national table covers this government
rtr:us:tn:oak-ridge,The City of Oak Ridge,other,us,TN,,,,,,The City of Oak Ridge,minted,no national table covers this government
rtr:us:tn:unknown-jurisdiction,Unknown Jurisdiction,other,us,TN,,,,,,Unknown Jurisdiction,minted,no national table covers this government
rtr:us:tx:aledo-isd,Aledo ISD,school_district,us,TX,,,,,,"Aledo ISD, TX",minted,no national table covers this government
rtr:us:tx:allen-isd,Allen ISD,school_district,us,TX,,,,,,"Allen ISD, TX",minted,no national table covers this government
rtr:us:tx:amarillo,The City of Amarillo,other,us,TX,,,,,,"The City of Amarillo, TX",minted,no national table covers this government
rtr:us:tx:birdville-isd,Birdville ISD,school_district,us,TX,,,,,,"Birdville ISD, TX",minted,no national table covers this government
rtr:us:tx:capital-metro-austin,"Capital Metro, Austin",other,us,TX,,,,,,"Capital Metro, Austin TX",minted,no national table covers this government
rtr:us:tx:capital-metropolitan-transportation-authority,Capital Metropolitan Transportation Authority,special_district,us,TX,,,,,,"Capital Metropolitan Transportation Authority, TX",minted,no national table covers this government
rtr:us:tx:carroll-isd,Carroll ISD,school_district,us,TX,,,,,,"Carroll ISD, TX",minted,no national table covers this government
rtr:us:tx:cedar-hill-isd,Cedar Hill ISD,school_district,us,TX,,,,,,"Cedar Hill ISD, TX",minted,no national table covers this government
rtr:us:tx:city-of-sunset-valley-travis-county,"City of Sunset Valley, Travis County",county,us,TX,,,,,,"City of Sunset Valley, Travis County, TX",minted,no national table covers this government
rtr:us:tx:coppell-isd,Coppell ISD,school_district,us,TX,,,,,,"Coppell ISD, TX",minted,no national table covers this government
rtr:us:tx:corpus-christi-isd,Corpus Christi ISD,school_district,us,TX,,,,,,"Corpus Christi ISD, TX",minted,no national table covers this government
rtr:us:tx:crowley-isd,Crowley ISD,school_district,us,TX,,,,,,"Crowley ISD, TX",minted,no national table covers this government
rtr:us:tx:dallas-isd,Dallas ISD,school_district,us,TX,,,,,,"Dallas ISD, TX",minted,no national table covers this government
rtr:us:tx:del-valle-isd,Del Valle ISD,school_district,us,TX,,,,,,"Del Valle ISD, TX",minted,no national table covers this government
rtr:us:tx:dickinson-isd,Dickinson ISD,school_district,us,TX,,,,,,"Dickinson ISD, TX",minted,no national table covers this government
rtr:us:tx:dripping-springs-isd,Dripping Springs ISD,school_district,us,TX,,,,,,"Dripping Springs ISD, TX",minted,no national table covers this government
rtr:us:tx:eanes-isd,Eanes ISD,school_district,us,TX,,,,,,"Eanes ISD, TX",minted,no national table covers this government
rtr:us:tx:fair-fire-department,Fair Fire Department,other,us,TX,,,,,,"Fair Fire Department, TX",minted,no national table covers this government
rtr:us:tx:fort-bend-county-isd,Fort Bend County ISD,school_district,us,TX,,,,,,"Fort Bend County ISD, TX",minted,no national table covers this government
rtr:us:tx:frisco-isd,Frisco ISD,school_district,us,TX,,,,,,"Frisco ISD, TX",minted,no national table covers this government
rtr:us:tx:garland-isd,Garland ISD,school_district,us,TX,,,,,,"Garland ISD, TX",minted,no national table covers this government
rtr:us:tx:grand-prairie-isd,Grand Prairie ISD,school_district,us,TX,,,,,,"Grand Prairie ISD, TX",minted,no national table covers this government
rtr:us:tx:hays-cisd,Hays CISD,school_district,us,TX,,,,,,"Hays CISD, TX",minted,no national table covers this government
rtr:us:tx:hutto-isd,Hutto ISD,school_district,us,TX,,,,,,"Hutto ISD, TX",minted,no national table covers this government
rtr:us:tx:irving-isd,Irving ISD,school_district,us,TX,,,,,,"Irving ISD, TX",minted,no national table covers this government
rtr:us:tx:katy-isd,Katy ISD,school_district,us,TX,,,,,,"Katy ISD, TX",minted,no national table covers this government
rtr:us:tx:killeen-isd,Killeen ISD,school_district,us,TX,,,,,,"Killeen ISD, TX",minted,no national table covers this government
rtr:us:tx:lake-travis-isd,Lake Travis ISD,school_district,us,TX,,,,,,"Lake Travis ISD, TX",minted,no national table covers this government
rtr:us:tx:lamar-cisd,Lamar CISD,school_district,us,TX,,,,,,"Lamar CISD, TX",minted,no national table covers this government
rtr:us:tx:little-elm-isd,Little Elm ISD,school_district,us,TX,,,,,,"Little Elm ISD, TX",minted,no national table covers this government
rtr:us:tx:live-oak-texas,The City of Live Oak Texas,other,us,TX,,,,,,The City of Live Oak Texas,minted,no national table covers this government
rtr:us:tx:lubbock-isd,Lubbock ISD,school_district,us,TX,,,,,,"Lubbock ISD, TX",minted,no national table covers this government
rtr:us:tx:midlothian-isd,Midlothian ISD,school_district,us,TX,,,,,,"Midlothian ISD, TX",minted,no national table covers this government
rtr:us:tx:pedernals-electric-cooperative,Pedernals Electric Cooperative,other,us,TX,,,,,,"Pedernals Electric Cooperative, TX",minted,no national table covers this government
rtr:us:tx:pflugerville-isd,Pflugerville ISD,school_district,us,TX,,,,,,"Pflugerville ISD, TX",minted,no national table covers this government
rtr:us:tx:plano-isd,Plano ISD,school_district,us,TX,,,,,,"Plano ISD, TX",minted,no national table covers this government
rtr:us:tx:port-arthur,Port Arthur,special_district,us,TX,,,,,,"Port Arthur, TX",minted,no national table covers this government
rtr:us:tx:richardson-isd,Richardson ISD,school_district,us,TX,,,,,,"Richardson ISD, TX",minted,no national table covers this government
rtr:us:tx:richwood-texas,City of Richwood Texas,municipality,us,TX,,,,,,City of Richwood Texas,minted,no national table covers this government
rtr:us:tx:round-rock-isd,Round Rock ISD,school_district,us,TX,,,,,,"Round Rock ISD, TX",minted,no national table covers this government
rtr:us:tx:san-jacinto-river-authority,San Jacinto River Authority,special_district,us,TX,,,,,,"San Jacinto River Authority, TX",minted,no national table covers this government
rtr:us:tx:spring-branch-isd,Spring Branch ISD,school_district,us,TX,,,,,,"Spring Branch ISD, TX",minted,no national table covers this government
rtr:us:tx:sunset-valley-travis-county,"City of Sunset Valley, Travis County",county,us,TX,,,,,,"City of Sunset Valley, Travis County, TX",minted,no national table covers this government
rtr:us:tx:tarrant-county-college-district,Tarrant County College District,school_district,us,TX,,,,,,"Tarrant County College District, TX|Tarrant County, TX",minted,no national table covers this government
rtr:us:tx:texas,Texas,other,us,TX,,,,,,"Electric Reliability Council of Texas, TX|Texas Department of Family and Protective Services, TX",minted,no national table covers this government
rtr:us:tx:the-city-of-amarillo,The City of Amarillo,other,us,TX,,,,,,"The City of Amarillo, TX",minted,no national table covers this government
rtr:us:tx:the-woodlands-township,The Woodlands Township,township,us,TX,,,,,,"The Woodlands Township, TX",minted,no national table covers this government
rtr:us:tx:travis-central-appraisal-district,Travis Central Appraisal District,special_district,us,TX,,,,,,"Travis Central Appraisal District, TX",minted,no national table covers this government
rtr:us:tx:unknown-jurisdiction,Unknown Jurisdiction,other,us,TX,,,,,,Unknown Jurisdiction,minted,no national table covers this government
rtr:us:tx:via-metropolitan-transit,VIA Metropolitan Transit,special_district,us,TX,,,,,,"VIA Metropolitan Transit, TX",minted,no national table covers this government
rtr:us:tx:victoria-isd,Victoria ISD,school_district,us,TX,,,,,,"Victoria ISD, TX",minted,no national table covers this government
rtr:us:tx:wichita-falls-isd,Wichita Falls ISD,school_district,us,TX,,,,,,"Wichita Falls ISD, TX",minted,no national table covers this government
rtr:us:tx:willow-park-texas-meetings-hub,Willow Park Texas Meetings Hub,other,us,TX,,,,,,Willow Park Texas Meetings Hub,minted,no national table covers this government
rtr:us:ut:mill-creek,Mill Creek,other,us,UT,,,,,,Mill Creek,minted,no national table covers this government
rtr:us:ut:subtitles-county,Subtitles County,county,us,UT,,,,,,Subtitles County,minted,no national table covers this government
rtr:us:ut:unknown-jurisdiction,Unknown Jurisdiction,other,us,UT,,,,,,Unknown Jurisdiction,minted,no national table covers this government
rtr:us:va:goochland-county-ps,Goochland County PS,county,us,VA,,,,,,"Goochland County PS, VA",minted,no national table covers this government
rtr:us:va:harrisonburg,The City of Harrisonburg,other,us,VA,,,,,,"The City of Harrisonburg, VA",minted,no national table covers this government
rtr:us:va:roanoke-county,Roanoke County,county,us,VA,,,,,,"Roanoke County, VA",minted,no national table covers this government
rtr:us:va:the-city-of-harrisonburg,The City of Harrisonburg,other,us,VA,,,,,,"The City of Harrisonburg, VA",minted,no national table covers this government
rtr:us:wa:bainbridge,Bainbridge,other,us,WA,,,,,,"Bainbridge, WA",minted,no national table covers this government
rtr:us:wa:city-of-port-townsend,City of Port Townsend,special_district,us,WA,,,,,,"City of Port Townsend, WA",minted,no national table covers this government
rtr:us:wa:port-townsend,City of Port Townsend,special_district,us,WA,,,,,,"City of Port Townsend, WA",minted,no national table covers this government
rtr:us:wa:puget-sound-regional-council,Puget Sound Regional Council,special_district,us,WA,,,,,,"Psr C 2|Puget Sound Regional Council, WA",minted,no national table covers this government
rtr:us:wa:redmond,The City of Redmond,other,us,WA,,,,,,"The City of Redmond, WA",minted,no national table covers this government
rtr:us:wa:the-city-of-redmond,The City of Redmond,other,us,WA,,,,,,"The City of Redmond, WA",minted,no national table covers this government
rtr:us:wi:columbus-wisconsin-meetings-hub,Columbus Wisconsin Meetings Hub,other,us,WI,,,,,,Columbus Wisconsin Meetings Hub,minted,no national table covers this government
rtr:us:wi:la-crosse,The City of La Crosse,other,us,WI,,,,,,"The City of La Crosse, WI",minted,no national table covers this government
rtr:us:wi:milwaukee,The City of Milwaukee,other,us,WI,,,,,,"The City of Milwaukee, WI",minted,no national table covers this government
rtr:us:wi:the-city-of-la-crosse,The City of La Crosse,other,us,WI,,,,,,"The City of La Crosse, WI",minted,no national table covers this government
rtr:us:wv:morgantown,The City of Morgantown,other,us,WV,,,,,,"The City of Morgantown, WV",minted,no national table covers this government
rtr:us:wv:ranson,Ranson,other,us,WV,,,,,,"Ranson, WV",minted,no national table covers this government
rtr:us:wv:the-city-of-morgantown,The City of Morgantown,other,us,WV,,,,,,"The City of Morgantown, WV",minted,no national table covers this government
rtr:us:xx:aberdeen,Aberdeen,other,us,,,,,,,Aberdeen,minted,no national table covers this government
rtr:us:xx:ac-transit,Ac Transit,special_district,us,,,,,,,Ac Transit,minted,no national table covers this government
rtr:us:xx:ada-county-highway-district,Ada County Highway District,county,us,,,,,,,Ada County Highway District,minted,no national table covers this government
rtr:us:xx:albany-common,Albany Common,other,us,,,,,,,Albany Common,minted,no national table covers this government
rtr:us:xx:albuquerque-bernalillo-county-water-utility-authority,Albuquerque Bernalillo County Water Utility Authority,special_district,us,,,,,,,Albuquerque Bernalillo County Water Utility Authority,minted,no national table covers this government
rtr:us:xx:andover,Andover,other,us,,,,,,,Andover|The City of Andover,minted,no national table covers this government
rtr:us:xx:annapolis,City of Annapolis,municipality,us,,,,,,,City of Annapolis,minted,no national table covers this government
rtr:us:xx:appleton,City of Appleton,municipality,us,,,,,,,City of Appleton,minted,no national table covers this government
rtr:us:xx:arizona-supreme-court,Arizona Supreme Court,court,us,,,,,,,Arizona Supreme Court,minted,no national table covers this government
rtr:us:xx:arkansas-supreme-court,Arkansas Supreme Court,court,us,,,,,,,Arkansas Supreme Court,minted,no national table covers this government
rtr:us:xx:arlington-heights,Arlington Heights,other,us,,,,,,,Arlington Heights,minted,no national table covers this government
rtr:us:xx:ashland,Ashland,other,us,,,,,,,Ashland|Town of Ashland,minted,no national table covers this government
rtr:us:xx:bancroft,Town of Bancroft,municipality,us,,,,,,,Town of Bancroft,minted,no national table covers this government
rtr:us:xx:bangor,City of Bangor,municipality,us,,,,,,,City of Bangor,minted,no national table covers this government
rtr:us:xx:bay-area-headquarters-authority,Bay Area Headquarters Authority,special_district,us,,,,,,,Bay Area Headquarters Authority,minted,no national table covers this government
rtr:us:xx:beach-cities-health-district,Beach Cities Health District,special_district,us,,,,,,,Beach Cities Health District,minted,no national table covers this government
rtr:us:xx:beaufort,Beaufort,other,us,,,,,,,Beaufort,minted,no national table covers this government
rtr:us:xx:bellaire,City of Bellaire,municipality,us,,,,,,,City of Bellaire,minted,no national table covers this government
rtr:us:xx:bellefonte-borough,Bellefonte Borough,municipality,us,,,,,,,Bellefonte Borough,minted,no national table covers this government
rtr:us:xx:bellevue,City of Bellevue,municipality,us,,,,,,,City of Bellevue,minted,no national table covers this government
rtr:us:xx:benicia-ca,Benicia CA,other,us,,,,,,,Benicia CA,minted,no national table covers this government
rtr:us:xx:berlin,Town of Berlin,municipality,us,,,,,,,Town of Berlin,minted,no national table covers this government
rtr:us:xx:beverly-hills,City of Beverly Hills,municipality,us,,,,,,,City of Beverly Hills,minted,no national table covers this government
rtr:us:xx:birmingham,City of Birmingham,municipality,us,,,,,,,City of Birmingham,minted,no national table covers this government
rtr:us:xx:blount-county,Blount County,county,us,,,,,,,Blount County,minted,no national table covers this government
rtr:us:xx:borough-of-fair-haven,Borough of Fair Haven,municipality,us,,,,,,,Borough of Fair Haven,minted,no national table covers this government
rtr:us:xx:bradford,Town of Bradford,municipality,us,,,,,,,Town of Bradford,minted,no national table covers this government
rtr:us:xx:bradfordwestgwillimbury,Bradfordwestgwillimbury,other,us,,,,,,,Bradfordwestgwillimbury,minted,no national table covers this government
rtr:us:xx:brighton,Brighton,other,us,,,,,,,Brighton|City of Brighton,minted,no national table covers this government
rtr:us:xx:bristol,Town of Bristol,municipality,us,,,,,,,Town of Bristol,minted,no national table covers this government
rtr:us:xx:brock,Township Of Brock,township,us,,,,,,,Township Of Brock|Township of Brock,minted,no national table covers this government
rtr:us:xx:brookfield,Village of Brookfield,municipality,us,,,,,,,Village of Brookfield,minted,no national table covers this government
rtr:us:xx:bruce-county,Bruce County,county,us,,,,,,,Bruce County,minted,no national table covers this government
rtr:us:xx:buckley,City of Buckley,municipality,us,,,,,,,City of Buckley,minted,no national table covers this government
rtr:us:xx:burnsville,City of Burnsville,municipality,us,,,,,,,City of Burnsville,minted,no national table covers this government
rtr:us:xx:burton,City of Burton,municipality,us,,,,,,,City of Burton,minted,no national table covers this government
rtr:us:xx:butler-county,Butler County,county,us,,,,,,,Butler County,minted,no national table covers this government
rtr:us:xx:cal-icma,Cal-ICMA,other,us,,,,,,,Cal-ICMA,minted,no national table covers this government
rtr:us:xx:caledonia-township,Caledonia Township,township,us,,,,,,,Caledonia Township,minted,no national table covers this government
rtr:us:xx:california,California,other,us,,,,,,,California,minted,no national table covers this government
rtr:us:xx:california-state-personnel-board,California State Personnel Board,other,us,,,,,,,California State Personnel Board,minted,no national table covers this government
rtr:us:xx:cambridge,Cambridge,other,us,,,,,,,Cambridge|City of Cambridge,minted,no national table covers this government
rtr:us:xx:capital-metro-austin-tx,"Capital Metro, Austin TX",other,us,,,,,,,"Capital Metro, Austin TX",minted,no national table covers this government
rtr:us:xx:carrollton,City of Carrollton,municipality,us,,,,,,,City of Carrollton,minted,no national table covers this government
rtr:us:xx:carson,City of Carson,municipality,us,,,,,,,City of Carson,minted,no national table covers this government
rtr:us:xx:cass,Cass,other,us,,,,,,,Cass,minted,no national table covers this government
rtr:us:xx:castle-rock,Town of Castle Rock,municipality,us,,,,,,,Town of Castle Rock,minted,no national table covers this government
rtr:us:xx:central-valley-flood-protection-board,Central Valley Flood Protection Board,other,us,,,,,,,Central Valley Flood Protection Board,minted,no national table covers this government
rtr:us:xx:chapel-hill,Town of Chapel Hill,municipality,us,,,,,,,Town of Chapel Hill,minted,no national table covers this government
rtr:us:xx:chatham-kent,Chatham Kent,other,us,,,,,,,Chatham Kent,minted,no national table covers this government
rtr:us:xx:chesterfield,Chesterfield,other,us,,,,,,,Chesterfield,minted,no national table covers this government
rtr:us:xx:chesterfield-township,Chesterfield Township,township,us,,,,,,,Chesterfield Township,minted,no national table covers this government
rtr:us:xx:cheyenne,City of Cheyenne,municipality,us,,,,,,,City of Cheyenne,minted,no national table covers this government
rtr:us:xx:city-and-county-of-san-francisco,City and County of San Francisco,county,us,,,,,,,City and County of San Francisco,minted,no national table covers this government
rtr:us:xx:city-of-al,City of Al,municipality,us,,,,,,,City of Al,minted,no national table covers this government
rtr:us:xx:city-of-annapolis,City of Annapolis,municipality,us,,,,,,,City of Annapolis,minted,no national table covers this government
rtr:us:xx:city-of-appleton,City of Appleton,municipality,us,,,,,,,City of Appleton,minted,no national table covers this government
rtr:us:xx:city-of-bangor,City of Bangor,municipality,us,,,,,,,City of Bangor,minted,no national table covers this government
rtr:us:xx:city-of-bellaire,City of Bellaire,municipality,us,,,,,,,City of Bellaire,minted,no national table covers this government
rtr:us:xx:city-of-bellevue,City of Bellevue,municipality,us,,,,,,,City of Bellevue,minted,no national table covers this government
rtr:us:xx:city-of-beverly-hills,City of Beverly Hills,municipality,us,,,,,,,City of Beverly Hills,minted,no national table covers this government
rtr:us:xx:city-of-birmingham,City of Birmingham,municipality,us,,,,,,,City of Birmingham,minted,no national table covers this government
rtr:us:xx:city-of-buckley,City of Buckley,municipality,us,,,,,,,City of Buckley,minted,no national table covers this government
rtr:us:xx:city-of-burnsville,City of Burnsville,municipality,us,,,,,,,City of Burnsville,minted,no national table covers this government
rtr:us:xx:city-of-burton,City of Burton,municipality,us,,,,,,,City of Burton,minted,no national table covers this government
rtr:us:xx:city-of-cambridge,City of Cambridge,municipality,us,,,,,,,City of Cambridge,minted,no national table covers this government
rtr:us:xx:city-of-carrollton,City of Carrollton,municipality,us,,,,,,,City of Carrollton,minted,no national table covers this government
rtr:us:xx:city-of-carson,City of Carson,municipality,us,,,,,,,City of Carson,minted,no national table covers this government
rtr:us:xx:city-of-cheyenne,City of Cheyenne,municipality,us,,,,,,,City of Cheyenne,minted,no national table covers this government
rtr:us:xx:city-of-clinton,City of Clinton,municipality,us,,,,,,,City of Clinton,minted,no national table covers this government
rtr:us:xx:city-of-corona,City of Corona,municipality,us,,,,,,,City of Corona,minted,no national table covers this government
rtr:us:xx:city-of-cottage-grove,City of Cottage Grove,municipality,us,,,,,,,City of Cottage Grove,minted,no national table covers this government
rtr:us:xx:city-of-crestview,City of Crestview,municipality,us,,,,,,,City of Crestview,minted,no national table covers this government
rtr:us:xx:city-of-dallas,City of Dallas,municipality,us,,,,,,,City of Dallas,minted,no national table covers this government
rtr:us:xx:city-of-easton,City of Easton,municipality,us,,,,,,,City of Easton,minted,no national table covers this government
rtr:us:xx:city-of-edina,City of Edina,municipality,us,,,,,,,City of Edina,minted,no national table covers this government
rtr:us:xx:city-of-ennis,City of Ennis,municipality,us,,,,,,,City of Ennis,minted,no national table covers this government
rtr:us:xx:city-of-evanston,City of Evanston,municipality,us,,,,,,,City of Evanston,minted,no national table covers this government
rtr:us:xx:city-of-everett,City of Everett,municipality,us,,,,,,,City of Everett,minted,no national table covers this government
rtr:us:xx:city-of-farmington,City of Farmington,municipality,us,,,,,,,City of Farmington,minted,no national table covers this government
rtr:us:xx:city-of-frederick,City of Frederick,municipality,us,,,,,,,City of Frederick,minted,no national table covers this government
rtr:us:xx:city-of-fremont,City of Fremont,municipality,us,,,,,,,City of Fremont,minted,no national table covers this government
rtr:us:xx:city-of-germantown,City of Germantown,municipality,us,,,,,,,City of Germantown,minted,no national table covers this government
rtr:us:xx:city-of-golden,City of Golden,municipality,us,,,,,,,City of Golden,minted,no national table covers this government
rtr:us:xx:city-of-green,City of Green,municipality,us,,,,,,,City of Green,minted,no national table covers this government
rtr:us:xx:city-of-greensboro,City of Greensboro,municipality,us,,,,,,,City of Greensboro,minted,no national table covers this government
rtr:us:xx:city-of-gresham,City of Gresham,municipality,us,,,,,,,City of Gresham,minted,no national table covers this government
rtr:us:xx:city-of-gulfport,City of Gulfport,municipality,us,,,,,,,City of Gulfport,minted,no national table covers this government
rtr:us:xx:city-of-guttenberg,City of Guttenberg,municipality,us,,,,,,,City of Guttenberg,minted,no national table covers this government
rtr:us:xx:city-of-hamilton,City of Hamilton,municipality,us,,,,,,,City of Hamilton|H Psb|Hamilton,minted,no national table covers this government
rtr:us:xx:city-of-hartford,City of Hartford,municipality,us,,,,,,,City of Hartford,minted,no national table covers this government
rtr:us:xx:city-of-hawthorne,City of Hawthorne,municipality,us,,,,,,,City of Hawthorne,minted,no national table covers this government
rtr:us:xx:city-of-hesperia,City of Hesperia,municipality,us,,,,,,,City of Hesperia,minted,no national table covers this government
rtr:us:xx:city-of-hot-springs-arkansas-government,"City of Hot Springs, Arkansas Government",municipality,us,,,,,,,"City of Hot Springs, Arkansas Government",minted,no national table covers this government
rtr:us:xx:city-of-houston,City of Houston,municipality,us,,,,,,,City of Houston,minted,no national table covers this government
rtr:us:xx:city-of-joliet,City of Joliet,municipality,us,,,,,,,City of Joliet,minted,no national table covers this government
rtr:us:xx:city-of-lafayette,City of Lafayette,municipality,us,,,,,,,City of Lafayette,minted,no national table covers this government
rtr:us:xx:city-of-lake-forest,City of Lake Forest,municipality,us,,,,,,,"City of Lake Forest|City of Lake Forest""",minted,no national table covers this government
rtr:us:xx:city-of-lancaster,City of Lancaster,municipality,us,,,,,,,City of Lancaster,minted,no national table covers this government
rtr:us:xx:city-of-las-vegas,City of Las Vegas,municipality,us,,,,,,,City of Las Vegas,minted,no national table covers this government
rtr:us:xx:city-of-lawrence,City of Lawrence,municipality,us,,,,,,,City of Lawrence,minted,no national table covers this government
rtr:us:xx:city-of-leawood,City of Leawood,municipality,us,,,,,,,City of Leawood,minted,no national table covers this government
rtr:us:xx:city-of-lees-summit,City of Lees Summit,municipality,us,,,,,,,City of Lees Summit,minted,no national table covers this government
rtr:us:xx:city-of-lincoln,City of Lincoln,municipality,us,,,,,,,City of Lincoln,minted,no national table covers this government
rtr:us:xx:city-of-lincoln-park,City of Lincoln Park,municipality,us,,,,,,,City of Lincoln Park,minted,no national table covers this government
rtr:us:xx:city-of-lockport,City of Lockport,municipality,us,,,,,,,City of Lockport,minted,no national table covers this government
rtr:us:xx:city-of-london,City of London,municipality,us,,,,,,,City of London,minted,no national table covers this government
rtr:us:xx:city-of-longmont-for-the-fiscal,City of Longmont For The Fiscal,municipality,us,,,,,,,City of Longmont For The Fiscal,minted,no national table covers this government
