geoid,name,state,level
0200525,Annette Island School District,AK,unified
0200540,Nenana City School District,AK,unified
0200570,Nome School District,AK,unified
0200600,Fairbanks North Star Borough School District,AK,unified
0200610,North Slope Borough School District,AK,unified
0200625,Northwest Arctic Borough School District,AK,unified
0200630,Pelican City School District,AK,unified
0200660,Petersburg Borough School District,AK,unified
0200670,Pribilof School District,AK,unified
0200680,St. Marys City School District,AK,unified
0200690,Skagway School District,AK,unified
0200700,Southeast Island School District,AK,unified
0200710,Southwest Region School District,AK,unified
0200715,Tanana City School District,AK,unified
0200720,Unalaska City School District,AK,unified
0200730,Chatham School District,AK,unified
0200760,Kuspuk School District,AK,unified
0200770,Denali Borough School District,AK,unified
0200775,Yukon Flats School District,AK,unified
0200780,Valdez City School District,AK,unified
0200800,Chugach School District,AK,unified
0200810,Wrangell School District,AK,unified
0200840,Yakutat School District,AK,unified
0200862,Yukon-Koyukuk School District,AK,unified
0400001,Cave Creek Unified District,AZ,unified
0400003,Chino Valley Unified District,AZ,unified
0400004,Clarkdale-Jerome Elementary District,AZ,elementary
0400005,Salome Consolidated Elementary District,AZ,elementary
0400021,Colorado City Unified District,AZ,unified
0400022,Vernon Elementary District,AZ,elementary
0400023,Pinon Unified District,AZ,unified
0400026,Heber-Overgaard Unified District,AZ,unified
0400082,Colorado River Union High School District,AZ,secondary
0400212,Benson Unified School District,AZ,unified
0400295,Kingman Unified School District,AZ,unified
0400450,Agua Fria Union High School District,AZ,secondary
0400480,Aguila Elementary District,AZ,elementary
0400520,Ajo Unified District,AZ,unified
0400600,Alhambra Elementary District,AZ,elementary
0400630,Alpine Elementary District,AZ,elementary
0400680,Amphitheater Unified District,AZ,unified
0400720,Antelope Union High School District,AZ,secondary
0400750,Apache Elementary District,AZ,elementary
0400790,Apache Junction Unified District,AZ,unified
0400840,Arlington Elementary District,AZ,elementary
0400870,Ash Creek Elementary District,AZ,elementary
0400910,Ash Fork Joint Unified District,AZ,unified
0400960,Avondale Elementary District,AZ,elementary
0401000,Bagdad Unified School District,AZ,unified
0401050,Balsz Elementary District,AZ,elementary
0401080,Beaver Creek Elementary District,AZ,elementary
0401160,Bicentennial Union High School District,AZ,secondary
0401180,Bisbee Unified District,AZ,unified
0401230,Blue Elementary District,AZ,elementary
0401260,Bonita Elementary District,AZ,elementary
0401290,Bouse Elementary District,AZ,elementary
0401330,Bowie Unified District,AZ,unified
0401380,Buckeye Elementary District,AZ,elementary
0401410,Buckeye Union High School District,AZ,secondary
0401460,Sierra Vista Unified District,AZ,unified
0401500,Bullhead City School District,AZ,elementary
0401600,Camp Verde Unified District,AZ,unified
0401650,Canon Elementary District,AZ,elementary
0401680,Cartwright Elementary District,AZ,elementary
0401710,Casa Grande Elementary District,AZ,elementary
0401740,Casa Grande Union High School District,AZ,secondary
0401760,Catalina Foothills Unified District,AZ,unified
0401810,Cedar Unified District,AZ,unified
0401870,Chandler Unified District,AZ,unified
0401920,Chevelon Butte School District,AZ,elementary
0401940,Chinle Unified District,AZ,unified
0402130,Cochise Elementary District,AZ,elementary
0402190,Concho Elementary District,AZ,elementary
0402220,Congress Elementary District,AZ,elementary
0402250,Continental Elementary District,AZ,elementary
0402320,Coolidge Unified District,AZ,unified
0402370,Cottonwood-Oak Creek Elementary District,AZ,elementary
0402400,Crane Elementary District,AZ,elementary
0402430,Creighton Elementary District,AZ,elementary
0402460,Crown King Elementary District,AZ,elementary
0402490,Double Adobe Elementary District,AZ,elementary
0402530,Douglas Unified District,AZ,unified
0402600,Duncan Unified District,AZ,unified
0402690,Dysart Unified District,AZ,unified
0402710,Eagle Elementary District,AZ,elementary
0402760,Elfrida Elementary District,AZ,elementary
0402790,Eloy Elementary District,AZ,elementary
0402820,Empire Elementary District,AZ,elementary
0402860,Flagstaff Unified District,AZ,unified
0402920,Florence Unified School District,AZ,unified
0403010,Flowing Wells Unified District,AZ,unified
0403040,Fountain Hills Unified District,AZ,unified
0403060,Fowler Elementary District,AZ,elementary
0403080,Fredonia-Moccasin Unified District,AZ,unified
0403150,Fort Huachuca Accommodation District,AZ,unified
0403200,Fort Thomas Unified District,AZ,unified
0403240,Gadsden Elementary District,AZ,elementary
0403290,Ganado Unified District,AZ,unified
0403310,Gila Bend Unified District,AZ,unified
0403400,Gilbert Unified District,AZ,unified
0403420,Glendale Elementary District,AZ,elementary
0403450,Glendale Union High School District,AZ,secondary
0403500,Globe Unified District,AZ,unified
0403550,Grand Canyon Unified District,AZ,unified
0403660,Hackberry School District,AZ,elementary
0403730,Hayden-Winkelman Unified District,AZ,unified
0403780,Higley Unified District,AZ,unified
0403820,Holbrook Unified District,AZ,unified
0403870,Humboldt Unified District,AZ,unified
0403900,Hyder Elementary District,AZ,elementary
0403950,Indian Oasis-Baboquivari Unified District,AZ,unified
0403960,Isaac Elementary District,AZ,elementary
0403990,J. O. Combs Unified School District,AZ,unified
0404010,Joseph City Unified District,AZ,unified
0404060,Kayenta Unified District,AZ,unified
0404170,Kirkland Elementary District,AZ,elementary
0404200,Klondyke Elementary District,AZ,elementary
0404230,Kyrene Elementary District,AZ,elementary
0404280,Lake Havasu Unified District,AZ,unified
0404290,Laveen Elementary District,AZ,elementary
0404320,Liberty Elementary District,AZ,elementary
0404380,Litchfield Elementary District,AZ,elementary
0404410,Littlefield Unified District,AZ,unified
0404440,Littleton Elementary District,AZ,elementary
0404500,Madison Elementary District,AZ,elementary
0404530,Maine Consolidated School District,AZ,elementary
0404570,Mammoth-San Manuel Unified District,AZ,unified
0404630,Marana Unified District,AZ,unified
0404720,Maricopa Unified School District,AZ,unified
0404770,Altar Valley Elementary District,AZ,elementary
0404820,Mayer Unified District,AZ,unified
0404860,McNary Elementary District,AZ,elementary
0404920,McNeal Elementary District,AZ,elementary
0404970,Mesa Unified District,AZ,unified
0405030,Miami Unified District,AZ,unified
0405070,Mingus Union High School District,AZ,secondary
0405100,Mobile Elementary District,AZ,elementary
0405190,Mohave Valley Elementary District,AZ,elementary
0405220,Mohawk Valley Elementary District,AZ,elementary
0405320,Morenci Unified District,AZ,unified
0405340,Morristown Elementary District,AZ,elementary
0405400,Murphy Elementary District,AZ,elementary
0405430,Naco Elementary District,AZ,elementary
0405460,Nadaburg Unified School District,AZ,unified
0405530,Nogales Unified District,AZ,unified
0405640,Oracle Elementary District,AZ,elementary
0405670,Osborn Elementary District,AZ,elementary
0405730,Owens-Whitney Elementary District,AZ,elementary
0405760,Tonto Basin Elementary District,AZ,elementary
0405820,Page Unified District,AZ,unified
0405850,Palo Verde Elementary District,AZ,elementary
0405880,Palominas Elementary District,AZ,elementary
0405930,Paradise Valley Unified District,AZ,unified
0405980,Parker Unified School District,AZ,unified
0406000,Patagonia Elementary District,AZ,elementary
0406030,Patagonia Union High School District,AZ,secondary
0406070,Payson Unified District,AZ,unified
0406120,Peach Springs Unified District,AZ,unified
0406150,Pearce Elementary District,AZ,elementary
0406210,Pendergast Elementary District,AZ,elementary
0406250,Peoria Unified School District,AZ,unified
0406300,Phoenix Elementary District,AZ,elementary
0406330,Phoenix Union High School District,AZ,secondary
0406360,Picacho Elementary District,AZ,elementary
0406440,Pima Unified District,AZ,unified
0406510,Pine Strawberry Elementary District,AZ,elementary
0406580,Blue Ridge Unified District,AZ,unified
0406630,Pomerene Elementary District,AZ,elementary
0406730,Prescott Unified District,AZ,unified
0406740,Sanders Unified District,AZ,unified
0406780,Quartzsite Elementary District,AZ,elementary
0406810,Queen Creek Unified District,AZ,unified
0406850,Ray Unified District,AZ,unified
0406870,Red Mesa Unified District,AZ,unified
0406900,Red Rock Elementary District,AZ,elementary
0406930,Redington Elementary District,AZ,elementary
0406960,San Carlos Unified District,AZ,unified
0407020,Riverside Elementary District,AZ,elementary
0407080,Roosevelt Elementary District,AZ,elementary
0407130,Round Valley Unified District,AZ,unified
0407170,Saddle Mountain Unified School District,AZ,unified
0407200,Sacaton Elementary District,AZ,elementary
0407240,Safford Unified District,AZ,unified
0407300,Sahuarita Unified District,AZ,unified
0407380,San Fernando Elementary District,AZ,elementary
0407430,San Simon Unified District,AZ,unified
0407500,Santa Cruz Elementary District,AZ,elementary
0407520,Santa Cruz Valley Unified District,AZ,unified
0407530,Santa Cruz Valley Union High School District,AZ,secondary
0407570,Scottsdale Unified District,AZ,unified
0407630,Seligman Unified District,AZ,unified
0407680,Sentinel Elementary District,AZ,elementary
0407700,Show Low Unified District,AZ,unified
0407750,Deer Valley Unified District,AZ,unified
0407770,Skull Valley Elementary District,AZ,elementary
0407820,Snowflake Unified District,AZ,unified
0407860,Solomon Elementary District,AZ,elementary
0407890,Somerton Elementary District,AZ,elementary
0407920,Sonoita Elementary District,AZ,elementary
0408020,St. David Unified District,AZ,unified
0408080,St. Johns Unified District,AZ,unified
0408130,Stanfield Elementary District,AZ,elementary
