zcta,place_name,state,area_land_part
02655,Barnstable Town city,MA,16759946
02668,Barnstable Town city,MA,37080782
02672,Barnstable Town city,MA,1279040
02673,Barnstable Town city,MA,1442
02675,Barnstable Town city,MA,2239519
02703,Attleboro city,MA,69315047
02717,Fall River city,MA,11706919
02718,Taunton city,MA,26647485
02720,Fall River city,MA,34142904
02721,Fall River city,MA,10419556
02723,Fall River city,MA,4130257
02724,Fall River city,MA,4664630
02740,New Bedford city,MA,14885718
02743,New Bedford city,MA,2651
02744,New Bedford city,MA,3369419
02745,New Bedford city,MA,24473126
02746,New Bedford city,MA,7378880
02747,Fall River city,MA,8460998
02747,New Bedford city,MA,1687339
02748,New Bedford city,MA,3529
02760,North Attleborough Town city,MA,46512347
02763,North Attleborough Town city,MA,2323201
02764,Taunton city,MA,8238
02767,Taunton city,MA,8522241
02780,Taunton city,MA,85795283
02790,Fall River city,MA,12262680
02818,Warwick city,RI,12565364
02823,Cranston city,RI,476398
02831,Cranston city,RI,3707248
02840,Newport city,RI,18846907
02841,Newport city,RI,892306
02842,Newport city,RI,20514
02860,Central Falls city,RI,911
02860,East Providence city,RI,546584
02860,Pawtucket city,RI,13239700
02860,Providence city,RI,37046
02861,Attleboro city,MA,42976
02861,Pawtucket city,RI,9207555
02863,Central Falls city,RI,3091532
02863,Pawtucket city,RI,644
02886,Warwick city,RI,40912730
02888,Warwick city,RI,15273235
02889,Warwick city,RI,21900514
02895,Woonsocket city,RI,20062373
02903,Providence city,RI,4346119
02904,Providence city,RI,5210788
02905,Cranston city,RI,3467007
02905,East Providence city,RI,2898
02905,Providence city,RI,6228224
02906,Providence city,RI,8026940
02907,Cranston city,RI,188835
02907,Providence city,RI,5529057
02908,Providence city,RI,8744073
02909,Cranston city,RI,25102
02909,Providence city,RI,8072389
02910,Cranston city,RI,8640541
02910,Providence city,RI,251243
02911,Providence city,RI,139078
02912,Providence city,RI,512741
02914,East Providence city,RI,12709014
02915,East Providence city,RI,14275572
02916,East Providence city,RI,6871960
02918,Providence city,RI,402867
02919,Providence city,RI,170384
02920,Cranston city,RI,23174901
02921,Cranston city,RI,33733541
03054,Nashua city,NH,2148
03060,Nashua city,NH,16987363
03062,Nashua city,NH,31155226
03063,Nashua city,NH,21006768
03064,Nashua city,NH,10708589
03101,Manchester city,NH,1982074
03102,Manchester city,NH,20303371
03103,Manchester city,NH,23129939
03104,Manchester city,NH,21478324
03109,Manchester city,NH,18770164
03224,Concord city,NH,74197
03235,Franklin city,NH,71050024
