gov_id,unit_name,web_address
us:place:2513660,"Chicopee city, MA",chicopeema.gov
us:place:2540675,"Methuen city, MA",methuen.gov
us:place:2546330,"Northampton city, MA",northamptonma.gov
us:place:2553960,"Pittsfield city, MA",pittsfieldma.gov
us:place:2569170,"Taunton city, MA",taunton-ma.gov
us:place:2606020,"Bay City city, MI",baycitymi.gov
us:place:2617020,"Coldwater city, MI",coldwatermi.gov
us:place:2621020,"Dearborn Heights city, MI",dearbornheightsmi.gov
us:place:2623980,"East Grand Rapids city, MI",eastgrmi.gov
us:place:2640960,"Iron Mountain city, MI",ironmountainmi.gov
us:place:2643300,"Kingsford city, MI",kingsfordmi.gov
us:place:2650560,"Madison Heights city, MI",madisonheightsmi.gov
us:place:2650720,"Manistee city, MI",manisteemi.gov
us:place:2658980,"Northville city, MI",cityofnorthvillemi.gov
us:place:2701486,"Andover city, MN",andovermn.gov
us:place:2701720,"Anoka city, MN",anokamn.gov
us:place:2710846,"Champlin city, MN",champlinmn.gov
us:place:2710972,"Chaska city, MN",chaskamn.gov
us:place:2713456,"Cottage Grove city, MN",cottagegrovemn.gov
us:place:2715454,"Delano city, MN",delanomn.gov
us:place:2718674,"Elk River city, MN",elkrivermn.gov
us:place:2720420,"Falcon Heights city, MN",falconheightsmn.gov
us:place:2724308,"Golden Valley city, MN",goldenvalleymn.gov
us:place:2728790,"Hibbing city, MN",hibbingmn.gov
us:place:2734244,"Lake Elmo city, MN",lakeelmo.gov
us:place:2737322,"Lino Lakes city, MN",linolakes.gov
us:place:2737502,"Little Canada city, MN",littlecanada.gov
us:place:2739428,"Mahtomedi city, MN",mahtomedimn.gov
us:place:2740382,"Maplewood city, MN",maplewoodmn.gov
us:place:2743774,"Monticello city, MN",monticellomn.gov
us:place:2745430,"New Brighton city, MN",newbrightonmn.gov
us:place:2746042,"New Ulm city, MN",newulmmn.gov
us:place:2746798,"North Branch city, MN",northbranchmn.gov
us:place:2747104,"North Oaks city, MN",northoaksmn.gov
us:place:2749138,"Otsego city, MN",otsegomn.gov
us:place:2749300,"Owatonna city, MN",owatonna.gov
us:place:2754214,"Richfield city, MN",richfieldmn.gov
us:place:2756950,"St. Francis city, MN",stfrancismn.gov
us:place:2761492,"South St. Paul city, MN",southstpaulmn.gov
us:place:2767432,"Waconia city, MN",waconiamn.gov
us:place:2826860,"Gautier city, MS",gautier-ms.gov
us:place:2853520,"Ocean Springs city, MS",oceansprings-ms.gov
us:place:2919252,"De Soto city, MO",desotomo.com
us:place:2935648,"Jackson city, MO",cityofjacksonmo.gov
us:place:2945668,"Manchester city, MO",manchestermo.gov
us:place:2949196,"Monett city, MO",monettmo.gov
us:place:2951644,"Nevada city, MO",nevadamo.gov
us:place:2955244,"Osage Beach city, MO",osagebeach-mo.gov
us:place:2955910,"Pacific city, MO",pacificmo.gov
us:place:2959096,"Poplar Bluff city, MO",poplarbluff-mo.gov
us:place:2964550,"St. Joseph city, MO",stjosephmo.gov
us:place:2978154,"Webster Groves city, MO",webstergrovesmo.gov
us:place:3006550,"Billings city, MT",billingsmt.gov
us:place:3032800,"Great Falls city, MT",greatfallsmt.gov
us:place:3135000,"North Platte city, NE",northplattene.gov
us:place:3138295,"Papillion city, NE",papillion.gov
us:place:3305140,"Berlin city, NH",berlinnh.gov
us:place:3327380,"Franklin city, NH",franklinnh.gov
us:place:3340180,"Laconia city, NH",laconianh.gov
us:place:3407600,"Bridgeton city, NJ",cityofbridgetonnj.gov
us:place:3419390,"East Orange city, NJ",eastorange-nj.gov
us:place:3440440,"Lindenwold borough, NJ",lindenwoldnj.gov
us:place:3440770,"Little Silver borough, NJ",littlesilvernj.gov
us:place:3446680,"Millville city, NJ",millvillenj.gov
