gov_id,unit_name,domain,meeting_url,platform,tier,outcome,jurisdiction,segments,agenda_items,video_url,detail
us:county:48347,COUNTY OF NACOGDOCHES,www.co.nacogdoches.tx.us,https://www.nacogdochesco.gov/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:county:48053,COUNTY OF BURNET,www.burnetcountytexas.org,https://www.burnetcountytexas.org/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4848768,CITY OF MISSION,www.missiontexas.us,https://www.missiontexas.us/AgendaCenter,municode_meetings,tier3-agenda,dry-run-tier3-agenda,"Mission, TX",0,0,,
us:place:4867496,CITY OF SHERMAN,www.ci.sherman.tx.us,https://www.ci.sherman.tx.us/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,"City of Sherman, TX",0,0,,
us:place:4852356,CITY OF NORTH RICHLAND HILLS,www.nrhtx.com,,,,resolve-failed,,,,,"resolve raised: 404, message='Not Found', url='https://www.nrhtx.com/AgendaCenter'"
us:county:48329,COUNTY OF MIDLAND,www.co.midland.tx.us,https://www.co.midland.tx.us/AgendaCenter,swagit,tier1,dry-run-tier1,"Midland County, TX",1,4,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/midlandcountytx/84d3f5f4-6545-4fe3-b89b-d42fc6de3ea4.mp4/playlist.m3u8,
us:county:48365,COUNTY OF PANOLA,www.co.panola.tx.us,https://www.co.panola.tx.us/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4827984,CITY OF GAINESVILLE,www.gainesville.tx.us,https://www.gainesville.tx.us/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,"City of Gainesville, TX",0,0,,
us:place:4854708,CITY OF PALESTINE,www.cityofpalestinetx.com,https://www.cityofpalestinetx.com/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:county:48003,COUNTY OF ANDREWS,www.co.andrews.tx.us,https://www.co.andrews.tx.us/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4857980,CITY OF PLAINVIEW,www.ci.plainview.tx.us,,,,resolve-failed,,,,,resolve raised: Cannot connect to host www.ci.plainview.tx.us:443 ssl:default [Connection reset by peer]
us:place:4878544,CITY OF WHITE SETTLEMENT,www.wstx.us,https://www.wstx.us/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,"City of White Settlement, TX",0,0,,
us:place:4846500,CITY OF MANVEL,www.cityofmanvel.com,https://www.cityofmanvel.com/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4866428,CITY OF SEAGOVILLE,www.seagoville.us,https://www.seagoville.us/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,"City of Seagoville, TX",0,0,,
us:place:4833428,CITY OF HEWITT,www.cityofhewitt.com,https://www.cityofhewitt.com/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4861196,CITY OF RED OAK,www.redoaktx.org,https://www.redoaktx.org/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,City of Red Oak,0,0,,
us:place:4826544,CITY OF FOREST HILL,www.foresthilltx.org,https://www.foresthilltx.org/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4833212,CITY OF HENDERSON,www.hendersontx.us,https://www.hendersontx.us/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4805168,CITY OF AZLE,www.cityofazle.org,https://www.cityofazle.org/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,"Azle, TX",0,0,,
us:place:4839124,CITY OF KILGORE,www.cityofkilgore.com,,,,resolve-failed,,,,,"resolve raised: 404, message='Not Found', url='https://www.cityofkilgore.com/AgendaCenter'"
us:place:4837216,CITY OF JACKSONVILLE,www.jacksonville-texas.com,,,,resolve-failed,,,,,"resolve raised: 404, message='Not Found', url='https://www.jacksonville-texas.com/AgendaCenter'"
us:place:4862588,CITY OF ROBINSON,www.robinsontexas.org,https://www.robinsontexas.org/AgendaCenter,youtube,tier3-agenda,dry-run-tier3-agenda,"City of Robinson, TX",0,0,https://www.youtube.com/embed/grx0z5u9grA,
us:place:4810720,CITY OF BROWNFIELD,www.ci.brownfield.tx.us,https://www.ci.brownfield.tx.us/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4866704,CITY OF SELMA,www.ci.selma.tx.us,https://www.ci.selma.tx.us/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,"Selma, TX",0,0,,
us:place:4865408,TOWN OF SANGER,www.sangertexas.org,https://www.sangertexas.org/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4830416,CITY OF GRANBURY,www.granbury.org,https://www.granbury.org/AgendaCenter,granicus,tier3-agenda,dry-run-tier3-agenda,"Granbury, TX",0,0,,
us:place:4878388,CITY OF WHITEHOUSE,www.whitehousetx.org,https://www.whitehousetx.org/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
us:place:4849068,CITY OF MONT BELVIEU,www.montbelvieu.net,https://www.montbelvieu.net/AgendaCenter,unknown,tier3-agenda,dry-run-tier3-agenda,,0,0,,
