gov_id,unit_name,domain,meeting_url,platform,tier,outcome,jurisdiction,segments,agenda_items,video_url,detail
us:place:0425300,"Fountain Hills town, AZ",fountainhillsaz.gov,https://fountainhillsaz.portal.civicclerk.com/event/502/media,civicclerk,tier3-video-only,queued,"Fountain Hills town, AZ",0,0,https://www.youtube.com/embed/_NzkQ_vo7W0,tier3_auto_transcription_queue.txt
us:place:2964550,"St. Joseph city, MO",stjosephmo.gov,https://stjosephmo.portal.civicclerk.com/event/1310/media,civicclerk,tier3-video-only,queued,"St. Joseph city, MO",0,41,https://cpmedia.azureedge.net/stjosephmo/e1c0b3b4a9.mp4,tier3_auto_transcription_queue.txt
us:place:3957190,"Northwood city, OH",northwoodoh.gov,https://northwoodoh.portal.civicclerk.com/event/309/media,civicclerk,tier3-video-only,queued,"Northwood city, OH",0,47,https://cpmedia.azureedge.net/northwoodoh/996b8d7641.mp4,tier3_auto_transcription_queue.txt
us:place:5349485,"North Bend city, WA",northbendwa.gov,https://northbendwa.portal.civicclerk.com/event/168/media,civicclerk,tier3-video-only,queued,"North Bend city, WA",0,0,https://cpmedia.azureedge.net/northbendwa/71f32132-6b13-4a7c-bd12-7db91a996e25.mp4,tier3_auto_transcription_queue.txt
us:place:5556375,"New Berlin city, WI",newberlinwi.gov,https://newberlinwi.portal.civicclerk.com/event/2025/media,civicclerk,tier3-video-only,queued,"New Berlin city, WI",0,0,https://cpmedia.azureedge.net/newberlinwi/983050c281.mp4,tier3_auto_transcription_queue.txt
us:place:3624295,"Elmsford village, NY",elmsford.gov,https://elmsfordny.portal.civicclerk.com/event/1027/media,civicclerk,none,no-video-found,"Elmsford village, NY",0,0,,"found via homepage CivicClerk link (bare AgendaCenter had 2 candidate row(s), none with video)"
us:place:2756950,"St. Francis city, MN",stfrancismn.gov,https://saintfrancismn.portal.civicclerk.com/event/1658/media,civicclerk,none,no-video-found,"St. Francis city, MN",0,0,,"found via homepage CivicClerk link (bare AgendaCenter had 0 candidate row(s), none with video)"
us:place:0617498,"Cudahy city, CA",cityofcudahyca.gov,https://townhallstreams.com/stream.php?location_id=115&id=76435,townhallstreams,none,no-video-found,"Cudahy city, CA",0,0,,picked 1 of 18 real video rows
us:place:3564930,"Roswell city, NM",roswell-nm.gov,https://public.destinyhosted.com/76793/agenda/agenda.cfm?seq=390,destinyhosted,none,no-video-found,"Roswell city, NM",0,0,,picked 1 of 63 real video rows
