# Long tier-3 meetings (>90 min) swapped out of the queue for a shorter meeting from the same government; re-queue later for depth.
# url<TAB>source_url<TAB>gov_id<TAB>jurisdiction<TAB>duration<TAB>title -- gov_id blank when the identity ladder declined; probe rows stay in tier3_auto_transcription_queue_probe.csv.
https://deltona.granicus.com/MediaPlayer.php?view_id=1&clip_id=1712		us:place:1217200	City of Deltona, Florida	1:55:18	City Commission Workshop on 2026-08-31 5:30 PM - Joint Meeting with P&Z Board
https://dunedin.granicus.com/MediaPlayer.php?view_id=2&clip_id=3626		us:place:1218575	City of Dunedin, Florida	3:59:57	CITY COMMISSION REGULAR MEETING
https://city-lighthousepoint.granicus.com/MediaPlayer.php?view_id=1&clip_id=849		us:place:1240450	Lighthouse Point, FL	2:05:44	Planning & Zoning Board
https://margatefl.granicus.com/MediaPlayer.php?view_id=1&clip_id=1098		us:place:1243125	Margate, FL	4:28:24	9/2/26 Regular City Commission Meeting
https://miramar.granicus.com/MediaPlayer.php?view_id=1&clip_id=1088		us:place:1245975	Miramar, FL	3:18:36	CITY COMMISSION REGULAR MEETING on 2026-09-02 7:00 PM - REVISED - Sep 2nd, 2026
https://oaklandparkfl.granicus.com/MediaPlayer.php?view_id=2&clip_id=4560		us:place:1250575	City of Oakland Park, FL	3:49:24	Special Magistrate Hearing - Aug 20th, 2026
https://sunrisefl.granicus.com/MediaPlayer.php?view_id=2&clip_id=1237		us:place:1269700	City of Sunrise, FL	5:15:59	City Commission Meeting
https://martin.granicus.com/MediaPlayer.php?view_id=2&clip_id=5771		rtr:us:fl:martin-county-florida	Martin County, Florida	3:36:34	Board of County Commissioners on 2026-08-25 9:00 AM
https://gaston.granicus.com/MediaPlayer.php?view_id=1&clip_id=586		us:county:37071	Gaston County, NC	1:32:14	2026-09-08 6:00 PM - Work Session (Non-Voting) - Sep 8th, 2026
https://onslow.granicus.com/MediaPlayer.php?view_id=3&clip_id=1134		us:county:37133	Onslow County, NC	2:02:07	Onslow County Board of Commissioners Regular Meeting
https://westchestercountyny.granicus.com/MediaPlayer.php?view_id=1&clip_id=8462		us:county:36119	Westchester County, NY	1:39:27	Social Services, Disabilities & Human Rights on 2026-08-31 10:00 AM - Joint w /B&A and I&H
https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=869		us:place:4964340	Riverton, UT	3:36:33	City Council
https://chesterfieldva.granicus.com/MediaPlayer.php?view_id=2&clip_id=1533		rtr:us:va:chesterfield-county-virginia	Chesterfield County, Virginia	5:51:31	Board of Supervisors Evening Session - December 11, 2019 - Dec 11th, 2019
https://harrisonburg-va.granicus.com/MediaPlayer.php?view_id=2&clip_id=1369		rtr:us:va:harrisonburg-city	The City of Harrisonburg, VA	2:39:40	City Council on 2025-12-09 7:00 PM
https://edmondswa.granicus.com/MediaPlayer.php?view_id=1&clip_id=255		us:place:5320750	City of Edmonds, WA	3:46:59	City Council - Regular Meeting
https://cityofracine.granicus.com/MediaPlayer.php?view_id=1&clip_id=793		us:place:5566000	City of Racine	1:55:50	City of Racine | Votecast Web Session #1
https://waukesha.granicus.com/MediaPlayer.php?view_id=1&clip_id=6861		us:place:5584250	City of Waukesha, WI	2:23:28	Finance Committee on 2026-09-08 6:00 PM
https://rowletttx.new.swagit.com/videos/385912		us:place:4863572	Rowlett, TX	2:57:24	May 05, 2026 City Council Meetings
