file,url,host,platform,kind,detail,gov_id,source_url_override,strength,match,source,evidence_gov_id_unresolvable,evidence_conflict
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=IeHKW7bHlow&t=529s,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.cityofwalhalla.com/government/city-council/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/x60ykiYvPk8,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://www.cityofbaldwin.org/council-meetings,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/KAz8ccJSW7o,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://www.lvtexas.us/agendas-and-minutes,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/bO4TBORmRlM,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://cityofmyrtlecreek.com/government/city_council/agendas_and_minutes.php,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/RayYiKoN_b8,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://jeffersonohio.gov/committee-meetings/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/ka5cHEEF-3k,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://eastdundee.net/government/meeting_agendas___minutes.php,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=jm4AftbOdxU,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.cityofeufaulaok.com/meeting-agendas/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/C2S_e4p_xbk,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://townshipofperry.ca/agendas-minutes/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/-dtav9g0l4I,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://eddystoneborough.org/meeting-videos/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/e6-O1fv5wqQ,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://chevychasevillagemd.gov,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/CwJuTGwsDXI,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://lakeisabellami.org/your_government/meeting_minutes/index.php,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/LEnTUFG8fZo,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://baltic.govoffice.com/calendar,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/live/-9vm1M_twqs,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.bloomfieldct.gov/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/live/g4PAoFyp-nE,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.ellington-ct.gov/government/budget-process/schedule-of-budget-related-meetings,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/dEoH6q9y90U,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://www.madisonct.org/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=4s2K5eFRgyc,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.boxborough-ma.gov/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=Vwc-DvBnIfc,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://concordma.gov/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/VvCsG7hcfaY,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://www.townofmaynard-ma.gov/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/tfbJXO5IHUI,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,http://www.town.medfield.net/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/O062YJCkeoY?si=HZMBKM2o9I5VsnfB,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://southeast-ny.gov,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=BD8AP4EtUoM,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://pittsfield-mi.gov,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=keVEP85fA4w,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://wheatfield-ny.gov,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=HCXq0G0R-nw,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.townshendvt.gov/boards-meetings/selectboard/town-meeting,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/3szTLclX0t4,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://guilfordvt.gov/documents-and-maps/meeting-minutes/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/embed/SUTgjBgTU_A?si=KiI7spq2jNgDWZbC,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.lyndenmn.gov/meeting-video/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=NKPwfgOK77w,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://5-rivers.ca/index.asp?SEC=A9C02084-2D42-4724-A651-802C87BFCF42,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/live/Je4pi72iBBM?feature=share,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/em6xC15jPms,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://vilsv.ca/village-office/council/council-meeting-minutes,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=G8myJ6ZmN70,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=ovoSOginpBs,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=RTcl3-w3XYM,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://randolphcountync.gov/m/newsflash/home/detail/2609,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=3eGhsGQ8U0E,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://kankakeecountyil.gov,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/gGFvlfXMkzk,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://hampdenma.gov,,,,,report=us:cousub:2501328075 (wo183_report.csv) vs jc=us:county:25013 (jurisdiction_coverage.csv)
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=hvt6RilOxOQ,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://lincolncountync.gov,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=PLHelQFD49yC0pEwIoNeti336MKWKm46Wk,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://fayettecountyga.gov/government/boards_commissions/board_of_elections/index.php,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=opShAXxbREg,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.botetourtva.gov/765/Live-Stream,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=sBs6yVwh7v0,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.bristoltwppa.gov,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=3jBmAbkdVUc,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://shenandoahcountyva.gov/AgendaCenter,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/live/hBBbD6r3_Po?si=-Fhvwu9KryncRBbw,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://russellvillear.gov/AgendaCenter,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/N2Tt8Tle1sE,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://daconoco.gov/AgendaCenter,,,,,
tier3_auto_transcription_queue.txt,https://youtube.com/live/uE7yLYVsXKA,youtube.com,youtube,no-owner,youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://panamacity.gov/agendacenter,,,,,
