queue_url,tenant,platform,duration_seconds,duration_hms,duration_source,status,substitute_url,substitute_title,substitute_date,substitute_duration_seconds,substitute_duration_hms,candidates_checked,notes
https://losaltoshillsca.portal.civicclerk.com/event/4228/media,losaltoshillsca.portal.civicclerk.com,civicclerk,7156.0,1:59:16,civicclerk_api,substitute_found,https://losaltoshillsca.portal.civicclerk.com/event/4622/media,Housing Element Implementation Committee - Organizational Meeting,2026-08-25,4616.2,1:16:56,1,duration source: ffprobe; found in widened 50-90 min window
https://walworthcowi.portal.civicclerk.com/event/2520/media,walworthcowi.portal.civicclerk.com,civicclerk,4995.5,1:23:16,ffprobe,not_long,,,,,,,
https://losaltoshillsca.portal.civicclerk.com/event/4437/media,losaltoshillsca.portal.civicclerk.com,civicclerk,8157.0,2:15:57,civicclerk_api,substitute_found,https://losaltoshillsca.portal.civicclerk.com/event/4622/media,Housing Element Implementation Committee - Organizational Meeting,2026-08-25,4616.2,1:16:56,1,duration source: ffprobe; found in widened 50-90 min window
https://walworthcowi.portal.civicclerk.com/event/2388/media,walworthcowi.portal.civicclerk.com,civicclerk,6814.1,1:53:34,ffprobe,substitute_found,https://walworthcowi.portal.civicclerk.com/event/2651/media,"July 20, 2026 Land Conservation Committee (LCC)",2026-07-20,986.3,16:26,1,duration source: ffprobe
https://walworthcowi.portal.civicclerk.com/event/2483/media,walworthcowi.portal.civicclerk.com,civicclerk,5313.5,1:28:34,ffprobe,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2521/media,walworthcowi.portal.civicclerk.com,civicclerk,4368.0,1:12:48,ffprobe,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2621/media,walworthcowi.portal.civicclerk.com,civicclerk,3427.9,57:08,ffprobe,not_long,,,,,,,
https://losaltoshillsca.portal.civicclerk.com/event/4229/media,losaltoshillsca.portal.civicclerk.com,civicclerk,8589.0,2:23:09,civicclerk_api,substitute_found,https://losaltoshillsca.portal.civicclerk.com/event/4622/media,Housing Element Implementation Committee - Organizational Meeting,2026-08-25,4616.2,1:16:56,1,duration source: ffprobe; found in widened 50-90 min window
https://losaltoshillsca.portal.civicclerk.com/event/4438/media,losaltoshillsca.portal.civicclerk.com,civicclerk,7648.0,2:07:28,civicclerk_api,substitute_found,https://losaltoshillsca.portal.civicclerk.com/event/4622/media,Housing Element Implementation Committee - Organizational Meeting,2026-08-25,4616.2,1:16:56,1,duration source: ffprobe; found in widened 50-90 min window
https://sanfordnc.portal.civicclerk.com/event/2040/media,sanfordnc.portal.civicclerk.com,civicclerk,3170.0,52:50,ffprobe,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2522/media,walworthcowi.portal.civicclerk.com,civicclerk,5415.0,1:30:15,ffprobe,substitute_found,https://walworthcowi.portal.civicclerk.com/event/2651/media,"July 20, 2026 Land Conservation Committee (LCC)",2026-07-20,986.3,16:26,1,duration source: ffprobe
https://sanfordnc.portal.civicclerk.com/event/2041/media,sanfordnc.portal.civicclerk.com,civicclerk,2857.4,47:37,ffprobe,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2484/media,walworthcowi.portal.civicclerk.com,civicclerk,10470.9,2:54:31,ffprobe,substitute_found,https://walworthcowi.portal.civicclerk.com/event/2651/media,"July 20, 2026 Land Conservation Committee (LCC)",2026-07-20,986.3,16:26,1,duration source: ffprobe
https://walworthcowi.portal.civicclerk.com/event/2391/media,walworthcowi.portal.civicclerk.com,civicclerk,4476.3,1:14:36,ffprobe,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2626/media,walworthcowi.portal.civicclerk.com,civicclerk,1546.0,25:46,ffprobe,not_long,,,,,,,
https://losaltoshillsca.portal.civicclerk.com/event/4231/media,losaltoshillsca.portal.civicclerk.com,civicclerk,7348.0,2:02:28,civicclerk_api,substitute_found,https://losaltoshillsca.portal.civicclerk.com/event/4622/media,Housing Element Implementation Committee - Organizational Meeting,2026-08-25,4616.2,1:16:56,1,duration source: ffprobe; found in widened 50-90 min window
https://losaltoshillsca.portal.civicclerk.com/event/4439/media,losaltoshillsca.portal.civicclerk.com,civicclerk,18583.0,5:09:43,civicclerk_api,substitute_found,https://losaltoshillsca.portal.civicclerk.com/event/4622/media,Housing Element Implementation Committee - Organizational Meeting,2026-08-25,4616.2,1:16:56,1,duration source: ffprobe; found in widened 50-90 min window
https://cosumnescommunityservices.portal.civicclerk.com/event/560/media,cosumnescommunityservices.portal.civicclerk.com,civicclerk,6679.9,1:51:20,ffprobe,substitute_found,https://cosumnescommunityservices.portal.civicclerk.com/event/582/media,Regular Board Meeting,2026-06-03,4543.8,1:15:44,7,duration source: ffprobe; found in widened 50-90 min window
https://walworthcowi.portal.civicclerk.com/event/2392/media,walworthcowi.portal.civicclerk.com,civicclerk,2012.5,33:33,ffprobe,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2523/media,walworthcowi.portal.civicclerk.com,civicclerk,1032.4,17:12,ffprobe,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2485/media,walworthcowi.portal.civicclerk.com,civicclerk,4563.7,1:16:04,ffprobe,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2627/media,walworthcowi.portal.civicclerk.com,civicclerk,2536.0,42:16,civicclerk_api,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2394/media,walworthcowi.portal.civicclerk.com,civicclerk,1669.5,27:49,ffprobe,not_long,,,,,,,
https://losaltoshillsca.portal.civicclerk.com/event/4441/media,losaltoshillsca.portal.civicclerk.com,civicclerk,3839.0,1:03:59,civicclerk_api,not_long,,,,,,,
https://losaltoshillsca.portal.civicclerk.com/event/4232/media,losaltoshillsca.portal.civicclerk.com,civicclerk,8534.6,2:22:15,ffprobe,substitute_found,https://losaltoshillsca.portal.civicclerk.com/event/4622/media,Housing Element Implementation Committee - Organizational Meeting,2026-08-25,4616.2,1:16:56,1,duration source: ffprobe; found in widened 50-90 min window
https://sanfordnc.portal.civicclerk.com/event/2048/media,sanfordnc.portal.civicclerk.com,civicclerk,5703.0,1:35:03,civicclerk_api,no_short_meeting_found,,,,,,,no 50-90 min meeting among 0 past events (0 duration-checked)
https://walworthcowi.portal.civicclerk.com/event/2486/media,walworthcowi.portal.civicclerk.com,civicclerk,3922.0,1:05:22,civicclerk_api,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2524/media,walworthcowi.portal.civicclerk.com,civicclerk,4883.8,1:21:24,ffprobe,not_long,,,,,,,
https://sanfordnc.portal.civicclerk.com/event/2049/media,sanfordnc.portal.civicclerk.com,civicclerk,2016.0,33:36,civicclerk_api,not_long,,,,,,,
https://losaltoshillsca.portal.civicclerk.com/event/4455/media,losaltoshillsca.portal.civicclerk.com,civicclerk,196.5,3:16,ffprobe,not_long,,,,,,,
https://losaltoshillsca.portal.civicclerk.com/event/4242/media,losaltoshillsca.portal.civicclerk.com,civicclerk,6570.0,1:49:30,civicclerk_api,substitute_found,https://losaltoshillsca.portal.civicclerk.com/event/4622/media,Housing Element Implementation Committee - Organizational Meeting,2026-08-25,4616.2,1:16:56,1,duration source: ffprobe; found in widened 50-90 min window
https://walworthcowi.portal.civicclerk.com/event/2632/media,walworthcowi.portal.civicclerk.com,civicclerk,9108.7,2:31:49,ffprobe,substitute_found,https://walworthcowi.portal.civicclerk.com/event/2651/media,"July 20, 2026 Land Conservation Committee (LCC)",2026-07-20,986.3,16:26,1,duration source: ffprobe
https://sanfordnc.portal.civicclerk.com/event/2050/media,sanfordnc.portal.civicclerk.com,civicclerk,3166.0,52:46,civicclerk_api,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2487/media,walworthcowi.portal.civicclerk.com,civicclerk,3827.0,1:03:47,civicclerk_api,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2397/media,walworthcowi.portal.civicclerk.com,civicclerk,2479.6,41:20,ffprobe,not_long,,,,,,,
https://walworthcowi.portal.civicclerk.com/event/2525/media,walworthcowi.portal.civicclerk.com,civicclerk,2987.8,49:48,ffprobe,not_long,,,,,,,
