tenant,meeting_id,url,status,jurisdiction,segments,agenda_items,video_url,detail
RiversideCountyCA,3503,https://riversidecountyca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3503,queued-tier3,"Riverside County, California",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/riversidecountyca/7189_720.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
RoanokeCountyVA,1289,https://roanokecountyva.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1289,empty,,,,,no segments/agenda/video in any candidate
RochestercityMN,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
RockfordCityIL,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
SFWMD,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
SanCarlosCA,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
SanJoaquinCountyCA,2656,https://sanjoaquincountyca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2656,queued-tier3,"San Joaquin County, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/sanjoaquincountyca/3098_720.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
SantaClaraVTA,4755,https://santaclaravta.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4755,empty,,,,,no segments/agenda/video in any candidate
SantaClaritaCityCA,3170,https://santaclaritacityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3170,ingested-tier3-agenda,"City of Santa Clarita, CA",0,3,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/santaclaritacityca/1709_480.mp4/playlist.m3u8,/m/santa-clarita-ca-2026-09-01-planning-commission-regular-meeting
SantaCruzCountyCA,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
SantaPaulaCA,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
SomervilleCityMA,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
SouthamptonNY,9670,https://southamptonny.iqm2.com/Citizens/Detail_Meeting.aspx?ID=9670,empty,,,,,no segments/agenda/video in any candidate
SoutholdTown,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
SunsetValleyTX,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
SutterCountyCA,3150,https://suttercountyca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3150,empty,,,,,no segments/agenda/video in any candidate
TeaneckTownNJ,2315,https://teanecktownnj.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2315,queued-tier3,"Teaneck Township, New Jersey",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/teanecktownnj/1840_480.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
TehamaCountyCA,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
TravisCountyTX,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
VictoriaCountyTX,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
WacoCityTX,6047,https://wacocitytx.iqm2.com/Citizens/Detail_Meeting.aspx?ID=6047,empty,,,,,no segments/agenda/video in any candidate
WashingtonCountyVA,3494,https://washingtoncountyva.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3494,queued-tier3,"Washington County, Virginia",0,0,https://MediaHTTP.IQM2.com/WashingtonCountyVA/23162_720.mp4,tier3_auto_transcription_queue.txt
WauwatosaCityWI,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
WestchesterCountyNY,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
sccgov,18417,https://sccgov.iqm2.com/Citizens/Detail_Meeting.aspx?ID=18417,empty,,,,,no segments/agenda/video in any candidate
