file,url,host,platform,kind,detail,gov_id,source_url_override,strength,match,source,evidence_gov_id_unresolvable,evidence_conflict
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1097961.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1076967.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1105375.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1083997.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1091163.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1060411.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1091327.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1091487.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1073347.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1053129.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1072971.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1093599.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1029753.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1042009.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1089477.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1046197.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1098205.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1091035.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1060513.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1086583.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1044959.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1008613.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1099519.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1042983.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1076159.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1085089.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1088779.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1038749.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1066571.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1088755.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
