tenant,portal_domain,meeting_id,url,status,jurisdiction,segments,agenda_items,video_url,detail
mapleridge,pub-mapleridge.escribemeetings.com,226407fe-6218-4218-aa5d-f0374646e54b,https://pub-mapleridge.escribemeetings.com/Meeting.aspx?Id=226407fe-6218-4218-aa5d-f0374646e54b,ingested-tier3-agenda,"City of Maple Ridge, BC",0,12,https://cdn1.isilive.ca/vod/_definst_/mp4:mapleridge/Encoder%20827_Committee%20of%20the%20Whole_2026-09-01-02-00.mp4/playlist.m3u8,/m/maple-ridge-bc-2026-09-01-committee-of-the-whole
mchenry,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
mississauga,pub-mississauga.escribemeetings.com,cd244149-f4db-4529-82ee-4af14284600c,https://pub-mississauga.escribemeetings.com/Meeting.aspx?Id=cd244149-f4db-4529-82ee-4af14284600c,ingested-tier1,"Mississauga, ON",1431,19,https://cdn1.isilive.ca/vod/_definst_/mp4:mississauga/Replacement%20Encoder_Committee%20of%20Adjustment_2026-09-03-01-00.mp4/playlist.m3u8,/m/mississauga-on-2026-09-03-committee-of-adjustment
mississippimills,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
missoula,pub-missoula.escribemeetings.com,e5f13450-c4c7-4d7c-9631-b0883d6faa59,https://pub-missoula.escribemeetings.com/Meeting.aspx?Id=e5f13450-c4c7-4d7c-9631-b0883d6faa59,ingested-tier3-agenda,"Missoula, MT",0,11,https://cdn1.isilive.ca/vod/_definst_/mp4:missoula/Virtual%20Encoder%201_HPC_2026-09-02-07-53.mp4/playlist.m3u8,/m/missoula-mt-2026-09-02-historic-preservation-commission
newmarket,pub-newmarket.escribemeetings.com,40682ac6-4f50-4f5f-9325-0ffe28ee58bb,https://pub-newmarket.escribemeetings.com/Meeting.aspx?Id=40682ac6-4f50-4f5f-9325-0ffe28ee58bb,ingested-tier1,"Town of Newmarket, ON",470,6,https://cdn1.isilive.ca/vod/_definst_/mp4:newmarket/Encoder%20829_CME_2026-06-22-01-49.mp4/playlist.m3u8,/m/newmarket-on-2026-06-22-council-electronic
newwestminster,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
ngrenville,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
northcowichan,pub-northcowichan.escribemeetings.com,88b30cef-9e4f-4200-bc1c-d737755084d4,https://pub-northcowichan.escribemeetings.com/Meeting.aspx?Id=88b30cef-9e4f-4200-bc1c-d737755084d4,ingested-tier1,,2987,34,https://cdn1.isilive.ca/vod/_definst_/mp4:northcowichan/New%20Encoder_Council%20-%20Regular_2026-09-02-05-59.mp4/playlist.m3u8,/m/2026-09-02-council-regular
oakville,pub-oakville.escribemeetings.com,dfa89b6e-2b1b-4ba6-934a-2cdb57592deb,https://pub-oakville.escribemeetings.com/Meeting.aspx?Id=dfa89b6e-2b1b-4ba6-934a-2cdb57592deb,ingested-tier3-agenda,"Town of Oakville, ON",0,11,https://cdn1.isilive.ca/vod/_definst_/mp4:oakville/Council%20Encoder_COA_2026-09-02-06-53.mp4/playlist.m3u8,/m/oakville-on-2026-09-02-committee-of-adjustment
oshawa,pub-oshawa.escribemeetings.com,f7f2797c-2464-4aa8-af5c-ef168fd01e80,https://pub-oshawa.escribemeetings.com/Meeting.aspx?Id=f7f2797c-2464-4aa8-af5c-ef168fd01e80,ingested-tier1,"City of Oshawa, ON",246,8,https://cdn1.isilive.ca/vod/_definst_/mp4:oshawa/Council%20-%20Compact%201212_City%20Council%20Special%20Meeting_2026-06-29-08-55.mp4/playlist.m3u8,/m/oshawa-on-2026-06-29-city-council-special-meeting
