platform,tenant_host,match_value,rows,reason,landing_url,stored_names,example_slug
unknown,www.youtube.com,,150,multiple_governments,,"rtr:us:ak:juneau (Juneau, AK)|rtr:us:il:riverside-village (Riverside (village), IL)|rtr:us:in:lafayette-city (Lafayette (city), IN)|rtr:us:mn:crookston-city (Crookston (city), MN)|rtr:us:mn:st-james-city (St. James (city), MN)|rtr:us:nj:rockaway-borough (Rockaway (borough), NJ)|rtr:us:ny:amsterdam-city (Amsterdam (city), NY)|rtr:us:ny:babylon-town (Babylon (town), NY)|rtr:us:ny:red-hook-village (Red Hook (village), NY)|rtr:us:oh:twinsburg-city (Twinsburg (city), OH)|rtr:us:pa:newtown-borough (Newtown (borough), PA)|rtr:us:sd:vermillion-city (Vermillion (city), SD)|rtr:us:wi:columbus-city (Columbus (city), WI)|rtr:us:wi:cottage-grove-village (Cottage Grove (village), WI)|rtr:us:wi:sheboygan-city (Sheboygan (city), WI)|us:county:13297 (Walton County, GA)|us:county:37141 (Pender County, NC)|us:county:41071 (Yamhill County, OR)|us:county:44001 (Bristol County, RI)|us:county:46011 (Brookings County, SD)|us:cousub:2300511125 (Casco Town, ME)|us:place:0613945 (Clearlake, CA)|us:place:0614190 (Cloverdale, CA)|us:place:0639304 (La Habra Heights, CA)|us:place:0644112 (Los Gatos, CA)|us:place:0647486 (Millbrae, CA)|us:place:0649187 (Moraga, CA)|us:place:0650734 (Needles, CA)|us:place:0660900 (Rio Dell, CA)|us:place:0665084 (San Clemente, CA)|us:place:0685600 (Willits, CA)|us:place:0828305 (Fraser, CO)|us:place:0857025 (Palmer Lake, CO)|us:place:1202681 (Aventura, FL)|us:place:1219650 (Eatonville, FL)|us:place:1221350 (Eustis, FL)|us:place:1230200 (Highland Beach, FL)|us:place:1241577 (Loxahatchee Groves, FL)|us:place:1242400 (Madeira Beach, FL)|us:place:1253800 (Pahokee, FL)|us:place:1258575 (Port Orange, FL)|us:place:1304644 (Avondale Estates, GA)|us:place:1347196 (Loganville, GA)|us:place:1373784 (Stonecrest, GA)|us:place:1664090 (Pocatello, ID)|us:place:1732746 (Hanover Park, IL)|us:place:1735879 (Homewood, IL)|us:place:1770122 (Skokie, IL)|us:place:1802908 (Avon, IN)|us:place:1807750 (Bristol, IN)|us:place:1869318 (Shelbyville, IN)|us:place:1885184 (Woodburn, IN)|us:place:1886372 (Zionsville, IN)|us:place:1938100 (Independence, IA)|us:place:1949215 (Maquoketa, IA)|us:place:2005337 (Bel Aire, KS)|us:place:2031100 (Hays, KS)|us:place:2057625 (Pratt, KS)|us:place:2079000 (Wichita, KS)|us:place:2404000 (Baltimore, MD)|us:place:2407850 (Bladensburg, MD)|us:place:2415925 (Chesapeake Beach, MD)|us:place:2428725 (Forest Heights, MD)|us:place:2430900 (Frostburg, MD)|us:place:2445900 (Laurel, MD)|us:place:2476550 (Sykesville, MD)|us:place:2476650 (Takoma Park, MD)|us:place:2479875 (Upper Marlboro, MD)|us:place:2622740 (Douglas, MI)|us:place:2647800 (Lincoln Park, MI)|us:place:2670520 (Saginaw, MI)|us:place:2679000 (Taylor, MI)|us:place:2707300 (Brainerd, MN)|us:place:2717612 (East Grand Forks, MN)|us:place:2721770 (Forest Lake, MN)|us:place:2745808 (New Prague, MN)|us:place:2751388 (Pipestone, MN)|us:place:2854040 (Olive Branch, MS)|us:place:2908236 (Brentwood, MO)|us:place:2977092 (Warrensburg, MO)|us:place:2979882 (Willard, MO)|us:place:3108605 (Chadron, NE)|us:place:3430570 (Hawthorne, NJ)|us:place:3431500 (Highlands, NJ)|us:place:3453850 (Oakland, NJ)|us:place:3460900 (Princeton, NJ)|us:place:3464590 (Roseland, NJ)|us:place:3472420 (Tenafly, NJ)|us:place:3473020 (Tinton Falls, NJ)|us:place:3601000 (Albany, NY)|us:place:3656660 (Patchogue, NY)|us:place:3664452 (Sagaponack, NY)|us:place:3665508 (Schenectady, NY)|us:place:3675484 (Troy, NY)|us:place:3706500 (Blowing Rock, NC)|us:place:3710500 (Carolina Beach, NC)|us:place:3720120 (Edenton, NC)|us:place:3730720 (Hendersonville, NC)|us:place:3731620 (Hillsborough, NC)|us:place:3743260 (Mills River, NC)|us:place:3763130 (Southern Shores, NC)|us:place:3766360 (Swansboro, NC)|us:place:3766500 (Sylva, NC)|us:place:3918070 (Commercial Point, OH)|us:place:3926446 (Fairview Park, OH)|us:place:3929148 (Galena, OH)|us:place:3945094 (Louisville, OH)|us:place:3956154 (North Baltimore, OH)|us:place:3957260 (Norton, OH)|us:place:3975602 (Sunbury, OH)|us:place:4037800 (Jenks, OK)|us:place:4061000 (Pryor Creek, OK)|us:place:4072100 (Tahlequah, OK)|us:place:4140350 (La Grande, OR)|us:place:4141650 (Lebanon, OR)|us:place:4159850 (Prineville, OR)|us:place:4165500 (Scappoose, OR)|us:place:4165950 (Seaside, OR)|us:place:4228960 (Gettysburg, PA)|us:place:4250528 (Monroeville, PA)|us:place:4254656 (Norristown, PA)|us:place:4504690 (Beaufort, SC)|us:place:4514950 (Clemson, SC)|us:place:4527070 (Fountain Inn, SC)|us:place:4733280 (Hendersonville, TN)|us:place:4739560 (Kingsport, TN)|us:place:4751080 (Mount Pleasant, TN)|us:place:4810132 (Breckenridge, TX)|us:place:4821424 (Dripping Springs, TX)|us:place:4825168 (Fair Oaks Ranch, TX)|us:place:4849392 (Morgan's Point Resort, TX)|us:place:4849860 (Mount Vernon, TX)|us:place:4861904 (Richwood, TX)|us:place:4865408 (Sanger, TX)|us:place:4867400 (Shenandoah, TX)|us:place:4873316 (Tomball, TX)|us:place:4879492 (Willow Park, TX)|us:place:4927490 (Fruit Heights, UT)|us:place:4958510 (Parowan, UT)|us:place:4962360 (Providence, UT)|us:place:4962470 (Provo, UT)|us:place:5120160 (Crewe, VA)|us:place:5165392 (Radford, VA)|us:place:5307380 (Bothell, WA)|us:place:5308570 (Buckley, WA)|us:place:5314870 (Cosmopolis, WA)|us:place:5337270 (Lake Forest Park, WA)|us:place:5346020 (Milton, WA)|us:place:5372905 (Tumwater, WA)|us:place:5538675 (Juneau, WI)",
unknown,youtu.be,,59,multiple_governments,,"rtr:us:il:monee-village (Monee (village), IL)|rtr:us:in:charlestown-city (Charlestown (city), IN)|rtr:us:ks:iola-city (Iola (city), KS)|rtr:us:ks:osawatomie-city (Osawatomie (city), KS)|rtr:us:nj:boonton-town (Boonton (town), NJ)|rtr:us:wi:columbus-city (Columbus (city), WI)|rtr:us:wi:cottage-grove-town (Cottage Grove (town), WI)|rtr:us:wi:cross-plains-village (Cross Plains (village), WI)|rtr:us:wi:fredonia-village (Fredonia (village), WI)|us:county:55113 (Sawyer County, WI)|us:place:0531090 (Heber Springs, AR)|us:place:0603302 (Avenal, CA)|us:place:0612524 (Ceres, CA)|us:place:0636546 (Inglewood, CA)|us:place:0643224 (Los Alamitos, CA)|us:place:0658380 (Portola Valley, CA)|us:place:0660704 (Ridgecrest, CA)|us:place:0686440 (Woodside, CA)|us:place:0828745 (Fruita, CO)|us:place:0886090 (Woodland Park, CO)|us:place:1250525 (Oakland, FL)|us:place:1380228 (Walnut Grove, GA)|us:place:1717458 (Crest Hill, IL)|us:place:1978285 (Tipton, IA)|us:place:2004400 (Basehor, KS)|us:place:2057625 (Pratt, KS)|us:place:2079000 (Wichita, KS)|us:place:2414950 (Centreville, MD)|us:place:2454275 (Mount Rainier, MD)|us:place:2519365 (Easthampton, MA)|us:place:2559105 (Salem, MA)|us:place:2689140 (Ypsilanti, MI)|us:place:2954650 (Olivette, MO)|us:place:2971746 (Sunset Hills, MO)|us:place:3016600 (Columbia Falls, MT)|us:place:3061525 (Red Lodge, MT)|us:place:3422440 (Fair Haven, NJ)|us:place:3517960 (Corrales, NM)|us:place:3573260 (Silver City, NM)|us:place:3675484 (Troy, NY)|us:place:3721160 (Emerald Isle, NC)|us:place:3733560 (Indian Trail, NC)|us:place:3747880 (North Wilkesboro, NC)|us:place:3928014 (Fostoria, OH)|us:place:3952052 (Moreland Hills, OH)|us:place:3979492 (Vandalia, OH)|us:place:4115350 (Coquille, OR)|us:place:4128450 (Gearhart, OR)|us:place:4145250 (Madras, OR)|us:place:4237955 (Jefferson Hills, PA)|us:place:4243816 (Lititz, PA)|us:place:4570585 (Surfside Beach, SC)|us:place:4819900 (Denison, TX)|us:place:5307695 (Bremerton, WA)|us:place:5319035 (Duvall, WA)|us:place:5377665 (West Richland, WA)|us:place:5510375 (Brown Deer, WI)|us:place:5577675 (Stoughton, WI)|us:place:5586700 (Whitefish Bay, WI)",
unknown,play.champds.com,,20,multiple_governments,,"rtr:us:wi:fond-du-lac-city (Fond du Lac (city), WI)|us:county:37193 (Wilkes County, NC)|us:county:47119 (Maury County, TN)|us:cousub:0919083500 (Westport Town, CT)|us:cousub:2300524495 (Falmouth Town, ME)|us:cousub:2500112995 (Chatham Town, MA)|us:place:1221150 (Estero, FL)|us:place:1239425 (Largo, FL)|us:place:1270075 (Surfside, FL)|us:place:1304000 (Atlanta, GA)|us:place:1743744 (Lincolnwood, IL)|us:place:3603078 (Auburn, NY)|us:place:3659223 (Port Chester, NY)|us:place:3949056 (Mentor, OH)|us:place:4704620 (Belle Meade, TN)|us:place:4725440 (Fairview, TN)|us:place:4748980 (Millersville, TN)|us:place:4753460 (Nolensville, TN)|us:place:4754780 (Oak Hill, TN)|us:place:4770580 (Spring Hill, TN)",
unknown,public.destinyhosted.com,,17,multiple_governments,,"rtr:us:tx:the-woodlands-township (The Woodlands Township, TX)|us:county:04012 (La Paz County, AZ)|us:county:04017 (Navajo County, AZ)|us:county:48355 (Nueces County, TX)|us:county:48409 (San Patricio County, TX)|us:county:48491 (Williamson County, TX)|us:place:0412000 (Chandler, AZ)|us:place:0427820 (Glendale, AZ)|us:place:0444270 (Marana, AZ)|us:place:0451600 (Oro Valley, AZ)|us:place:1224300 (Fort Pierce, FL)|us:place:3936610 (Huber Heights, OH)|us:place:4023200 (Edmond, OK)|us:place:4806128 (Baytown, TX)|us:place:4845000 (Lubbock, TX)|us:place:4866128 (Schertz, TX)|us:place:4872392 (Texas City, TX)",
unknown,youtube.com,,11,multiple_governments,,"ca:csd:4817029 (Slave Lake, AB)|rtr:us:in:anderson-city (Anderson (city), IN)|us:county:13179 (Liberty County, GA)|us:place:0157504 (Owens Cross Roads, AL)|us:place:1757407 (Palos Park, IL)|us:place:3503400 (Angel Fire, NM)|us:place:3725300 (Fuquay-Varina, NC)|us:place:3976106 (Tallmadge, OH)|us:place:4037100 (Inola, OK)|us:place:4551280 (North Myrtle Beach, SC)|us:place:5105544 (Bedford, VA)",
unknown,vimeo.com,,6,multiple_governments,,"us:county:06073 (San Diego County, CA)|us:cousub:2500560645 (Seekonk Town, MA)|us:place:0659451 (Rancho Cucamonga, CA)|us:place:1986520 (Winterset, IA)|us:place:3451210 (New Brunswick, NJ)|us:place:3466570 (Secaucus, NJ)",
unknown,clerkshq.com,,3,multiple_governments,,"us:cousub:4400751760 (North Providence Town, RI)|us:place:3986940 (Yellow Springs, OH)|us:place:4422960 (East Providence, RI)",
unknown,townhallstreams.com,,3,multiple_governments,,"us:cousub:0911044910 (Mansfield Town, CT)|us:cousub:2300140035 (Lisbon Town, ME)|us:cousub:3300577380 (Troy Town, NH)",
unknown,addison.granicus.com,,2,multiple_governments,,"rtr:us:il:addison-village (Addison (village), IL)|us:place:1700243 (Addison (village), IL)",
unknown,ashlandcowi.portal.civicclerk.com,,2,multiple_governments,,"rtr:us:wi:ashland-city (Ashland (city), WI)|us:county:55003 (Ashland County, WI)",
