input_set,tier,rows,pct
archive,registry,3896,77.1
archive,unresolved,414,8.2
archive,unverified,287,5.7
archive,blank,238,4.7
archive,pinned,207,4.1
archive,inferred,11,0.2
ledger,registry,803,91.7
ledger,pinned,38,4.3
ledger,unresolved,33,3.8
ledger,unverified,2,0.2
