tenant_host,jurisdiction,gov_id,gov_name,gov_type,tier,evidence,new_meeting_body,new_hub_slug,country,state,old_hub_slug,municipal_type_word,state_heading
cityofmaricopa.granicus.com,"City of Maricopa, AZ",us:place:0444410,"Maricopa, AZ",municipality,registry,us_places.csv Maricopa city,,maricopa-az,us,AZ,maricopa-az,yes,Cities & towns
vacaville.granicus.com,"City of Vacaville, CA",us:place:0681554,"Vacaville, CA",municipality,registry,us_places.csv Vacaville city,,vacaville-ca,us,CA,vacaville-ca,yes,Cities & towns
lodica.granicus.com,"City of Lodi, CA",us:place:0642202,"Lodi, CA",municipality,registry,us_places.csv Lodi city,,lodi-ca,us,CA,lodi-ca,yes,Cities & towns
kapuskasing.civicweb.net,"Kapuskasing, ON",ca:csd:3556066,"Kapuskasing, ON",municipality,registry,ca_csd.csv Kapuskasing,,kapuskasing-on,ca,ON,kapuskasing-on,no,Cities & towns
manitowoc.granicus.com,"City of Manitowoc, WI",us:place:5548500,"Manitowoc (city), WI",municipality,registry,us_places.csv Manitowoc city,,manitowoc-city-wi,us,WI,manitowoc-wi,yes,Cities & towns
manteca-ca.granicus.com,"City of Manteca, CA",us:place:0645484,"Manteca, CA",municipality,registry,us_places.csv Manteca city,,manteca-ca,us,CA,manteca-ca,yes,Cities & towns
marcoisland.granicus.com,"Marco Island, FL",us:place:1243083,"Marco Island, FL",municipality,registry,us_places.csv Marco Island city,,marco-island-fl,us,FL,marco-island-fl,no,Cities & towns
kenora.civicweb.net,"City of Kenora, ON",ca:csd:3560010,"Kenora, ON",municipality,registry,ca_csd.csv Kenora,,kenora-on,ca,ON,kenora-on,yes,Cities & towns
marietta.granicus.com,"City of Marietta, GA",us:place:1349756,"Marietta, GA",municipality,registry,us_places.csv Marietta city,,marietta-ga,us,GA,marietta-ga,yes,Cities & towns
venice.granicus.com,"Venice, FL",us:place:1273900,"Venice, FL",municipality,registry,us_places.csv Venice city,,venice-fl,us,FL,venice-fl,no,Cities & towns
martin.granicus.com,"Martin County, FL",us:county:12085,"Martin County, FL",county,registry,us_counties.csv Martin County,,martin-county-fl,us,FL,martin-county-fl,no,Counties & regions
cityofpt.granicus.com,"City of Port Townsend, WA",us:place:5355855,"Port Townsend, WA",municipality,registry,us_places.csv Port Townsend city,,port-townsend-wa,us,WA,port-townsend-wa,yes,Cities & towns
lethcounty.civicweb.net,Lethbridge County,,Lethbridge County,county,unresolved,no state for 'Lethbridge County',,lethbridge-county,us,,lethbridge-county,no,Counties & regions
mendocino.granicus.com,"Mendocino County, CA",us:county:06045,"Mendocino County, CA",county,registry,us_counties.csv Mendocino County,,mendocino-county-ca,us,CA,mendocino-county-ca,no,Counties & regions
mallorytown.civicweb.net,"Township of Front of Yonge, ON",ca:csd:3507017,"Front of Yonge, ON",municipality,registry,ca_csd.csv Front of Yonge,,front-of-yonge-on,ca,ON,township-of-front-of-yonge-on,yes,Cities & towns
virginia-house.granicus.com,Virginia,us:state:51,State of Virginia,state,pinned,tenant_overrides.csv virginia-house.granicus.com source=visual_confirmed,,state-of-virginia,us,VA,virginia,no,State government
metro.granicus.com,"Los Angeles County, CA",rtr:us:ca:los-angeles-county-metropolitan-transportation-authority,"Los Angeles County Metropolitan Transportation Authority, CA",county,pinned,tenant_overrides.csv metro.granicus.com source=architecture_doc_1_3,,los-angeles-county-metropolitan-transportation-authority-ca,us,CA,los-angeles-county-ca,no,Counties & regions
mclendon-chisholm.civicweb.net,"City of McLendon-Chisholm, TX",us:place:4845804,"McLendon-Chisholm, TX",municipality,registry,us_places.csv McLendon-Chisholm city,,mclendon-chisholm-tx,us,TX,mclendon-chisholm-tx,yes,Cities & towns
missionviejo.granicus.com,"City of Mission Viejo, CA",us:place:0648256,"Mission Viejo, CA",municipality,registry,us_places.csv Mission Viejo city,,mission-viejo-ca,us,CA,mission-viejo-ca,yes,Cities & towns
cityofrsm.granicus.com,"City of Rancho Santa Margarita, CA",us:place:0659587,"Rancho Santa Margarita, CA",municipality,registry,us_places.csv Rancho Santa Margarita city,,rancho-santa-margarita-ca,us,CA,rancho-santa-margarita-ca,yes,Cities & towns
millcreek.civicweb.net,"Mill Creek, WA",us:place:5345865,"Mill Creek, WA",municipality,registry,us_places.csv Mill Creek city,,mill-creek-wa,us,WA,mill-creek-wa,no,Cities & towns
mooresvillenc.granicus.com,"Mooresville, NC",us:place:3744220,"Mooresville, NC",municipality,registry,us_places.csv Mooresville town,,mooresville-nc,us,NC,mooresville-nc,no,Cities & towns
mountainviewcounty.civicweb.net,Mountain View County,,Mountain View County,county,unresolved,no state for 'Mountain View County',,mountain-view-county,us,,mountain-view-county,no,Counties & regions
wake.granicus.com,"Wake County, NC",us:county:37183,"Wake County, NC",county,registry,us_counties.csv Wake County,,wake-county-nc,us,NC,wake-county-nc,no,Counties & regions
manhattanbeach.granicus.com,City of Manhattan Beach,us:place:0645400,"Manhattan Beach, CA",municipality,registry,us_places.csv Manhattan Beach city (state from tenant_hints.csv manhattanbeach.granicus.com),,manhattan-beach-ca,us,CA,manhattan-beach,yes,Cities & towns
newbraunfels.granicus.com,"City of New Braunfels, TX",us:place:4850820,"New Braunfels, TX",municipality,registry,us_places.csv New Braunfels city,,new-braunfels-tx,us,TX,new-braunfels-tx,yes,Cities & towns
washoe-nv.granicus.com,"Washoe County, NV",us:county:32031,"Washoe County, NV",county,registry,us_counties.csv Washoe County,,washoe-county-nv,us,NV,washoe-county-nv,no,Counties & regions
novato.granicus.com,"City of Novato, CA",us:place:0652582,"Novato, CA",municipality,registry,us_places.csv Novato city,,novato-ca,us,CA,novato-ca,yes,Cities & towns
margatefl.granicus.com,"Margate, FL",us:place:1243125,"Margate, FL",municipality,registry,us_places.csv Margate city,,margate-fl,us,FL,margate-fl,no,Cities & towns
muskokalakes.civicweb.net,"Muskoka Lakes, ON",ca:csd:3544053,"Muskoka Lakes, ON",municipality,registry,ca_csd.csv Muskoka Lakes,,muskoka-lakes-on,ca,ON,muskoka-lakes-on,no,Cities & towns
oak-park.granicus.com,"Oak Park, IL",us:place:1754885,"Oak Park, IL",municipality,registry,us_places.csv Oak Park village,,oak-park-il,us,IL,oak-park-il,no,Cities & towns
oaklandparkfl.granicus.com,"City of Oakland Park, FL",us:place:1250575,"Oakland Park, FL",municipality,registry,us_places.csv Oakland Park city,,oakland-park-fl,us,FL,oakland-park-fl,yes,Cities & towns
oakley.granicus.com,"City of Oakley, CA",us:place:0653070,"Oakley, CA",municipality,registry,us_places.csv Oakley city,,oakley-ca,us,CA,oakley-ca,yes,Cities & towns
newtecumseth.civicweb.net,"New Tecumseth, ON",ca:csd:3543007,"New Tecumseth, ON",municipality,registry,ca_csd.csv New Tecumseth,,new-tecumseth-on,ca,ON,new-tecumseth-on,no,Cities & towns
westlakevillage.granicus.com,"Westlake Village, CA",us:place:0684438,"Westlake Village, CA",municipality,registry,us_places.csv Westlake Village city,,westlake-village-ca,us,CA,westlake-village-ca,no,Cities & towns
ocala.granicus.com,"Ocala, FL",us:place:1250750,"Ocala, FL",municipality,registry,us_places.csv Ocala city,,ocala-fl,us,FL,ocala-fl,no,Cities & towns
okeechobee.granicus.com,"Okeechobee County, FL",us:county:12093,"Okeechobee County, FL",county,registry,us_counties.csv Okeechobee County,,okeechobee-county-fl,us,FL,okeechobee-county-fl,no,Counties & regions
payson.granicus.com,Town of Payson,us:place:0453700,"Payson, AZ",municipality,registry,us_places.csv Payson town (state from tenant_hints.csv payson.granicus.com),,payson-az,us,AZ,town-of-payson,yes,Cities & towns
newtonkansas.civicweb.net,City of Newton,,City of Newton,municipality,unresolved,no state for 'City of Newton',,city-of-newton,us,,newton,yes,Cities & towns
wilmington.granicus.com,City of Wilmington,us:place:3774440,"Wilmington, NC",municipality,registry,us_places.csv Wilmington city (state from tenant_hints.csv wilmington.granicus.com),,wilmington-nc,us,NC,wilmington,yes,Cities & towns
pinecrest.granicus.com,"Village of Pinecrest, FL",us:place:1256625,"Pinecrest, FL",municipality,registry,us_places.csv Pinecrest village,,pinecrest-fl,us,FL,village-of-pinecrest-fl,yes,Cities & towns
pinellas.granicus.com,"Pinellas County, FL",us:county:12103,"Pinellas County, FL",county,registry,us_counties.csv Pinellas County,,pinellas-county-fl,us,FL,pinellas-county-fl,no,Counties & regions
pittsburg.granicus.com,"City of Pittsburg, CA",us:place:0657456,"Pittsburg, CA",municipality,registry,us_places.csv Pittsburg city,,pittsburg-ca,us,CA,pittsburg-ca,yes,Cities & towns
newtowntownship.civicweb.net,Township of Newtown,,Township of Newtown,township,unresolved,no state for 'Township of Newtown',,township-of-newtown,us,,township-of-newtown,yes,Cities & towns
dakota.granicus.com,County of Dakota,us:county:27037,"Dakota County, MN",county,registry,us_counties.csv Dakota County (state from tenant_hints.csv dakota.granicus.com),,dakota-county-mn,us,MN,county-of-dakota,no,Counties & regions
oliverpaipoonge.civicweb.net,"Oliver Paipoonge, ON",ca:csd:3558011,"Oliver Paipoonge, ON",municipality,registry,ca_csd.csv Oliver Paipoonge,,oliver-paipoonge-on,ca,ON,oliver-paipoonge-on,no,Cities & towns
milwaukeecounty.granicus.com,"Milwaukee County, WI",us:county:55079,"Milwaukee County, WI",county,registry,us_counties.csv Milwaukee County,,milwaukee-county-wi,us,WI,milwaukee-county-wi,no,Counties & regions
powellriver.civicweb.net,"Powell River, BC",ca:csd:5927008,"Powell River, BC",municipality,registry,ca_csd.csv Powell River,,powell-river-bc,ca,BC,powell-river-bc,no,Cities & towns
puntagorda.granicus.com,"City of Punta Gorda, FL",us:place:1259200,"Punta Gorda, FL",municipality,registry,us_places.csv Punta Gorda city,,punta-gorda-fl,us,FL,punta-gorda-fl,yes,Cities & towns
pwcgov.granicus.com,"Prince William County, VA",us:county:51153,"Prince William County, VA",county,registry,us_counties.csv Prince William County,,prince-william-county-va,us,VA,prince-william-county-va,no,Counties & regions
lincoln.granicus.com,"City of Lincoln, CA",us:place:0641474,"Lincoln, CA",municipality,registry,us_places.csv Lincoln city,,lincoln-ca,us,CA,lincoln-ca,yes,Cities & towns
reddingca.granicus.com,"City of Redding, CA",us:place:0659920,"Redding, CA",municipality,registry,us_places.csv Redding city,,redding-ca,us,CA,redding-ca,yes,Cities & towns
quesnel.civicweb.net,"Quesnel, BC",ca:csd:5941013,"Quesnel, BC",municipality,registry,ca_csd.csv Quesnel,,quesnel-bc,ca,BC,quesnel-bc,no,Cities & towns
ridemetro.granicus.com,"Harris County, TX",us:county:48201,"Harris County, TX",county,registry,us_counties.csv Harris County,,harris-county-tx,us,TX,harris-county-tx,no,Counties & regions
mokena.granicus.com,"Village of Mokena, IL",us:place:1749854,"Mokena, IL",municipality,registry,us_places.csv Mokena village,,mokena-il,us,IL,village-of-mokena-il,yes,Cities & towns
ryebrook.civicweb.net,"Village of Rye Brook, NY",us:place:3664325,"Rye Brook, NY",municipality,registry,us_places.csv Rye Brook village,,rye-brook-ny,us,NY,village-of-rye-brook-ny,yes,Cities & towns
torbay.civicweb.net,"Torbay, NL",ca:csd:1001509,"Torbay, NL",municipality,registry,ca_csd.csv Torbay,,torbay-nl,ca,NL,torbay-nl,no,Cities & towns
townofvulcan.civicweb.net,"Town of Vulcan, AB",ca:csd:4805006,"Vulcan, AB",municipality,registry,ca_csd.csv Vulcan,,vulcan-ab,ca,AB,town-of-vulcan-ab,yes,Cities & towns
tumblerridge.civicweb.net,"Tumbler Ridge, BC",ca:csd:5955003,"Tumbler Ridge, BC",municipality,registry,ca_csd.csv Tumbler Ridge,,tumbler-ridge-bc,ca,BC,tumbler-ridge-bc,no,Cities & towns
wasagabeach.civicweb.net,"Wasaga Beach, ON",ca:csd:3543064,"Wasaga Beach, ON",municipality,registry,ca_csd.csv Wasaga Beach,,wasaga-beach-on,ca,ON,wasaga-beach-on,no,Cities & towns
waxhaw.civicweb.net,"Town of Waxhaw, NC",us:place:3771460,"Waxhaw, NC",municipality,registry,us_places.csv Waxhaw town,,waxhaw-nc,us,NC,town-of-waxhaw-nc,yes,Cities & towns
westperth.civicweb.net,"West Perth, ON",ca:csd:3531025,"West Perth, ON",municipality,registry,ca_csd.csv West Perth,,west-perth-on,ca,ON,west-perth-on,no,Cities & towns
wetaskiwin.civicweb.net,"Wetaskiwin, AB",ca:csd:4811002,"Wetaskiwin, AB",municipality,registry,ca_csd.csv Wetaskiwin,,wetaskiwin-ab,ca,AB,wetaskiwin-ab,no,Cities & towns
whitewaterregion.civicweb.net,"Whitewater Region, ON",ca:csd:3547056,"Whitewater Region, ON",municipality,registry,ca:csd:3547056 Whitewater Region matched with spacing ignored,,whitewater-region-on,ca,ON,whitewater-region-on,no,Cities & towns
hearst.civicweb.net,"Town of Hearst, ON",ca:csd:3556076,"Hearst, ON",municipality,registry,ca_csd.csv Hearst,,hearst-on,ca,ON,town-of-hearst-on,yes,Cities & towns
townofryeny.civicweb.net,Town of Rye,us:cousub:3611964320,"Rye (town), NY",township,registry,us_cousubs.csv Rye town (state from subdomain townofryeny.civicweb.net),,rye-town-ny,us,NY,town-of-rye,yes,Cities & towns
silverthorne.civicweb.net,"Town of Silverthorne, CO",us:place:0870525,"Silverthorne, CO",municipality,registry,us_places.csv Silverthorne town,,silverthorne-co,us,CO,town-of-silverthorne-co,yes,Cities & towns
townofchenango.civicweb.net,"Town of Chenango, NY",us:cousub:3600715110,"Chenango Town, NY",township,registry,us_cousubs.csv Chenango town,,chenango-town-ny,us,NY,town-of-chenango-ny,yes,Cities & towns
georgianbay.civicweb.net,"Georgian Bay, ON",ca:csd:3544065,"Georgian Bay, ON",municipality,registry,ca_csd.csv Georgian Bay,,georgian-bay-on,ca,ON,georgian-bay-on,no,Cities & towns
greyhighlands.civicweb.net,"Grey Highlands, ON",ca:csd:3542015,"Grey Highlands, ON",municipality,registry,ca_csd.csv Grey Highlands,,grey-highlands-on,ca,ON,grey-highlands-on,no,Cities & towns
brighton.civicweb.net,Brighton,,Brighton,other,unresolved,no state for 'Brighton',,brighton,us,,brighton,no,Other public bodies
nelson.civicweb.net,City of Nelson,,City of Nelson,municipality,unresolved,no state for 'City of Nelson',,city-of-nelson,us,,nelson,yes,Cities & towns
tofino.civicweb.net,"Tofino, BC",ca:csd:5923025,"Tofino, BC",municipality,registry,ca_csd.csv Tofino,,tofino-bc,ca,BC,tofino-bc,no,Cities & towns
williamslake.civicweb.net,"City of Williams Lake, BC",ca:csd:5941009,"Williams Lake, BC",municipality,registry,ca_csd.csv Williams Lake,,williams-lake-bc,ca,BC,williams-lake-bc,yes,Cities & towns
lewes.civicweb.net,"City of Lewes, DE",us:place:1041830,"Lewes, DE",municipality,registry,us_places.csv Lewes city,,lewes-de,us,DE,lewes-de,yes,Cities & towns
severn.civicweb.net,Township of Severn,us:cousub:3809371860,"Severn Township, ND",township,registry,us_cousubs.csv Severn township,,severn-township-nd,us,ND,township-of-severn,yes,Cities & towns
centralelgin.civicweb.net,"Central Elgin, ON",ca:csd:3534020,"Central Elgin, ON",municipality,registry,ca_csd.csv Central Elgin,,central-elgin-on,ca,ON,central-elgin-on,no,Cities & towns
greaternapanee.civicweb.net,"Greater Napanee, ON",ca:csd:3511015,"Greater Napanee, ON",municipality,registry,ca_csd.csv Greater Napanee,,greater-napanee-on,ca,ON,greater-napanee-on,no,Cities & towns
eastgwillimbury.civicweb.net,"East Gwillimbury, ON",ca:csd:3519054,"East Gwillimbury, ON",municipality,registry,ca_csd.csv East Gwillimbury,,east-gwillimbury-on,ca,ON,east-gwillimbury-on,no,Cities & towns
meaford.civicweb.net,"Meaford, ON",ca:csd:3542047,"Meaford, ON",municipality,registry,ca_csd.csv Meaford,,meaford-on,ca,ON,meaford-on,no,Cities & towns
northernbrucepeninsula.civicweb.net,"Northern Bruce Peninsula, ON",ca:csd:3541069,"Northern Bruce Peninsula, ON",municipality,registry,ca_csd.csv Northern Bruce Peninsula,,northern-bruce-peninsula-on,ca,ON,northern-bruce-peninsula-on,no,Cities & towns
ramara.civicweb.net,"Township of Ramara, ON",ca:csd:3543019,"Ramara, ON",municipality,registry,ca_csd.csv Ramara,,ramara-on,ca,ON,township-of-ramara-on,yes,Cities & towns
sarnia.civicweb.net,"Sarnia, ON",ca:csd:3538030,"Sarnia, ON",municipality,registry,ca_csd.csv Sarnia,,sarnia-on,ca,ON,sarnia-on,no,Cities & towns
al-owenscrossroads.civicplus.com,"City of Owens Cross Roads, AL",us:place:0157504,"Owens Cross Roads, AL",municipality,registry,us_places.csv Owens Cross Roads city,,owens-cross-roads-al,us,AL,owens-cross-roads-al,yes,Cities & towns
me-skowhegan2.civicplus.com,"Town of Skowhegan, ME",us:cousub:2302568910,"Skowhegan Town, ME",township,registry,us_cousubs.csv Skowhegan town,,skowhegan-town-me,us,ME,town-of-skowhegan-me,yes,Cities & towns
mi-caledoniachartertownship.civicplus.com,Caledonia Township,us:cousub:2615512520,"Caledonia (charter township), MI",township,pinned,tenant_overrides.csv mi-caledoniachartertownship.civicplus.com source=landing_page,,caledonia-charter-township-mi,us,MI,caledonia-township,no,Cities & towns
mo-brentwood4.civicplus.com,"Brentwood, MO",us:place:2908236,"Brentwood, MO",municipality,registry,us_places.csv Brentwood city,,brentwood-mo,us,MO,brentwood-mo,no,Cities & towns
pa-mediaborough.civicplus.com,Media Borough,us:place:4248480,"Media, PA",municipality,registry,us_places.csv Media borough (state from tenant_hints.csv pa-mediaborough.civicplus.com),,media-pa,us,PA,media-borough,no,Cities & towns
ca-clearlake.civicplus.com,"City of Clearlake, CA",us:place:0613945,"Clearlake, CA",municipality,registry,us_places.csv Clearlake city,,clearlake-ca,us,CA,clearlake-ca,yes,Cities & towns
ca-farmersville.civicplus.com,Farmersville,us:place:0623616,"Farmersville, CA",municipality,registry,us_places.csv Farmersville city (state from tenant_hints.csv ca-farmersville.civicplus.com),,farmersville-ca,us,CA,farmersville,no,Cities & towns
ca-lahabraheights.civicplus.com,"City of La Habra Heights, CA",us:place:0639304,"La Habra Heights, CA",municipality,registry,us_places.csv La Habra Heights city,,la-habra-heights-ca,us,CA,la-habra-heights-ca,yes,Cities & towns
ca-losalamitos.civicplus.com,"Los Alamitos, CA",us:place:0643224,"Los Alamitos, CA",municipality,registry,us_places.csv Los Alamitos city,,los-alamitos-ca,us,CA,los-alamitos-ca,no,Cities & towns
ca-ventura.civicplus.com,City of Ventura,us:place:1980580,"Ventura, IA",municipality,registry,us_places.csv Ventura city,,ventura-ia,us,IA,ventura,yes,Cities & towns
ca-willits.civicplus.com,"Willits, CA",us:place:0685600,"Willits, CA",municipality,registry,us_places.csv Willits city,,willits-ca,us,CA,willits-ca,no,Cities & towns
co-fraser.civicplus.com,Town of Fraser,us:place:0828305,"Fraser, CO",municipality,registry,us_places.csv Fraser town (state from tenant_hints.csv co-fraser.civicplus.com),,fraser-co,us,CO,town-of-fraser,yes,Cities & towns
co-fruita.civicplus.com,"City of Fruita, CO",us:place:0828745,"Fruita, CO",municipality,registry,us_places.csv Fruita city,,fruita-co,us,CO,fruita-co,yes,Cities & towns
co-palmerlake.civicplus.com,"Town of Palmer Lake, CO",us:place:0857025,"Palmer Lake, CO",municipality,registry,us_places.csv Palmer Lake town,,palmer-lake-co,us,CO,town-of-palmer-lake-co,yes,Cities & towns
fl-aventura.civicplus.com,"City of Aventura, FL",us:place:1202681,"Aventura, FL",municipality,registry,us_places.csv Aventura city,,aventura-fl,us,FL,aventura-fl,yes,Cities & towns
fl-crestview.civicplus.com,City of Crestview,us:place:1215475,"Crestview, FL",municipality,registry,us_places.csv Crestview city (state from tenant_hints.csv fl-crestview.civicplus.com),,crestview-fl,us,FL,crestview,yes,Cities & towns
fl-portorange.civicplus.com,"Port Orange, FL",us:place:1258575,"Port Orange, FL",municipality,registry,us_places.csv Port Orange city,,port-orange-fl,us,FL,port-orange-fl,no,Cities & towns
ga-avondaleestates.civicplus.com,"City of Avondale Estates, GA",us:place:1304644,"Avondale Estates, GA",municipality,registry,us_places.csv Avondale Estates city,,avondale-estates-ga,us,GA,avondale-estates-ga,yes,Cities & towns
ga-rome.civicplus.com,City of Rome,us:place:1366668,"Rome, GA",municipality,registry,us_places.csv Rome city (state from tenant_hints.csv ga-rome.civicplus.com),,rome-ga,us,GA,rome,yes,Cities & towns
ga-walnutgrove.civicplus.com,"Walnut Grove, GA",us:place:1380228,"Walnut Grove, GA",municipality,registry,us_places.csv Walnut Grove city,,walnut-grove-ga,us,GA,walnut-grove-ga,no,Cities & towns
ga-watkinsville.civicplus.com,"Watkinsville, GA",us:place:1380788,"Watkinsville, GA",municipality,registry,us_places.csv Watkinsville city,,watkinsville-ga,us,GA,watkinsville-ga,no,Cities & towns
ia-hawarden.civicplus.com,City of Hawarden,us:place:1935265,"Hawarden, IA",municipality,registry,us_places.csv Hawarden city (state from tenant_hints.csv ia-hawarden.civicplus.com),,hawarden-ia,us,IA,hawarden,yes,Cities & towns
ia-maquoketa.civicplus.com,"City of Maquoketa, IA",us:place:1949215,"Maquoketa, IA",municipality,registry,us_places.csv Maquoketa city,,maquoketa-ia,us,IA,maquoketa-ia,yes,Cities & towns
ia-tipton.civicplus.com,"City of Tipton, IA",us:place:1978285,"Tipton, IA",municipality,registry,us_places.csv Tipton city,,tipton-ia,us,IA,tipton-ia,yes,Cities & towns
il-cresthill.civicplus.com,"Crest Hill, IL",us:place:1717458,"Crest Hill, IL",municipality,registry,us_places.csv Crest Hill city,,crest-hill-il,us,IL,crest-hill-il,no,Cities & towns
il-hanoverpark.civicplus.com,"Village of Hanover Park, IL",us:place:1732746,"Hanover Park, IL",municipality,registry,us_places.csv Hanover Park village,,hanover-park-il,us,IL,village-of-hanover-park-il,yes,Cities & towns
il-monee.civicplus.com,"Village of Monee, IL",us:place:1749945,"Monee (village), IL",municipality,registry,us_places.csv Monee village,,monee-village-il,us,IL,village-of-monee-il,yes,Cities & towns
il-northfield.civicplus.com,Village of Northfield,us:place:1753663,"Northfield (village), IL",municipality,registry,us_places.csv Northfield village (state from tenant_hints.csv il-northfield.civicplus.com),,northfield-village-il,us,IL,village-of-northfield,yes,Cities & towns
il-palospark.civicplus.com,"Palos Park, IL",us:place:1757407,"Palos Park, IL",municipality,registry,us_places.csv Palos Park village,,palos-park-il,us,IL,palos-park-il,no,Cities & towns
il-riverside.civicplus.com,"Riverside, IL",us:place:1764421,"Riverside (village), IL",municipality,registry,us_places.csv Riverside village,,riverside-village-il,us,IL,riverside-il,no,Cities & towns
in-anderson.civicplus.com,"City of Anderson, IN",us:place:1801468,"Anderson (city), IN",municipality,registry,us_places.csv Anderson city,,anderson-city-in,us,IN,anderson-in,yes,Cities & towns
in-avon.civicplus.com,"Avon, IN",us:place:1802908,"Avon, IN",municipality,registry,us_places.csv Avon town,,avon-in,us,IN,avon-in,no,Cities & towns
in-charlestown.civicplus.com,"Charlestown, IN",us:place:1812124,"Charlestown (city), IN",municipality,registry,us_places.csv Charlestown city,,charlestown-city-in,us,IN,charlestown-in,no,Cities & towns
in-lafayette.civicplus.com,"City of Lafayette, IN",us:place:1840788,"Lafayette (city), IN",municipality,registry,us_places.csv Lafayette city,,lafayette-city-in,us,IN,lafayette-in,yes,Cities & towns
in-shelbyville.civicplus.com,"Shelbyville, IN",us:place:1869318,"Shelbyville, IN",municipality,registry,us_places.csv Shelbyville city,,shelbyville-in,us,IN,shelbyville-in,no,Cities & towns
in-woodburn.civicplus.com,"City of Woodburn, IN",us:place:1885184,"Woodburn, IN",municipality,registry,us_places.csv Woodburn city,,woodburn-in,us,IN,woodburn-in,yes,Cities & towns
ks-basehor.civicplus.com,"City of Basehor, KS",us:place:2004400,"Basehor, KS",municipality,registry,us_places.csv Basehor city,,basehor-ks,us,KS,basehor-ks,yes,Cities & towns
ks-hays.civicplus.com,"Hays, KS",us:place:2031100,"Hays, KS",municipality,registry,us_places.csv Hays city,,hays-ks,us,KS,hays-ks,no,Cities & towns
ks-independence.civicplus.com,Independence,us:place:2033875,"Independence (city), KS",municipality,registry,us_places.csv Independence city (state from tenant_hints.csv ks-independence.civicplus.com),,independence-city-ks,us,KS,independence,no,Cities & towns
ks-iola.civicplus.com,"City of Iola, KS",us:place:2034300,"Iola (city), KS",municipality,registry,us_places.csv Iola city,,iola-city-ks,us,KS,iola-ks,yes,Cities & towns
ks-osawatomie.civicplus.com,"City of Osawatomie, KS",us:place:2053225,"Osawatomie (city), KS",municipality,registry,us_places.csv Osawatomie city,,osawatomie-city-ks,us,KS,osawatomie-ks,yes,Cities & towns
ks-pratt.civicplus.com,City of Pratt,us:place:2057625,"Pratt, KS",municipality,registry,us_places.csv Pratt city (state from tenant_hints.csv ks-pratt.civicplus.com),,pratt-ks,us,KS,pratt,yes,Cities & towns
ks-pratt.civicplus.com,"Pratt, KS",us:place:2057625,"Pratt, KS",municipality,registry,us_places.csv Pratt city,,pratt-ks,us,KS,pratt-ks,no,Cities & towns
ma-salem.civicplus.com,"Salem, MA",us:place:2559105,"Salem, MA",municipality,registry,us_places.csv Salem city,,salem-ma,us,MA,salem-ma,no,Cities & towns
md-centreville.civicplus.com,"Centreville, MD",us:place:2414950,"Centreville, MD",municipality,registry,us_places.csv Centreville town,,centreville-md,us,MD,centreville-md,no,Cities & towns
md-mountrainier.civicplus.com,"Mount Rainier, MD",us:place:2454275,"Mount Rainier, MD",municipality,registry,us_places.csv Mount Rainier city,,mount-rainier-md,us,MD,mount-rainier-md,no,Cities & towns
mi-lincolnpark.civicplus.com,City of Lincoln Park,us:place:2647800,"Lincoln Park, MI",municipality,registry,us_places.csv Lincoln Park city (state from tenant_hints.csv mi-lincolnpark.civicplus.com),,lincoln-park-mi,us,MI,lincoln-park,yes,Cities & towns
mi-saginaw.civicplus.com,"City of Saginaw, MI",us:place:2670520,"Saginaw, MI",municipality,registry,us_places.csv Saginaw city,,saginaw-mi,us,MI,saginaw-mi,yes,Cities & towns
mi-taylor.civicplus.com,"City of Taylor, MI",us:place:2679000,"Taylor, MI",municipality,registry,us_places.csv Taylor city,,taylor-mi,us,MI,taylor-mi,yes,Cities & towns
mi-taylor.civicplus.com,"Taylor, MI",us:place:2679000,"Taylor, MI",municipality,registry,us_places.csv Taylor city,,taylor-mi,us,MI,taylor-mi,no,Cities & towns
mi-wayne.civicplus.com,City of Wayne,us:place:2684940,"Wayne (city), MI",municipality,registry,us_places.csv Wayne city (state from tenant_hints.csv mi-wayne.civicplus.com),,wayne-city-mi,us,MI,wayne,yes,Cities & towns
mi-ypsilanti.civicplus.com,"City of Ypsilanti, MI",us:place:2689140,"Ypsilanti, MI",municipality,registry,us_places.csv Ypsilanti city,,ypsilanti-mi,us,MI,ypsilanti-mi,yes,Cities & towns
mn-brainerd.civicplus.com,"Brainerd, MN",us:place:2707300,"Brainerd, MN",municipality,registry,us_places.csv Brainerd city,,brainerd-mn,us,MN,brainerd-mn,no,Cities & towns
mn-forestlake.civicplus.com,"Forest Lake, MN",us:place:2721770,"Forest Lake, MN",municipality,registry,us_places.csv Forest Lake city,,forest-lake-mn,us,MN,forest-lake-mn,no,Cities & towns
mo-olivette.civicplus.com,"City of Olivette, MO",us:place:2954650,"Olivette, MO",municipality,registry,us_places.csv Olivette city,,olivette-mo,us,MO,olivette-mo,yes,Cities & towns
mo-sunsethills.civicplus.com,"City of Sunset Hills, MO",us:place:2971746,"Sunset Hills, MO",municipality,registry,us_places.csv Sunset Hills city,,sunset-hills-mo,us,MO,sunset-hills-mo,yes,Cities & towns
ms-olivebranch.civicplus.com,"City of Olive Branch, MS",us:place:2854040,"Olive Branch, MS",municipality,registry,us_places.csv Olive Branch city,,olive-branch-ms,us,MS,olive-branch-ms,yes,Cities & towns
mt-columbiafalls.civicplus.com,"City of Columbia Falls, MT",us:place:3016600,"Columbia Falls, MT",municipality,registry,us_places.csv Columbia Falls city,,columbia-falls-mt,us,MT,columbia-falls-mt,yes,Cities & towns
