tenant_host,jurisdiction,gov_id,gov_name,gov_type,tier,evidence,new_meeting_body,new_hub_slug,country,state,old_hub_slug,municipal_type_word,state_heading
cityftmyers.granicus.com,"Ft Myers, FL",us:place:1224125,"Fort Myers, FL",municipality,registry,us_places.csv Fort Myers city,,fort-myers-fl,us,FL,ft-myers-fl,no,Cities & towns
fountainvalley.granicus.com,"Fountain Valley, CA",us:place:0625380,"Fountain Valley, CA",municipality,registry,us_places.csv Fountain Valley city,,fountain-valley-ca,us,CA,fountain-valley-ca,no,Cities & towns
mono.civicweb.net,"Town of Mono, ON",ca:csd:3522012,"Mono, ON",municipality,registry,ca_csd.csv Mono,,mono-on,ca,ON,town-of-mono-on,yes,Cities & towns
arapahoe.granicus.com,"Arapahoe County, CO",us:county:08005,"Arapahoe County, CO",county,registry,us_counties.csv Arapahoe County,,arapahoe-county-co,us,CO,arapahoe-county-co,no,Counties & regions
ppines.granicus.com,"City of Pembroke Pines, FL",us:place:1255775,"Pembroke Pines, FL",municipality,registry,us_places.csv Pembroke Pines city,,pembroke-pines-fl,us,FL,pembroke-pines-fl,yes,Cities & towns
roundrock.granicus.com,"City of Round Rock, TX",us:place:4863500,"Round Rock, TX",municipality,registry,us_places.csv Round Rock city,,round-rock-tx,us,TX,round-rock-tx,yes,Cities & towns
bainbridgewa.granicus.com,"Bainbridge Island, WA",us:place:5303736,"Bainbridge Island, WA",municipality,registry,us_places.csv Bainbridge Island city,,bainbridge-island-wa,us,WA,bainbridge-island-wa,no,Cities & towns
guilford.granicus.com,"Guilford County, NC",us:county:37081,"Guilford County, NC",county,registry,us_counties.csv Guilford County,,guilford-county-nc,us,NC,guilford-county-nc,no,Counties & regions
albemarle.granicus.com,"Albemarle County, VA",us:county:51003,"Albemarle County, VA",county,registry,us_counties.csv Albemarle County,,albemarle-county-va,us,VA,albemarle-county-va,no,Counties & regions
oakbay.civicweb.net,"Oak Bay, BC",ca:csd:5917030,"Oak Bay, BC",municipality,registry,ca_csd.csv Oak Bay,,oak-bay-bc,ca,BC,oak-bay-bc,no,Cities & towns
azusa.granicus.com,"Azusa, CA",us:place:0603386,"Azusa, CA",municipality,registry,us_places.csv Azusa city,,azusa-ca,us,CA,azusa-ca,no,Cities & towns
middleburgva.new.swagit.com,"Middleburg, VA",us:place:5151448,"Middleburg, VA",municipality,registry,us_places.csv Middleburg town,,middleburg-va,us,VA,middleburg-va,no,Cities & towns
blacksburg.granicus.com,Town of Blacksburg,us:place:5107784,"Blacksburg, VA",municipality,registry,us_places.csv Blacksburg town (state from tenant_hints.csv blacksburg.granicus.com),,blacksburg-va,us,VA,town-of-blacksburg,yes,Cities & towns
sonomacity.civicweb.net,"City of Sonoma, CA",us:place:0672646,"Sonoma, CA",municipality,registry,us_places.csv Sonoma city,,sonoma-ca,us,CA,sonoma-ca,yes,Cities & towns
brightonco.granicus.com,Brighton,us:place:0808675,"Brighton, CO",municipality,registry,us_places.csv Brighton city (state from subdomain brightonco.granicus.com),,brighton-co,us,CO,brighton,no,Cities & towns
hayward.granicus.com,"Hayward, CA",us:place:0633000,"Hayward, CA",municipality,registry,us_places.csv Hayward city,,hayward-ca,us,CA,hayward-ca,no,Cities & towns
burbank.granicus.com,City of Burbank,us:place:0608954,"Burbank, CA",municipality,registry,us_places.csv Burbank city (state from tenant_hints.csv burbank.granicus.com),,burbank-ca,us,CA,burbank,yes,Cities & towns
sooke.civicweb.net,"Sooke, BC",ca:csd:5917052,"Sooke, BC",municipality,registry,ca_csd.csv Sooke,,sooke-bc,ca,BC,sooke-bc,no,Cities & towns
burlingameca.granicus.com,"City of Burlingame, CA",us:place:0609066,"Burlingame, CA",municipality,registry,us_places.csv Burlingame city,,burlingame-ca,us,CA,burlingame-ca,yes,Cities & towns
squamish.civicweb.net,"Squamish, BC",ca:csd:5931006,"Squamish, BC",municipality,registry,ca_csd.csv Squamish,,squamish-bc,ca,BC,squamish-bc,no,Cities & towns
sarasotacounty.granicus.com,"Sarasota County, FL",us:county:12115,"Sarasota County, FL",county,registry,us_counties.csv Sarasota County,,sarasota-county-fl,us,FL,sarasota-county-fl,no,Counties & regions
castlepines.granicus.com,"City of Castle Pines, CO",us:place:0812387,"Castle Pines, CO",municipality,registry,us_places.csv Castle Pines city,,castle-pines-co,us,CO,castle-pines-co,yes,Cities & towns
stearnscounty.civicweb.net,"Stearns County, MN",us:county:27145,"Stearns County, MN",county,registry,us_counties.csv Stearns County,,stearns-county-mn,us,MN,stearns-county-mn,no,Counties & regions
castlerock-co.granicus.com,Town of Castle Rock,us:place:0812415,"Castle Rock, CO",municipality,registry,us_places.csv Castle Rock town (state from subdomain castlerock-co.granicus.com),,castle-rock-co,us,CO,town-of-castle-rock,yes,Cities & towns
saratoga.granicus.com,City of Saratoga,us:place:0670280,"Saratoga, CA",municipality,registry,us_places.csv Saratoga city (state from tenant_hints.csv saratoga.granicus.com),,saratoga-ca,us,CA,saratoga,yes,Cities & towns
ccsf.granicus.com,"San Francisco, CA",us:place:0667000,"San Francisco, CA",municipality,registry,us_places.csv San Francisco city,,san-francisco-ca,us,CA,san-francisco-ca,no,Cities & towns
townofleland.civicweb.net,Town of Leland,us:place:3737680,"Leland, NC",municipality,registry,us_places.csv Leland town,,leland-nc,us,NC,town-of-leland,yes,Cities & towns
chino.granicus.com,"City of Chino, CA",us:place:0613210,"Chino, CA",municipality,registry,us_places.csv Chino city,,chino-ca,us,CA,chino-ca,yes,Cities & towns
ci-ssf-ca.granicus.com,"City of South San Francisco, CA",us:place:0673262,"South San Francisco, CA",municipality,registry,us_places.csv South San Francisco city,,south-san-francisco-ca,us,CA,south-san-francisco-ca,yes,Cities & towns
shoreviewmn.granicus.com,"Shoreview, MN",us:place:2759998,"Shoreview, MN",municipality,registry,us_places.csv Shoreview city,,shoreview-mn,us,MN,shoreview-mn,no,Cities & towns
trenthills.civicweb.net,"Trent Hills, ON",ca:csd:3514045,"Trent Hills, ON",municipality,registry,ca_csd.csv Trent Hills,,trent-hills-on,ca,ON,trent-hills-on,no,Cities & towns
bullheadcity.granicus.com,"Bullhead City, AZ",us:place:0408220,"Bullhead City, AZ",municipality,registry,us_places.csv Bullhead City city,,bullhead-city-az,us,AZ,bullhead-city-az,no,Cities & towns
city-lighthousepoint.granicus.com,"Lighthouse Point, FL",us:place:1240450,"Lighthouse Point, FL",municipality,registry,us_places.csv Lighthouse Point city,,lighthouse-point-fl,us,FL,lighthouse-point-fl,no,Cities & towns
atikokan.civicweb.net,"Atikokan, ON",ca:csd:3559001,"Atikokan, ON",municipality,registry,ca_csd.csv Atikokan,,atikokan-on,ca,ON,atikokan-on,no,Cities & towns
cambridgema.granicus.com,"Cambridge, MA",us:place:2511000,"Cambridge, MA",municipality,registry,us_places.csv Cambridge city,,cambridge-ma,us,MA,cambridge-ma,no,Cities & towns
cityofdoral.granicus.com,"City of Doral, FL",us:place:1217935,"Doral, FL",municipality,registry,us_places.csv Doral city,,doral-fl,us,FL,doral-fl,yes,Cities & towns
lambton.civicweb.net,"Lambton, QC",ca:csd:2430095,"Lambton, QC",municipality,registry,ca_csd.csv Lambton,,lambton-qc,ca,QC,lambton-qc,no,Cities & towns
cityofedgewater.granicus.com,"City of Edgewater, FL",us:place:1219825,"Edgewater, FL",municipality,registry,us_places.csv Edgewater city,,edgewater-fl,us,FL,edgewater-fl,yes,Cities & towns
andoverks.civicweb.net,Andover,us:place:2001800,"Andover, KS",municipality,registry,us_places.csv Andover city (state from subdomain andoverks.civicweb.net),,andover-ks,us,KS,andover,no,Cities & towns
cityoffayetteville.granicus.com,"City of Fayetteville, NC",us:place:3722920,"Fayetteville, NC",municipality,registry,us_places.csv Fayetteville city,,fayetteville-nc,us,NC,fayetteville-nc,yes,Cities & towns
cityofnorthport.granicus.com,"North Port, FL",us:place:1249675,"North Port, FL",municipality,registry,us_places.csv North Port city,,north-port-fl,us,FL,north-port-fl,no,Cities & towns
brookfieldil.civicweb.net,Village of Brookfield,us:place:1708576,"Brookfield (village), IL",municipality,registry,us_places.csv Brookfield village (state from subdomain brookfieldil.civicweb.net),,brookfield-village-il,us,IL,village-of-brookfield,yes,Cities & towns
cityofnsb.granicus.com,"New Smyrna Beach, FL",us:place:1248625,"New Smyrna Beach, FL",municipality,pinned,tenant_overrides.csv cityofnsb.granicus.com source=landing_page,,new-smyrna-beach-fl,us,FL,new-smyrna-beach-fl,no,Cities & towns
cityofpalmdesert.granicus.com,"City of Palm Desert, CA",us:place:0655184,"Palm Desert, CA",municipality,registry,us_places.csv Palm Desert city,,palm-desert-ca,us,CA,palm-desert-ca,yes,Cities & towns
cityofsignalhill.granicus.com,"City of Signal Hill, CA",us:place:0671876,"Signal Hill, CA",municipality,registry,us_places.csv Signal Hill city,,signal-hill-ca,us,CA,signal-hill-ca,yes,Cities & towns
carson.granicus.com,City of Carson,,City of Carson,municipality,unresolved,no state for 'City of Carson',,city-of-carson,us,,carson,yes,Cities & towns
calumetcounty.civicweb.net,"Calumet County, WI",us:county:55015,"Calumet County, WI",county,registry,us_counties.csv Calumet County,,calumet-county-wi,us,WI,calumet-county-wi,no,Counties & regions
coconutcreek.granicus.com,"Coconut Creek, FL",us:place:1213275,"Coconut Creek, FL",municipality,registry,us_places.csv Coconut Creek city,,coconut-creek-fl,us,FL,coconut-creek-fl,no,Cities & towns
centrewellington.civicweb.net,"Township of Centre Wellington, ON",ca:csd:3523025,"Centre Wellington, ON",municipality,registry,ca_csd.csv Centre Wellington,,centre-wellington-on,ca,ON,township-of-centre-wellington-on,yes,Cities & towns
college-park.granicus.com,"College Park, MD",us:place:2418750,"College Park, MD",municipality,registry,us_places.csv College Park city,,college-park-md,us,MD,college-park-md,no,Cities & towns
irvington.granicus.com,Village of Irvington,,Village of Irvington,municipality,unresolved,no state for 'Village of Irvington',,village-of-irvington,us,,village-of-irvington,yes,Cities & towns
contra-costa.granicus.com,"Contra Costa County, CA",us:county:06013,"Contra Costa County, CA",county,registry,us_counties.csv Contra Costa County,,contra-costa-county-ca,us,CA,contra-costa-county-ca,no,Counties & regions
charlotte.granicus.com,"Charlotte County, FL",us:county:12015,"Charlotte County, FL",county,registry,us_counties.csv Charlotte County,,charlotte-county-fl,us,FL,charlotte-county-fl,no,Counties & regions
jacksonco.granicus.com,Jackson County,us:county:08057,"Jackson County, CO",county,registry,us_counties.csv Jackson County (state from subdomain jacksonco.granicus.com),,jackson-county-co,us,CO,jackson-county,no,Counties & regions
cooper.granicus.com,"Cooper City, FL",us:place:1214125,"Cooper City, FL",municipality,registry,us_places.csv Cooper City city,,cooper-city-fl,us,FL,cooper-city-fl,no,Cities & towns
coppelltx.granicus.com,"City of Coppell, TX",us:place:4816612,"Coppell, TX",municipality,registry,us_places.csv Coppell city,,coppell-tx,us,TX,coppell-tx,yes,Cities & towns
chesterfieldtwp.civicweb.net,"Chesterfield Township, MI",us:cousub:2609915340,"Chesterfield Township, MI",township,registry,us_cousubs.csv Chesterfield township,,chesterfield-township-mi,us,MI,chesterfield-township-mi,no,Cities & towns
cosm.granicus.com,"City of San Mateo, CA",us:place:0668252,"San Mateo, CA",municipality,registry,us_places.csv San Mateo city,,san-mateo-ca,us,CA,san-mateo-ca,yes,Cities & towns
chico-ca.granicus.com,"City of Chico, CA",us:place:0613014,"Chico, CA",municipality,registry,us_places.csv Chico city,,chico-ca,us,CA,chico-ca,yes,Cities & towns
davis.granicus.com,"City of Davis, CA",us:place:0618100,"Davis, CA",municipality,registry,us_places.csv Davis city,,davis-ca,us,CA,davis-ca,yes,Cities & towns
dunedin.granicus.com,"City of Dunedin, FL",us:place:1218575,"Dunedin, FL",municipality,registry,us_places.csv Dunedin city,,dunedin-fl,us,FL,dunedin-fl,yes,Cities & towns
dunnellon.granicus.com,"Dunnellon, FL",us:place:1218675,"Dunnellon, FL",municipality,registry,us_places.csv Dunnellon city,,dunnellon-fl,us,FL,dunnellon-fl,no,Cities & towns
tracy-ca.granicus.com,Tracy,us:place:0680238,"Tracy, CA",municipality,registry,us_places.csv Tracy city (state from subdomain tracy-ca.granicus.com),,tracy-ca,us,CA,tracy,no,Cities & towns
chestermere.civicweb.net,"City of Chestermere, AB",ca:csd:4806017,"Chestermere, AB",municipality,registry,ca_csd.csv Chestermere,,chestermere-ab,ca,AB,chestermere-ab,yes,Cities & towns
suffolkva.granicus.com,"City of Suffolk, VA",us:place:5176432,"Suffolk, VA",municipality,registry,us_places.csv Suffolk city,,suffolk-va,us,VA,suffolk-va,yes,Cities & towns
durham.granicus.com,"City of Durham, NC",us:place:3719000,"Durham, NC",municipality,registry,us_places.csv Durham city,,durham-nc,us,NC,durham-nc,yes,Cities & towns
cityofbowietx.civicweb.net,City of Bowie,us:place:4809640,"Bowie, TX",municipality,registry,us_places.csv Bowie city (state from subdomain cityofbowietx.civicweb.net),,bowie-tx,us,TX,bowie,yes,Cities & towns
elkgrove.granicus.com,"City of Elk Grove, CA",us:place:0622020,"Elk Grove, CA",municipality,registry,us_places.csv Elk Grove city,,elk-grove-ca,us,CA,elk-grove-ca,yes,Cities & towns
fairfax.granicus.com,"City of Fairfax, VA",us:place:5126496,"Fairfax, VA",municipality,registry,us_places.csv Fairfax city,,fairfax-va,us,VA,fairfax-va,yes,Cities & towns
ciwalkermi.civicweb.net,City of Walker,,City of Walker,municipality,unresolved,no state for 'City of Walker',,city-of-walker,us,,walker,yes,Cities & towns
fcva.granicus.com,"Frederick County, VA",us:county:51069,"Frederick County, VA",county,registry,us_counties.csv Frederick County,,frederick-county-va,us,VA,frederick-county-va,no,Counties & regions
kerrvilletx.granicus.com,"City of Kerrville, TX",us:place:4839040,"Kerrville, TX",municipality,registry,us_places.csv Kerrville city,,kerrville-tx,us,TX,kerrville-tx,yes,Cities & towns
sunnyvaleca.granicus.com,"City of Sunnyvale, CA",us:place:0677000,"Sunnyvale, CA",municipality,registry,us_places.csv Sunnyvale city,,sunnyvale-ca,us,CA,sunnyvale-ca,yes,Cities & towns
gainesville.granicus.com,City of Gainesville,us:place:1225175,"Gainesville, FL",municipality,registry,us_places.csv Gainesville city (state from tenant_hints.csv gainesville.granicus.com),,gainesville-fl,us,FL,gainesville,yes,Cities & towns
galesburg.granicus.com,"Galesburg, IL",us:place:1728326,"Galesburg (city), IL",municipality,registry,us_places.csv Galesburg city,,galesburg-city-il,us,IL,galesburg-il,no,Cities & towns
kirkland.granicus.com,City of Kirkland,us:place:5335940,"Kirkland, WA",municipality,registry,us_places.csv Kirkland city (state from tenant_hints.csv kirkland.granicus.com),,kirkland-wa,us,WA,kirkland,yes,Cities & towns
coventryri.civicweb.net,Town of Coventry,us:cousub:4400318640,"Coventry Town, RI",township,registry,us_cousubs.csv Coventry town (state from subdomain coventryri.civicweb.net),,coventry-town-ri,us,RI,town-of-coventry,yes,Cities & towns
talbot-md.granicus.com,"Talbot County, MD",us:county:24041,"Talbot County, MD",county,registry,us_counties.csv Talbot County,,talbot-county-md,us,MD,talbot-county-md,no,Counties & regions
lacdrp.granicus.com,"Los Angeles County, CA",us:county:06037,"Los Angeles County, CA",county,registry,us_counties.csv Los Angeles County,,los-angeles-county-ca,us,CA,los-angeles-county-ca,no,Counties & regions
frenchriver.civicweb.net,"French River, ON",ca:csd:3552001,"French River, ON",municipality,registry,ca_csd.csv French River,,french-river-on,ca,ON,french-river-on,no,Cities & towns
greenville.granicus.com,City of Greenville,,City of Greenville,municipality,unresolved,no state for 'City of Greenville',,city-of-greenville,us,,greenville,yes,Cities & towns
taylor.granicus.com,"Taylor, MI",us:place:2679000,"Taylor, MI",municipality,registry,us_places.csv Taylor city,,taylor-mi,us,MI,taylor-mi,no,Cities & towns
gulfport.granicus.com,City of Gulfport,,City of Gulfport,municipality,unresolved,no state for 'City of Gulfport',,city-of-gulfport,us,,gulfport,yes,Cities & towns
frostburgcity.civicweb.net,"City of Frostburg, MD",us:place:2430900,"Frostburg, MD",municipality,registry,us_places.csv Frostburg city,,frostburg-md,us,MD,frostburg-md,yes,Cities & towns
hampton.granicus.com,"City of Hampton, VA",us:place:5135000,"Hampton, VA",municipality,registry,us_places.csv Hampton city,,hampton-va,us,VA,hampton-va,yes,Cities & towns
hawaiicounty.granicus.com,"Hawaii County, HI",us:county:15001,"Hawaii County, HI",county,registry,us_counties.csv Hawaii County,,hawaii-county-hi,us,HI,hawaii-county-hi,no,Counties & regions
cityofgastonia.granicus.com,"City of Gastonia, NC",us:place:3725580,"Gastonia, NC",municipality,registry,us_places.csv Gastonia city,,gastonia-nc,us,NC,gastonia-nc,yes,Cities & towns
hennepinmn.granicus.com,"County of Hennepin, MN",us:county:27053,"Hennepin County, MN",county,registry,us_counties.csv Hennepin County,,hennepin-county-mn,us,MN,county-of-hennepin-mn,no,Counties & regions
grosseile.civicweb.net,"Township of Grosse Ile, MI",us:cousub:2616335420,"Grosse Ile Township, MI",township,registry,us_cousubs.csv Grosse Ile township,,grosse-ile-township-mi,us,MI,township-of-grosse-ile-mi,yes,Cities & towns
hollywoodfl.granicus.com,"Hollywood, FL",us:place:1232000,"Hollywood, FL",municipality,registry,us_places.csv Hollywood city,,hollywood-fl,us,FL,hollywood-fl,no,Cities & towns
honolulu.granicus.com,City of Honolulu,us:county:15003,"City and County of Honolulu, HI",county,pinned,tenant_overrides.csv honolulu.granicus.com source=consolidated_government,,city-and-county-of-honolulu-hi,us,HI,honolulu,yes,Counties & regions
haslet.civicweb.net,"City of Haslet, TX",us:place:4832720,"Haslet, TX",municipality,registry,us_places.csv Haslet city,,haslet-tx,us,TX,haslet-tx,yes,Cities & towns
horrycounty.granicus.com,"Horry County, SC",us:county:45051,"Horry County, SC",county,registry,us_counties.csv Horry County,,horry-county-sc,us,SC,horry-county-sc,no,Counties & regions
humboldt.granicus.com,"Humboldt County, CA",us:county:06023,"Humboldt County, CA",county,registry,us_counties.csv Humboldt County,,humboldt-county-ca,us,CA,humboldt-county-ca,no,Counties & regions
highriver.civicweb.net,"Town of High River, AB",ca:csd:4806006,"High River, AB",municipality,registry,ca_csd.csv High River,,high-river-ab,ca,AB,town-of-high-river-ab,yes,Cities & towns
laramiecounty.granicus.com,"Laramie County, WY",us:county:56021,"Laramie County, WY",county,registry,us_counties.csv Laramie County,,laramie-county-wy,us,WY,laramie-county-wy,no,Counties & regions
huntingtonbeach.granicus.com,"City of Huntington Beach, CA",us:place:0636000,"Huntington Beach, CA",municipality,registry,us_places.csv Huntington Beach city,,huntington-beach-ca,us,CA,huntington-beach-ca,yes,Cities & towns
huntingtonny.granicus.com,Town of Huntington,us:cousub:3610337000,"Huntington Town, NY",township,registry,us_cousubs.csv Huntington town (state from subdomain huntingtonny.granicus.com),,huntington-town-ny,us,NY,town-of-huntington,yes,Cities & towns
hyattsville-md.granicus.com,"City of Hyattsville, MD",us:place:2441250,"Hyattsville, MD",municipality,registry,us_places.csv Hyattsville city,,hyattsville-md,us,MD,hyattsville-md,yes,Cities & towns
ircgov.granicus.com,"Indian River County, FL",us:county:12061,"Indian River County, FL",county,registry,us_counties.csv Indian River County,,indian-river-county-fl,us,FL,indian-river-county-fl,no,Counties & regions
innisfail.civicweb.net,"Innisfail, AB",ca:csd:4808008,"Innisfail, AB",municipality,registry,ca_csd.csv Innisfail,,innisfail-ab,ca,AB,innisfail-ab,no,Cities & towns
jcc.granicus.com,California,rtr:us:ca:judicial-council-of-california,"Judicial Council of California, CA",court,pinned,tenant_overrides.csv jcc.granicus.com source=visual_confirmed,,judicial-council-of-california-ca,us,CA,california,no,Courts
cityoflewisville.granicus.com,"City of Lewisville, TX",us:place:4842508,"Lewisville, TX",municipality,registry,us_places.csv Lewisville city,,lewisville-tx,us,TX,lewisville-tx,yes,Cities & towns
keybiscayne.granicus.com,"Key Biscayne, FL",us:place:1236300,"Key Biscayne, FL",municipality,registry,us_places.csv Key Biscayne village,,key-biscayne-fl,us,FL,key-biscayne-fl,no,Cities & towns
unioncountync.granicus.com,"Union County, NC",us:county:37179,"Union County, NC",county,registry,us_counties.csv Union County,,union-county-nc,us,NC,union-county-nc,no,Counties & regions
